Timestamp,RTU_11_DA_T(°F),RTU_11_MA_T(°F),RTU_11_OA_T(°F),RTU_11_SF_S,RTU_11_MAD_O(%),RTU_11_DA1_P(in/wc),RTU_11_AVGZN_T(°F),RTU_11_SF_O(%),RTU_11_RA_T(°F),RTU_11_RA_H(%RH)
01-Jan-26 12:00:00 AM EST,61.1,76.5,38.7,,0.0, -0.0,68,0.0,63.6,22.7
01-Jan-26 1:00:00 AM EST,61.4,76.7,39.5,,0.0, -0.0,68,0.0,63.5,23.0
01-Jan-26 2:00:00 AM EST,61.5,76.5,39.4,,0.0, -0.0,68,0.0,63.3,23.5
01-Jan-26 3:00:00 AM EST,61.2,76.4,38.6,,0.0, -0.0,68,0.0,63.3,23.7
01-Jan-26 4:00:00 AM EST,60.9,76.1,38.6,,0.0, -0.0,68,0.0,62.9,24.2
01-Jan-26 5:00:00 AM EST,61.0,76.2,38.5,,0.0, -0.0,68,0.0,63.0,24.3
01-Jan-26 6:00:00 AM EST,60.7,75.7,37.2,,0.0, -0.0,68,0.0,62.3,24.9
01-Jan-26 7:00:00 AM EST,59.7,73.1,33.2,,0.0, -0.0,68,0.0,60.4,25.9
01-Jan-26 8:00:00 AM EST,58.7,72.3,32.7,,0.0, -0.0,68,0.0,59.6,26.0
01-Jan-26 9:00:00 AM EST,59.3,72.5,31.0,,0.0, -0.0,68,0.0,59.4,23.9
01-Jan-26 10:00:00 AM EST,60.9,73.2,30.6,,0.0, -0.0,68,0.0,59.6,21.6
01-Jan-26 11:00:00 AM EST,62.3,74.9,31.5,,0.0, -0.0,68,0.0,61.1,21.2
01-Jan-26 12:00:00 PM EST,63.5,76.7,32.2,,0.0, -0.0,68,0.0,62.9,20.3
01-Jan-26 1:00:00 PM EST,63.6,76.9,33.5,,0.0, -0.0,68,0.0,63.5,20.1
01-Jan-26 2:00:00 PM EST,62.9,76.3,33.4,,0.0, -0.0,68,0.0,63.1,19.2
01-Jan-26 3:00:00 PM EST,62.2,75.6,33.6,,0.0, -0.0,68,0.0,63.0,19.8
01-Jan-26 4:00:00 PM EST,61.0,74.6,32.4,,0.0, -0.0,68,0.0,62.4,20.2
01-Jan-26 5:00:00 PM EST,59.9,74.3,31.9,,0.0, -0.0,68,0.0,61.9,20.9
01-Jan-26 6:00:00 PM EST,59.1,73.8,32.4,,0.0, -0.0,68,0.0,61.4,21.4
01-Jan-26 7:00:00 PM EST,58.2,73.3,31.2,,0.0, -0.0,68,0.0,60.9,22.0
01-Jan-26 8:00:00 PM EST,57.5,73.0,30.6,,0.0, -0.0,68,0.0,60.9,22.2
01-Jan-26 9:00:00 PM EST,57.1,72.9,30.6,,0.0, -0.0,68,0.0,60.9,22.3
01-Jan-26 10:00:00 PM EST,57.2,73.2,31.2,,0.0, -0.0,68,0.0,61.2,22.2
01-Jan-26 11:00:00 PM EST,57.3,73.4,31.9,,0.0, -0.0,68,0.0,61.5,22.0
02-Jan-26 12:00:00 AM EST,57.6,73.8,33.0,,0.0, -0.0,68,0.0,61.9,21.6
02-Jan-26 1:00:00 AM EST,57.7,74.1,33.7,,0.0, -0.0,68,0.0,62.0,21.3
02-Jan-26 2:00:00 AM EST,58.0,74.1,33.7,,0.0, -0.0,68,0.0,62.3,20.9
02-Jan-26 3:00:00 AM EST,57.9,74.1,33.2,,0.0, -0.0,68,0.0,62.2,20.7
02-Jan-26 4:00:00 AM EST,57.8,74.3,33.2,,0.0, -0.0,68,0.0,62.2,20.5
02-Jan-26 5:00:00 AM EST,57.9,74.0,33.1,,0.0, -0.0,68,0.0,61.0,20.4
02-Jan-26 6:00:00 AM EST,67.2,62.0,33.6,On,1.0,0.6,69,44.7,66.8,16.2
02-Jan-26 7:00:00 AM EST,70.8,58.6,33.4,,5.3,0.4,70,50.9,71.8,12.2
02-Jan-26 8:00:00 AM EST,70.6,58.4,32.9,,9.0,0.4,70,50.0,71.6,11.9
02-Jan-26 9:00:00 AM EST,71.8,58.4,34.0,,14.2,0.4,70,50.0,71.5,11.7
02-Jan-26 10:00:00 AM EST,71.3,59.0,35.5,,19.2,0.4,70,50.1,71.8,11.6
02-Jan-26 11:00:00 AM EST,71.0,59.2,35.9,,23.6,0.4,70,49.9,71.8,11.7
02-Jan-26 12:00:00 PM EST,71.6,58.9,36.3,,27.4,0.4,70,50.1,72.0,11.9
02-Jan-26 1:00:00 PM EST,69.7,58.5,36.9,,29.8,0.4,70,49.8,72.0,12.1
02-Jan-26 2:00:00 PM EST,72.6,58.9,39.4,,32.9,0.4,71,49.8,72.4,12.3
02-Jan-26 3:00:00 PM EST,68.6,57.4,40.1,,36.8,0.4,71,49.5,72.3,12.8
02-Jan-26 4:00:00 PM EST,71.6,55.7,39.4,,40.4,0.4,71,49.7,72.3,12.9
02-Jan-26 5:00:00 PM EST,67.7,52.9,38.0,,44.1,0.4,71,49.3,72.2,12.9
02-Jan-26 6:00:00 PM EST,65.1,67.7,34.9,Off,11.8,0.1,70,12.2,68.5,15.2
02-Jan-26 7:00:00 PM EST,62.1,74.2,34.3,,0.0, -0.0,68,0.0,64.7,17.7
02-Jan-26 8:00:00 PM EST,60.4,73.6,33.6,,0.0, -0.0,68,0.0,62.6,19.8
02-Jan-26 9:00:00 PM EST,59.4,73.1,32.5,,0.0, -0.0,68,0.0,61.5,21.2
02-Jan-26 10:00:00 PM EST,58.8,72.9,33.3,,0.0, -0.0,68,0.0,60.9,22.2
02-Jan-26 11:00:00 PM EST,58.3,72.6,32.5,,0.0, -0.0,68,0.0,60.6,22.7
03-Jan-26 12:00:00 AM EST,57.9,72.2,32.1,,0.0, -0.0,68,0.0,60.3,23.1
03-Jan-26 1:00:00 AM EST,57.5,72.0,31.9,,0.0, -0.0,68,0.0,60.0,23.3
03-Jan-26 2:00:00 AM EST,57.3,71.7,32.0,,0.0, -0.0,68,0.0,59.4,23.4
03-Jan-26 3:00:00 AM EST,57.0,70.8,31.7,,0.0, -0.0,68,0.0,58.6,23.5
03-Jan-26 4:00:00 AM EST,56.9,70.8,30.2,,0.0, -0.0,68,0.0,58.8,23.3
03-Jan-26 5:00:00 AM EST,56.7,70.8,30.6,,0.0, -0.0,68,0.0,59.2,23.1
03-Jan-26 6:00:00 AM EST,56.6,70.8,30.2,,0.0, -0.0,68,0.0,59.3,23.0
03-Jan-26 7:00:00 AM EST,56.3,70.8,29.7,,0.0, -0.0,68,0.0,59.0,23.2
03-Jan-26 8:00:00 AM EST,56.7,70.4,30.3,,0.0, -0.0,68,0.0,57.4,24.2
03-Jan-26 9:00:00 AM EST,57.5,71.2,32.4,,0.0, -0.0,67,0.0,58.9,23.8
03-Jan-26 10:00:00 AM EST,58.4,72.9,33.4,,0.0, -0.0,68,0.0,61.0,22.0
03-Jan-26 11:00:00 AM EST,59.6,74.5,33.7,,0.0, -0.0,67,0.0,62.1,20.8
