Timestamp,Value (°F)
06-Jun-22 5:34:10 AM CDT,58.5
06-Jun-22 5:34:44 AM CDT,58.5
06-Jun-22 5:35:12 AM CDT,58.5
06-Jun-22 5:35:40 AM CDT,58.5
06-Jun-22 5:36:12 AM CDT,58.5
06-Jun-22 5:36:39 AM CDT,58.5
06-Jun-22 5:37:12 AM CDT,58.5
06-Jun-22 5:37:40 AM CDT,58.5
06-Jun-22 5:38:10 AM CDT,58.5
06-Jun-22 5:38:39 AM CDT,58.5
06-Jun-22 5:39:13 AM CDT,58.5
06-Jun-22 5:39:40 AM CDT,58.5
06-Jun-22 5:40:13 AM CDT,58.5
06-Jun-22 5:40:40 AM CDT,58.5
06-Jun-22 5:41:11 AM CDT,58.5
06-Jun-22 5:41:40 AM CDT,58.5
06-Jun-22 5:42:11 AM CDT,58.5
06-Jun-22 5:42:43 AM CDT,58.5
06-Jun-22 5:43:09 AM CDT,58.5
06-Jun-22 5:43:40 AM CDT,58.5
06-Jun-22 5:44:11 AM CDT,58.5
06-Jun-22 5:44:43 AM CDT,58.5
06-Jun-22 5:45:09 AM CDT,58.5
06-Jun-22 5:45:40 AM CDT,58.5
06-Jun-22 5:46:08 AM CDT,58.5
06-Jun-22 5:46:39 AM CDT,58.5
06-Jun-22 5:47:09 AM CDT,58.5
06-Jun-22 5:47:40 AM CDT,58.5
06-Jun-22 5:48:12 AM CDT,58.5
06-Jun-22 5:48:41 AM CDT,58.5
06-Jun-22 5:49:12 AM CDT,58.5
06-Jun-22 5:49:39 AM CDT,58.5
06-Jun-22 5:50:09 AM CDT,58.5
06-Jun-22 5:50:42 AM CDT,58.5
06-Jun-22 5:51:09 AM CDT,58.5
06-Jun-22 5:51:38 AM CDT,58.5
06-Jun-22 5:52:11 AM CDT,58.5
06-Jun-22 5:52:39 AM CDT,58.5
06-Jun-22 5:53:09 AM CDT,58.5
06-Jun-22 5:53:38 AM CDT,58.5
06-Jun-22 5:54:09 AM CDT,58.5
06-Jun-22 5:54:38 AM CDT,58.5
06-Jun-22 5:55:08 AM CDT,58.5
06-Jun-22 5:55:38 AM CDT,58.5
06-Jun-22 5:56:13 AM CDT,58.5
06-Jun-22 5:56:40 AM CDT,58.5
06-Jun-22 5:57:08 AM CDT,58.5
06-Jun-22 5:57:39 AM CDT,58.5
06-Jun-22 5:58:10 AM CDT,58.5
06-Jun-22 5:58:42 AM CDT,58.5
06-Jun-22 5:59:07 AM CDT,58.5
06-Jun-22 5:59:41 AM CDT,58.5
06-Jun-22 6:00:07 AM CDT,58.5
06-Jun-22 6:00:40 AM CDT,58.5
06-Jun-22 6:01:08 AM CDT,58.5
06-Jun-22 6:01:40 AM CDT,58.5
06-Jun-22 6:02:07 AM CDT,58.5
06-Jun-22 6:02:42 AM CDT,58.5
06-Jun-22 6:03:07 AM CDT,58.5
06-Jun-22 6:03:37 AM CDT,58.5
06-Jun-22 6:04:11 AM CDT,58.5
06-Jun-22 6:04:42 AM CDT,58.6
06-Jun-22 6:05:08 AM CDT,58.6
06-Jun-22 6:05:37 AM CDT,58.6
06-Jun-22 6:06:07 AM CDT,58.6
06-Jun-22 6:06:41 AM CDT,58.6
06-Jun-22 6:07:11 AM CDT,58.6
06-Jun-22 6:07:41 AM CDT,58.6
06-Jun-22 6:08:06 AM CDT,58.7
06-Jun-22 6:08:38 AM CDT,58.7
06-Jun-22 6:09:08 AM CDT,58.7
06-Jun-22 6:09:39 AM CDT,58.7
06-Jun-22 6:10:07 AM CDT,58.7
06-Jun-22 6:10:41 AM CDT,58.7
06-Jun-22 6:11:11 AM CDT,58.7
06-Jun-22 6:11:39 AM CDT,58.7
06-Jun-22 6:12:06 AM CDT,58.7
06-Jun-22 6:12:40 AM CDT,58.8
06-Jun-22 6:13:06 AM CDT,58.8
06-Jun-22 6:13:36 AM CDT,58.8
06-Jun-22 6:14:08 AM CDT,58.8
