Times,Value (%)
5/7/2022 12:15,93.2
5/7/2022 12:20,91.7
5/7/2022 12:25,91.1
5/7/2022 12:30,92.8
5/7/2022 12:35,95
5/7/2022 12:40,96.7
5/7/2022 12:45,81.1
5/7/2022 12:50,56.3
5/7/2022 12:55,46.8
5/7/2022 13:00,74.3
5/7/2022 13:05,94.3
5/7/2022 13:10,95.1
5/7/2022 13:15,91.7
5/7/2022 13:20,96
5/7/2022 13:25,98.6
5/7/2022 13:30,98.3
5/7/2022 13:35,95.8
5/7/2022 13:40,97.8
5/7/2022 13:45,94.2
5/7/2022 13:50,96
5/7/2022 13:55,91.6
5/7/2022 14:00,90.9
5/7/2022 14:05,92.6
5/7/2022 14:10,92.2
5/7/2022 14:15,98.5
5/7/2022 14:20,94.6
5/7/2022 14:25,97
5/7/2022 14:30,92.3
5/7/2022 14:35,91.6
5/7/2022 14:40,95
5/7/2022 14:45,97.1
5/7/2022 14:50,100
5/7/2022 14:55,100
5/7/2022 15:00,96.3
5/7/2022 15:05,97.9
5/7/2022 15:10,100
5/7/2022 15:15,100
5/7/2022 15:20,98.2
5/7/2022 15:25,98.9
5/7/2022 15:30,88.1
5/7/2022 15:35,95.3
5/7/2022 15:40,93.8
5/7/2022 15:45,97.5
5/7/2022 15:50,97.4
5/7/2022 15:55,94.6
5/7/2022 16:00,96.1
5/7/2022 16:05,83.4
5/7/2022 16:10,85.3
5/7/2022 16:15,81.8
5/7/2022 16:20,88.8
5/7/2022 16:25,81.7
5/7/2022 16:30,76.9
5/7/2022 16:35,87.3
5/7/2022 16:40,87
5/7/2022 16:45,95
5/7/2022 16:50,85.1
5/7/2022 16:55,87.3
5/7/2022 17:00,100
5/7/2022 17:05,64.3
5/7/2022 17:10,56.8
5/7/2022 17:15,53.6
5/7/2022 17:20,58
5/7/2022 17:25,55.3
5/7/2022 17:30,54
5/7/2022 17:35,53.8
5/7/2022 17:40,57.4
5/7/2022 17:45,57.4
5/7/2022 17:50,52.3
5/7/2022 17:55,51.5
5/7/2022 18:00,56.6
5/7/2022 18:05,59.3
5/7/2022 18:10,54.4
5/7/2022 18:15,58
5/7/2022 18:20,52.8
5/7/2022 18:25,51
5/7/2022 18:30,51.2
5/7/2022 18:35,52.8
5/7/2022 18:40,55.8
5/7/2022 18:45,57.2
5/7/2022 18:50,56.8
5/7/2022 18:55,52.8
5/7/2022 19:00,52
5/7/2022 19:05,51.6
5/7/2022 19:10,56.2
5/7/2022 19:15,46.4
5/7/2022 19:20,43.9
5/7/2022 19:25,41.9
5/7/2022 19:30,48.2
5/7/2022 19:35,48.3
5/7/2022 19:40,53.4
5/7/2022 19:45,53.7
5/7/2022 19:50,45.4
5/7/2022 19:55,45.3
5/7/2022 20:00,49.5
5/7/2022 20:05,51.4
5/7/2022 20:10,49.5
5/7/2022 20:15,46.9
5/7/2022 20:20,43.4
5/7/2022 20:25,39.8
5/7/2022 20:30,39.1
5/7/2022 20:35,41.9
5/7/2022 20:40,41.1
5/7/2022 20:45,45.3
5/7/2022 20:50,44.6
5/7/2022 20:55,51.9
5/7/2022 21:00,51.4
5/7/2022 21:05,49.9
5/7/2022 21:10,48.5
5/7/2022 21:15,50.6
5/7/2022 21:20,55.8
5/7/2022 21:25,56.7
5/7/2022 21:30,61.2
5/7/2022 21:35,54.6
5/7/2022 21:40,51.8
5/7/2022 21:45,50.9
5/7/2022 21:50,52.4
5/7/2022 21:55,57.6
5/7/2022 22:00,49.5
5/7/2022 22:05,45.5
5/7/2022 22:10,55.9
5/7/2022 22:15,49.6
5/7/2022 22:20,51.5
5/7/2022 22:25,53.2
5/7/2022 22:30,41.4
5/7/2022 22:35,49.1
5/7/2022 22:40,51.8
5/7/2022 22:45,46.4
5/7/2022 22:50,44.1
5/7/2022 22:55,34.7
5/7/2022 23:00,44.4
5/7/2022 23:05,39.6
5/7/2022 23:10,41.8
5/7/2022 23:15,47.2
5/7/2022 23:20,50.6
5/7/2022 23:25,39.3
5/7/2022 23:30,40.3
5/7/2022 23:35,40.4
5/7/2022 23:40,35.7
5/7/2022 23:45,39.1
5/7/2022 23:50,36.1
5/7/2022 23:55,39.6
5/8/2022 0:00,32.1
5/8/2022 0:05,38.8
5/8/2022 0:10,42.1
5/8/2022 0:15,36.2
5/8/2022 0:20,30.6
5/8/2022 0:25,34.1
5/8/2022 0:30,38.8
5/8/2022 0:35,35.7
5/8/2022 0:40,42.3
5/8/2022 0:45,32.1
5/8/2022 0:50,23.8
5/8/2022 0:55,38.4
5/8/2022 1:00,36
5/8/2022 1:05,33.2
5/8/2022 1:10,34.1
5/8/2022 1:15,38.7
5/8/2022 1:20,32.8
5/8/2022 1:25,33.2
5/8/2022 1:30,30.1
5/8/2022 1:35,28.3
5/8/2022 1:40,32.5
5/8/2022 1:45,39.2
5/8/2022 1:50,37.8
5/8/2022 1:55,33.6
5/8/2022 2:00,38
5/8/2022 2:05,34.3
5/8/2022 2:10,30.7
5/8/2022 2:15,22.3
5/8/2022 2:20,23.4
5/8/2022 2:25,29.4
5/8/2022 2:30,28
5/8/2022 2:35,42.7
5/8/2022 2:40,35.6
5/8/2022 2:45,40.8
5/8/2022 2:50,45.1
5/8/2022 2:55,36.1
5/8/2022 3:00,36.8
5/8/2022 3:05,31.1
5/8/2022 3:10,22.8
5/8/2022 3:15,27.6
5/8/2022 3:20,29.7
5/8/2022 3:25,30.5
5/8/2022 3:30,23.5
5/8/2022 3:35,25.8
5/8/2022 3:40,29.2
5/8/2022 3:45,31.5
5/8/2022 3:50,22.2
5/8/2022 3:55,26
5/8/2022 4:00,22.9
5/8/2022 4:05,17.3
5/8/2022 4:10,29.9
5/8/2022 4:15,25.9
5/8/2022 4:20,23.9
5/8/2022 4:25,29.5
5/8/2022 4:30,20.7
5/8/2022 4:35,16.6
5/8/2022 4:40,21.1
5/8/2022 4:45,14.3
5/8/2022 4:50,11.5
5/8/2022 4:55,7.2
5/8/2022 5:00,0.9
5/8/2022 5:05,4
5/8/2022 5:10,0
5/8/2022 5:15,0
5/8/2022 5:20,0
5/8/2022 5:25,0
5/8/2022 5:30,0
5/8/2022 5:35,0
5/8/2022 5:40,3.5
5/8/2022 5:45,6.7
5/8/2022 5:50,5.3
5/8/2022 5:55,0
5/8/2022 6:00,2.6
5/8/2022 6:05,14.4
5/8/2022 6:10,25.6
5/8/2022 6:15,33.3
5/8/2022 6:20,32.5
5/8/2022 6:25,36.3
5/8/2022 6:30,36.5
5/8/2022 6:35,40.2
5/8/2022 6:40,38.2
5/8/2022 6:45,39.6
5/8/2022 6:50,44.2
5/8/2022 6:55,48.7
5/8/2022 7:00,46.6
5/8/2022 7:05,43.2
5/8/2022 7:10,43.4
5/8/2022 7:15,43.2
5/8/2022 7:20,45
5/8/2022 7:25,44.4
5/8/2022 7:30,41.8
5/8/2022 7:35,49.6
5/8/2022 7:40,62.3
5/8/2022 7:45,67.7
5/8/2022 7:50,70.4
5/8/2022 7:55,68
5/8/2022 8:00,67.5
5/8/2022 8:05,66.6
5/8/2022 8:10,65
5/8/2022 8:15,65.8
5/8/2022 8:20,65.7
5/8/2022 8:25,63.6
5/8/2022 8:30,65
5/8/2022 8:35,64.4
5/8/2022 8:40,61.9
5/8/2022 8:45,65.4
5/8/2022 8:50,68.3
5/8/2022 8:55,63.3
5/8/2022 9:00,65.2
5/8/2022 9:05,72.9
5/8/2022 9:10,73.4
5/8/2022 9:15,80.7
5/8/2022 9:20,78
5/8/2022 9:25,76.4
5/8/2022 9:30,73.8
5/8/2022 9:35,71.3
5/8/2022 9:40,75.9
5/8/2022 9:45,71.2
5/8/2022 9:50,70.3
5/8/2022 9:55,81.3
5/8/2022 10:00,72.5
5/8/2022 10:05,68.4
5/8/2022 10:10,69.6
5/8/2022 10:15,67.9
5/8/2022 10:20,73.1
5/8/2022 10:25,70.5
5/8/2022 10:30,70.9
5/8/2022 10:35,69.1
5/8/2022 10:40,72.4
5/8/2022 10:45,68.8
5/8/2022 10:50,70.4
5/8/2022 10:55,75
5/8/2022 11:00,76.7
5/8/2022 11:05,72
5/8/2022 11:10,68.4
5/8/2022 11:15,68.6
5/8/2022 11:20,71
5/8/2022 11:25,67.3
5/8/2022 11:30,73.3
5/8/2022 11:35,70.4
5/8/2022 11:40,70.3
5/8/2022 11:45,71.1
5/8/2022 11:50,71.9
5/8/2022 11:55,70.7
5/8/2022 12:00,72.8
5/8/2022 12:05,68.1
5/8/2022 12:10,72.5
5/8/2022 12:15,71.1
5/8/2022 12:20,69.4
5/8/2022 12:25,71.2
5/8/2022 12:30,73.3
5/8/2022 12:35,85.8
5/8/2022 12:40,74.6
5/8/2022 12:45,70.7
5/8/2022 12:50,69.4
5/8/2022 12:55,70
5/8/2022 13:00,71.6
5/8/2022 13:05,75
5/8/2022 13:10,78.3
5/8/2022 13:15,84.1
5/8/2022 13:20,88.1
5/8/2022 13:25,84.8
5/8/2022 13:30,94.3
5/8/2022 13:35,92.4
5/8/2022 13:40,100
5/8/2022 13:45,99.6
5/8/2022 13:50,97.6
5/8/2022 13:55,97.8
5/8/2022 14:00,94
5/8/2022 14:05,98.1
5/8/2022 14:10,92.4
5/8/2022 14:15,96.4
5/8/2022 14:20,96.8
5/8/2022 14:25,91
5/8/2022 14:30,92.2
5/8/2022 14:35,97.1
5/8/2022 14:40,93.4
5/8/2022 14:45,89
5/8/2022 14:50,99.9
5/8/2022 14:55,96.8
5/8/2022 15:00,94.3
5/8/2022 15:05,93.5
