Timestamp,Value
02-Mar-22 12:00:43 PM CST,Occupied
02-Mar-22 12:00:43 PM CST,Occupied
02-Mar-22 5:00:01 PM CST,UnOccupied
03-Mar-22 7:00:01 AM CST,Occupied
03-Mar-22 5:00:02 PM CST,UnOccupied
04-Mar-22 7:00:01 AM CST,Occupied
04-Mar-22 5:00:01 PM CST,UnOccupied
05-Mar-22 9:00:01 AM CST,Occupied
05-Mar-22 4:00:01 PM CST,UnOccupied
06-Mar-22 9:00:02 AM CST,Occupied
06-Mar-22 4:00:01 PM CST,UnOccupied
07-Mar-22 7:00:02 AM CST,Occupied
07-Mar-22 5:00:02 PM CST,UnOccupied
08-Mar-22 7:00:01 AM CST,Occupied
08-Mar-22 5:00:01 PM CST,UnOccupied
09-Mar-22 7:00:01 AM CST,Occupied
09-Mar-22 5:00:02 PM CST,UnOccupied
10-Mar-22 7:00:01 AM CST,Occupied
10-Mar-22 5:00:02 PM CST,UnOccupied
11-Mar-22 7:00:02 AM CST,Occupied
11-Mar-22 5:00:02 PM CST,UnOccupied
12-Mar-22 9:00:02 AM CST,Occupied
12-Mar-22 4:00:01 PM CST,UnOccupied
13-Mar-22 9:00:01 AM CDT,Occupied
13-Mar-22 4:00:01 PM CDT,UnOccupied
14-Mar-22 7:00:01 AM CDT,Occupied
14-Mar-22 5:00:01 PM CDT,UnOccupied
15-Mar-22 7:00:01 AM CDT,Occupied
15-Mar-22 5:00:02 PM CDT,UnOccupied
16-Mar-22 7:00:02 AM CDT,Occupied
16-Mar-22 5:00:01 PM CDT,UnOccupied
17-Mar-22 7:00:02 AM CDT,Occupied
17-Mar-22 5:00:02 PM CDT,UnOccupied
18-Mar-22 7:00:02 AM CDT,Occupied
18-Mar-22 5:00:01 PM CDT,UnOccupied
19-Mar-22 9:00:02 AM CDT,Occupied
19-Mar-22 4:00:01 PM CDT,UnOccupied
20-Mar-22 9:00:02 AM CDT,Occupied
20-Mar-22 4:00:01 PM CDT,UnOccupied
21-Mar-22 7:00:02 AM CDT,Occupied
21-Mar-22 5:00:02 PM CDT,UnOccupied
22-Mar-22 7:00:02 AM CDT,Occupied
22-Mar-22 5:00:01 PM CDT,UnOccupied
23-Mar-22 7:00:02 AM CDT,Occupied
23-Mar-22 5:00:02 PM CDT,UnOccupied
24-Mar-22 7:00:01 AM CDT,Occupied
24-Mar-22 5:00:02 PM CDT,UnOccupied
25-Mar-22 7:00:01 AM CDT,Occupied
25-Mar-22 5:00:02 PM CDT,UnOccupied
26-Mar-22 9:00:01 AM CDT,Occupied
26-Mar-22 4:00:02 PM CDT,UnOccupied
27-Mar-22 9:00:02 AM CDT,Occupied
27-Mar-22 4:00:01 PM CDT,UnOccupied
28-Mar-22 7:00:02 AM CDT,Occupied
28-Mar-22 5:00:01 PM CDT,UnOccupied
29-Mar-22 7:00:02 AM CDT,Occupied
29-Mar-22 5:00:02 PM CDT,UnOccupied
30-Mar-22 7:00:02 AM CDT,Occupied
30-Mar-22 5:00:06 PM CDT,UnOccupied
31-Mar-22 7:00:02 AM CDT,Occupied
31-Mar-22 5:00:01 PM CDT,UnOccupied
01-Apr-22 7:00:02 AM CDT,Occupied
01-Apr-22 5:00:02 PM CDT,UnOccupied
02-Apr-22 9:00:01 AM CDT,Occupied
02-Apr-22 4:00:02 PM CDT,UnOccupied
03-Apr-22 9:00:02 AM CDT,Occupied
03-Apr-22 4:00:02 PM CDT,UnOccupied
04-Apr-22 7:00:02 AM CDT,Occupied
04-Apr-22 5:00:02 PM CDT,UnOccupied
05-Apr-22 7:00:02 AM CDT,Occupied
05-Apr-22 5:00:02 PM CDT,UnOccupied
06-Apr-22 7:00:02 AM CDT,Occupied
06-Apr-22 5:00:02 PM CDT,UnOccupied
07-Apr-22 7:00:01 AM CDT,Occupied
07-Apr-22 5:00:01 PM CDT,UnOccupied
08-Apr-22 7:00:01 AM CDT,Occupied
08-Apr-22 5:00:02 PM CDT,UnOccupied
09-Apr-22 9:00:01 AM CDT,Occupied
09-Apr-22 4:00:01 PM CDT,UnOccupied
10-Apr-22 9:00:01 AM CDT,Occupied
10-Apr-22 4:00:02 PM CDT,UnOccupied
11-Apr-22 7:00:02 AM CDT,Occupied
11-Apr-22 5:00:02 PM CDT,UnOccupied
12-Apr-22 7:00:01 AM CDT,Occupied
12-Apr-22 5:00:02 PM CDT,UnOccupied
13-Apr-22 7:00:01 AM CDT,Occupied
13-Apr-22 5:00:01 PM CDT,UnOccupied
14-Apr-22 7:00:01 AM CDT,Occupied
14-Apr-22 5:00:01 PM CDT,UnOccupied
15-Apr-22 7:00:01 AM CDT,Occupied
15-Apr-22 5:00:02 PM CDT,UnOccupied
16-Apr-22 9:00:01 AM CDT,Occupied
16-Apr-22 4:00:01 PM CDT,UnOccupied
17-Apr-22 9:00:02 AM CDT,Occupied
17-Apr-22 4:00:01 PM CDT,UnOccupied
18-Apr-22 7:00:02 AM CDT,Occupied
18-Apr-22 5:00:02 PM CDT,UnOccupied
19-Apr-22 7:00:01 AM CDT,Occupied
19-Apr-22 5:00:01 PM CDT,UnOccupied
20-Apr-22 7:00:01 AM CDT,Occupied
20-Apr-22 5:00:02 PM CDT,UnOccupied
21-Apr-22 7:00:02 AM CDT,Occupied
21-Apr-22 5:00:01 PM CDT,UnOccupied
22-Apr-22 7:00:02 AM CDT,Occupied
22-Apr-22 5:00:02 PM CDT,UnOccupied
23-Apr-22 9:00:02 AM CDT,Occupied
23-Apr-22 4:00:01 PM CDT,UnOccupied
24-Apr-22 9:00:01 AM CDT,Occupied
24-Apr-22 4:00:02 PM CDT,UnOccupied
25-Apr-22 7:00:01 AM CDT,Occupied
25-Apr-22 5:00:01 PM CDT,UnOccupied
26-Apr-22 7:00:01 AM CDT,Occupied
