Date,oat,mat
2023-01-18 10:53:00,96,63
2023-01-18 11:08:00,97,62
2023-01-18 11:23:00,96,61
2023-01-18 11:38:00,97,62
2023-01-18 11:53:00,96,61
2023-01-18 12:08:00,97,62
2023-01-18 12:23:00,96,63
2023-01-18 12:38:00,95,62
2023-01-18 12:53:00,96,63
2023-01-18 13:08:00,95,64
2023-01-18 13:23:00,94,65
2023-01-18 13:38:00,95,64
2023-01-18 13:53:00,96,65
2023-01-18 14:08:00,97,64
2023-01-18 14:23:00,96,65
2023-01-18 14:38:00,97,66
2023-01-18 14:53:00,96,67
2023-01-18 15:08:00,97,68
2023-01-18 15:23:00,96,67
2023-01-18 15:38:00,97,68
2023-01-18 15:53:00,98,69
2023-01-18 16:08:00,99,70
2023-01-18 16:23:00,98,71
2023-01-18 16:38:00,99,72
2023-01-18 16:53:00,98,71
2023-01-18 17:08:00,97,72
2023-01-18 17:23:00,98,73
2023-01-18 17:38:00,97,72
2023-01-18 17:53:00,96,73
2023-01-18 18:08:00,95,72
2023-01-18 18:23:00,96,71
2023-01-18 18:38:00,97,72
2023-01-18 18:53:00,96,73
2023-01-18 19:08:00,97,72
2023-01-18 19:23:00,96,71
2023-01-18 19:38:00,97,72
2023-01-18 19:53:00,98,73
2023-01-18 20:08:00,97,74
2023-01-18 20:23:00,98,75
2023-01-18 20:38:00,99,76
2023-01-18 20:53:00,100,75
2023-01-18 21:08:00,100,74
2023-01-18 21:23:00,100,75
2023-01-18 21:38:00,99,74
2023-01-18 21:53:00,98,73
2023-01-18 22:08:00,99,74
2023-01-18 22:23:00,100,75
2023-01-18 22:38:00,100,76
2023-01-18 22:53:00,99,77
2023-01-18 23:08:00,100,78
2023-01-18 23:23:00,99,77
2023-01-18 23:38:00,100,76
2023-01-18 23:53:00,99,75
2023-01-19 00:08:00,98,74
2023-01-19 00:23:00,99,75
2023-01-19 00:38:00,98,74
2023-01-19 00:53:00,97,75
2023-01-19 01:08:00,98,74
2023-01-19 01:23:00,97,75
2023-01-19 01:38:00,96,74
2023-01-19 01:53:00,95,73
2023-01-19 02:08:00,94,72
2023-01-19 02:23:00,93,71
2023-01-19 02:38:00,92,70
2023-01-19 02:53:00,93,71
2023-01-19 03:08:00,94,70
2023-01-19 03:23:00,95,69
2023-01-19 03:38:00,96,68
2023-01-19 03:53:00,97,69
2023-01-19 04:08:00,98,68
2023-01-19 04:23:00,99,67
2023-01-19 04:38:00,100,68
2023-01-19 04:53:00,99,69
2023-01-19 05:08:00,98,68
2023-01-19 05:23:00,99,69
2023-01-19 05:38:00,98,68
2023-01-19 05:53:00,99,67
2023-01-19 06:08:00,98,66
2023-01-19 06:23:00,99,67
2023-01-19 06:38:00,98,66
2023-01-19 06:53:00,97,65
2023-01-19 07:08:00,96,64
2023-01-19 07:23:00,97,63
2023-01-19 07:38:00,96,64
2023-01-19 07:53:00,95,65
2023-01-19 08:08:00,94,64
2023-01-19 08:23:00,93,63
2023-01-19 08:38:00,92,64
2023-01-19 08:53:00,91,65
2023-01-19 09:08:00,92,66
2023-01-19 09:23:00,93,67
2023-01-19 09:38:00,94,68
2023-01-19 09:53:00,93,69
2023-01-19 10:08:00,94,70
2023-01-19 10:23:00,95,71
2023-01-19 10:38:00,94,70
2023-01-19 10:53:00,93,71
2023-01-19 11:08:00,92,70
2023-01-19 11:23:00,91,69
2023-01-19 11:38:00,90,70
2023-01-19 11:53:00,91,71
2023-01-19 12:08:00,90,70
2023-01-19 12:23:00,89,71
2023-01-19 12:38:00,90,72
2023-01-19 12:53:00,91,71
2023-01-19 13:08:00,90,70
2023-01-19 13:23:00,91,69
2023-01-19 13:38:00,90,68
2023-01-19 13:53:00,89,69
2023-01-19 14:08:00,90,68
2023-01-19 14:23:00,89,67
2023-01-19 14:38:00,90,66
2023-01-19 14:53:00,89,67
2023-01-19 15:08:00,88,68
