Date,satsp,oat,clg,economizer_sig,supply_vfd_speed
1/18/2023 10:21,89,78,92,20,0
1/18/2023 10:36,90,79,91,20,0
1/18/2023 10:51,89,78,92,20,0
1/18/2023 11:06,90,79,91,20,0
1/18/2023 11:21,89,80,92,100,0
1/18/2023 11:36,90,79,93,100,0
1/18/2023 11:51,90,80,94,20,0
1/18/2023 12:06,89,79,95,20,0
1/18/2023 12:21,88,80,96,20,0
1/18/2023 12:36,89,79,97,20,0
1/18/2023 12:51,90,78,98,20,0
1/18/2023 13:06,89,77,99,20,0
1/18/2023 13:21,90,78,100,20,0
1/18/2023 13:36,90,77,99,100,0
1/18/2023 13:51,90,78,98,100,0
1/18/2023 14:06,90,77,97,20,0
1/18/2023 14:21,89,76,98,20,0
1/18/2023 14:36,88,77,99,20,0
1/18/2023 14:51,87,78,98,20,0
1/18/2023 15:06,88,79,99,20,0
1/18/2023 15:21,87,78,100,20,0
1/18/2023 15:36,88,79,100,20,0
1/18/2023 15:51,87,80,100,100,0
1/18/2023 16:06,86,79,99,100,0
1/18/2023 16:21,85,78,100,20,0
1/18/2023 16:36,86,79,99,20,0
1/18/2023 16:51,87,80,98,20,0
1/18/2023 17:06,86,79,97,20,0
1/18/2023 17:21,87,78,98,20,0
1/18/2023 17:36,86,77,97,20,0
1/18/2023 17:51,85,78,96,20,0
1/18/2023 18:06,84,79,97,100,0
1/18/2023 18:21,85,78,98,100,0
1/18/2023 18:36,84,77,99,20,0
1/18/2023 18:51,83,78,98,20,0
1/18/2023 19:06,84,79,97,20,0
1/18/2023 19:21,83,78,96,20,0
1/18/2023 19:36,84,77,97,20,0
1/18/2023 19:51,83,78,96,20,0
1/18/2023 20:06,84,79,95,20,0
1/18/2023 20:21,83,80,94,100,0
1/18/2023 20:36,82,79,95,100,0
1/18/2023 20:51,81,80,96,20,0
1/18/2023 21:06,82,79,97,20,0
1/18/2023 21:21,83,78,98,20,0
1/18/2023 21:36,84,79,97,20,0
1/18/2023 21:51,85,78,96,20,0
1/18/2023 22:06,86,77,97,20,0
1/18/2023 22:21,87,78,96,20,0
1/18/2023 22:36,86,79,97,100,0
1/18/2023 22:51,87,80,98,100,0
1/18/2023 23:06,88,79,99,20,0
1/18/2023 23:21,87,80,100,20,37
1/18/2023 23:36,88,79,99,20,36
1/18/2023 23:51,89,80,100,20,35
1/19/2023 0:06,90,81,100,55,36
1/19/2023 0:21,90,82,100,20,37
1/19/2023 0:36,90,83,99,20,38
1/19/2023 0:51,90,84,100,55,39
1/19/2023 1:06,90,83,100,20,40
1/19/2023 1:21,89,82,99,55,41
1/19/2023 1:36,88,81,100,20,40
1/19/2023 1:51,87,80,100,55,41
1/19/2023 2:06,88,79,100,20,40
1/19/2023 2:21,89,80,99,20,39
1/19/2023 2:36,90,79,98,20,38
1/19/2023 2:51,90,80,97,55,37
1/19/2023 3:06,90,79,98,20,38
1/19/2023 3:21,90,78,99,20,37
