Date,sat,oat
2023-01-18 10:21:00,60,48
2023-01-18 10:36:00,60,49
2023-01-18 10:51:00,60,48
2023-01-18 11:06:00,60,47
2023-01-18 11:21:00,60,46
2023-01-18 11:36:00,60,47
2023-01-18 11:51:00,61,48
2023-01-18 12:06:00,62,47
2023-01-18 12:21:00,63,48
2023-01-18 12:36:00,64,47
2023-01-18 12:51:00,65,46
2023-01-18 13:06:00,66,45
2023-01-18 13:21:00,65,44
2023-01-18 13:36:00,66,43
2023-01-18 13:51:00,67,42
2023-01-18 14:06:00,68,41
2023-01-18 14:21:00,67,40
2023-01-18 14:36:00,68,41
2023-01-18 14:51:00,67,42
2023-01-18 15:06:00,66,43
2023-01-18 15:21:00,67,42
2023-01-18 15:36:00,66,41
2023-01-18 15:51:00,65,42
2023-01-18 16:06:00,66,41
2023-01-18 16:21:00,65,42
2023-01-18 16:36:00,66,43
2023-01-18 16:51:00,65,42
2023-01-18 17:06:00,66,43
2023-01-18 17:21:00,65,42
2023-01-18 17:36:00,66,43
2023-01-18 17:51:00,67,44
2023-01-18 18:06:00,66,45
2023-01-18 18:21:00,65,46
2023-01-18 18:36:00,66,45
2023-01-18 18:51:00,67,44
2023-01-18 19:06:00,68,43
2023-01-18 19:21:00,69,42
2023-01-18 19:36:00,70,43
2023-01-18 19:51:00,69,44
2023-01-18 20:06:00,70,43
2023-01-18 20:21:00,69,42
2023-01-18 20:36:00,68,41
2023-01-18 20:51:00,69,42
2023-01-18 21:06:00,68,43
2023-01-18 21:21:00,67,42
2023-01-18 21:36:00,68,41
2023-01-18 21:51:00,67,42
2023-01-18 22:06:00,68,41
2023-01-18 22:21:00,69,40
2023-01-18 22:36:00,68,41
2023-01-18 22:51:00,67,40
2023-01-18 23:06:00,68,41
2023-01-18 23:21:00,67,42
2023-01-18 23:36:00,66,43
2023-01-18 23:51:00,65,42
2023-01-19 00:06:00,66,43
2023-01-19 00:21:00,67,42
2023-01-19 00:36:00,66,43
2023-01-19 00:51:00,65,44
2023-01-19 01:06:00,66,45
2023-01-19 01:21:00,67,46
2023-01-19 01:36:00,68,47
2023-01-19 01:51:00,67,48
