Date,mat,rat,oat,supply_vfd_speed
12/21/2022 12:38,45,40,29,0
12/21/2022 12:53,44,39,28,0
12/21/2022 13:08,45,40,29,0
12/21/2022 13:23,44,39,30,0
12/21/2022 13:38,43,40,31,0
12/21/2022 13:53,42,41,32,0
12/21/2022 14:08,43,40,33,0
12/21/2022 14:23,44,39,34,0
12/21/2022 14:38,45,40,33,0
12/21/2022 14:53,44,39,32,0
12/21/2022 15:08,45,40,33,0
12/21/2022 15:23,44,41,32,0
12/21/2022 15:38,43,40,31,0
12/21/2022 15:53,44,41,30,0
12/21/2022 16:08,43,40,29,0
12/21/2022 16:23,42,39,28,0
12/21/2022 16:38,43,38,29,0
12/21/2022 16:53,42,39,30,0
12/21/2022 17:08,43,38,31,0
12/21/2022 17:23,42,39,32,0
12/21/2022 17:38,41,38,33,0
12/21/2022 17:53,40,39,32,0
12/21/2022 18:08,41,38,31,0
12/21/2022 18:23,40,39,30,0
12/21/2022 18:38,39,40,31,0
12/21/2022 18:53,40,41,30,0
12/21/2022 19:08,39,40,31,0
12/21/2022 19:23,40,39,32,0
12/21/2022 19:38,39,40,33,0
12/21/2022 19:53,40,41,32,0
12/21/2022 20:08,39,42,31,0
12/21/2022 20:23,38,43,32,0
12/21/2022 20:38,39,44,31,0
12/21/2022 20:53,38,43,32,0
12/21/2022 21:08,37,44,31,0
12/21/2022 21:23,38,43,30,0
12/21/2022 21:38,37,44,31,0
12/21/2022 21:53,38,45,32,0
12/21/2022 22:08,39,44,33,0
12/21/2022 22:23,38,45,34,0
12/21/2022 22:38,39,46,35,0
12/21/2022 22:53,40,47,36,0
12/21/2022 23:08,41,48,35,0
12/21/2022 23:23,40,47,34,0
12/21/2022 23:38,39,48,35,0
12/21/2022 23:53,40,49,34,0
12/22/2022 0:08,41,50,35,0
12/22/2022 0:23,40,51,34,0
12/22/2022 0:38,39,50,33,0
12/22/2022 0:53,38,51,32,0
12/22/2022 1:08,37,52,33,0
12/22/2022 1:23,38,53,34,0
12/22/2022 1:38,39,52,35,37
12/22/2022 1:53,40,51,34,36
12/22/2022 2:08,39,52,35,35
12/22/2022 2:23,40,51,36,36
12/22/2022 2:38,39,50,37,37
12/22/2022 2:53,40,49,38,38
12/22/2022 3:08,41,48,37,39
12/22/2022 3:23,40,47,38,40
12/22/2022 3:38,41,46,37,41
12/22/2022 3:53,40,45,38,40
12/22/2022 4:08,39,46,39,41
12/22/2022 4:23,38,47,40,40
12/22/2022 4:38,37,46,39,39
12/22/2022 4:53,38,45,38,38
12/22/2022 5:08,39,46,39,37
12/22/2022 5:23,40,45,40,38
12/22/2022 5:38,41,46,41,37
12/22/2022 5:53,40,45,42,38
12/22/2022 6:08,41,46,43,37
12/22/2022 6:23,40,47,44,36
12/22/2022 6:38,41,48,43,35
12/22/2022 6:53,40,49,44,36
12/22/2022 7:08,39,48,45,37
12/22/2022 7:23,38,49,46,38
12/22/2022 7:38,37,48,47,39
12/22/2022 7:53,36,49,48,38
12/22/2022 8:08,35,48,47,39
12/22/2022 8:23,34,47,46,38
12/22/2022 8:38,33,48,45,37
12/22/2022 8:53,32,47,44,36
12/22/2022 9:08,33,46,43,35
12/22/2022 9:23,32,45,42,34
12/22/2022 9:38,31,46,43,33
12/22/2022 9:53,32,47,44,34
12/22/2022 10:08,33,46,43,35
12/22/2022 10:23,32,47,42,36
12/22/2022 10:38,33,48,41,37
12/22/2022 10:53,32,47,42,36
12/22/2022 11:08,31,46,43,35
12/22/2022 11:23,32,47,42,36
12/22/2022 11:38,31,46,43,35
12/22/2022 11:53,32,45,44,36
12/22/2022 12:08,31,46,43,35
