Date,mat,rat,oat
2022-12-21 12:39:00,52,72,16
2022-12-21 12:54:00,51,73,15
2022-12-21 13:09:00,50,74,14
2022-12-21 13:24:00,49,73,15
2022-12-21 13:39:00,48,72,14
2022-12-21 13:54:00,47,73,15
2022-12-21 14:09:00,46,74,16
2022-12-21 14:24:00,45,75,15
2022-12-21 14:39:00,44,74,16
2022-12-21 14:54:00,43,73,15
2022-12-21 15:09:00,42,72,14
2022-12-21 15:24:00,41,73,13
2022-12-21 15:39:00,40,74,14
2022-12-21 15:54:00,41,73,13
2022-12-21 16:09:00,40,74,14
2022-12-21 16:24:00,39,75,15
2022-12-21 16:39:00,38,76,16
2022-12-21 16:54:00,39,77,15
2022-12-21 17:09:00,40,78,14
2022-12-21 17:24:00,39,77,13
2022-12-21 17:39:00,40,76,14
2022-12-21 17:54:00,41,75,15
2022-12-21 18:09:00,40,74,16
2022-12-21 18:24:00,39,73,17
2022-12-21 18:39:00,40,72,18
2022-12-21 18:54:00,39,73,19
2022-12-21 19:09:00,38,72,20
2022-12-21 19:24:00,39,71,19
2022-12-21 19:39:00,40,72,20
2022-12-21 19:54:00,41,73,21
2022-12-21 20:09:00,40,74,22
2022-12-21 20:24:00,39,75,23
2022-12-21 20:39:00,38,74,24
2022-12-21 20:54:00,39,73,23
2022-12-21 21:09:00,40,74,22
2022-12-21 21:24:00,41,73,23
2022-12-21 21:39:00,40,72,22
2022-12-21 21:54:00,41,73,21
2022-12-21 22:09:00,40,72,22
2022-12-21 22:24:00,41,71,21
2022-12-21 22:39:00,40,72,20
2022-12-21 22:54:00,39,71,19
2022-12-21 23:09:00,40,72,18
2022-12-21 23:24:00,39,71,17
2022-12-21 23:39:00,40,72,16
2022-12-21 23:54:00,41,73,17
2022-12-22 00:09:00,42,74,18
2022-12-22 00:24:00,41,73,17
2022-12-22 00:39:00,40,72,16
2022-12-22 00:54:00,41,71,17
2022-12-22 01:09:00,42,70,18
2022-12-22 01:24:00,43,71,19
2022-12-22 01:39:00,42,70,20
2022-12-22 01:54:00,41,71,21
2022-12-22 02:09:00,42,70,22
2022-12-22 02:24:00,43,71,23
2022-12-22 02:39:00,44,70,22
2022-12-22 02:54:00,43,71,21
2022-12-22 03:09:00,42,70,22
2022-12-22 03:24:00,41,69,23
2022-12-22 03:39:00,42,68,24
2022-12-22 03:54:00,43,69,23
2022-12-22 04:09:00,42,68,22
2022-12-22 04:24:00,43,67,23
2022-12-22 04:39:00,42,66,22
2022-12-22 04:54:00,43,67,23
2022-12-22 05:09:00,44,68,22
2022-12-22 05:24:00,43,69,21
2022-12-22 05:39:00,42,70,20
2022-12-22 05:54:00,43,71,19
2022-12-22 06:09:00,42,72,20
2022-12-22 06:24:00,41,73,21
2022-12-22 06:39:00,42,72,20
2022-12-22 06:54:00,43,73,21
2022-12-22 07:09:00,42,74,22
2022-12-22 07:24:00,41,73,21
2022-12-22 07:39:00,40,74,22
2022-12-22 07:54:00,39,73,23
2022-12-22 08:09:00,40,72,24
2022-12-22 08:24:00,39,73,25
2022-12-22 08:39:00,38,74,24
2022-12-22 08:54:00,39,73,23
2022-12-22 09:09:00,40,72,24
2022-12-22 09:24:00,41,71,23
2022-12-22 09:39:00,40,72,22
2022-12-22 09:54:00,41,73,23
2022-12-22 10:09:00,42,72,24
2022-12-22 10:24:00,41,71,23
2022-12-22 10:39:00,42,70,24
2022-12-22 10:54:00,43,71,23
2022-12-22 11:09:00,44,70,22
2022-12-22 11:24:00,45,71,21
2022-12-22 11:39:00,44,72,22
2022-12-22 11:54:00,45,73,23
2022-12-22 12:09:00,46,72,22
