Date,heating_sig,economizer_sig,cooling_sig
2022-12-23 10:11:00,32,77,13
2022-12-23 10:26:00,33,76,14
2022-12-23 10:41:00,32,77,15
2022-12-23 10:56:00,33,78,14
2022-12-23 11:11:00,32,79,13
2022-12-23 11:26:00,31,78,14
2022-12-23 11:41:00,30,79,15
2022-12-23 11:56:00,29,78,16
2022-12-23 12:11:00,28,77,15
2022-12-23 12:26:00,27,78,16
2022-12-23 12:41:00,28,79,15
2022-12-23 12:56:00,29,80,14
2022-12-23 13:11:00,30,81,15
2022-12-23 13:26:00,29,80,16
2022-12-23 13:41:00,28,79,17
2022-12-23 13:56:00,27,78,16
2022-12-23 14:11:00,26,77,15
2022-12-23 14:26:00,25,78,14
2022-12-23 14:41:00,26,77,13
2022-12-23 14:56:00,25,76,14
2022-12-23 15:11:00,24,77,13
2022-12-23 15:26:00,25,78,12
2022-12-23 15:41:00,26,77,11
2022-12-23 15:56:00,25,78,10
2022-12-23 16:11:00,24,79,9
2022-12-23 16:26:00,23,80,10
2022-12-23 16:41:00,22,79,11
2022-12-23 16:56:00,21,80,12
2022-12-23 17:11:00,20,79,11
2022-12-23 17:26:00,19,78,12
2022-12-23 17:41:00,18,77,11
2022-12-23 17:56:00,19,76,10
2022-12-23 18:11:00,20,77,11
2022-12-23 18:26:00,19,78,12
2022-12-23 18:41:00,20,77,11
2022-12-23 18:56:00,21,76,10
2022-12-23 19:11:00,20,75,11
2022-12-23 19:26:00,19,74,12
2022-12-23 19:41:00,20,73,13
2022-12-23 19:56:00,19,72,12
2022-12-23 20:11:00,18,73,11
2022-12-23 20:26:00,19,72,12
2022-12-23 20:41:00,20,71,11
2022-12-23 20:56:00,19,70,10
2022-12-23 21:11:00,20,71,9
2022-12-23 21:26:00,19,72,8
2022-12-23 21:41:00,20,71,7
2022-12-23 21:56:00,21,70,6
2022-12-23 22:11:00,20,69,7
2022-12-23 22:26:00,19,68,6
2022-12-23 22:41:00,18,69,5
2022-12-23 22:56:00,17,68,4
2022-12-23 23:11:00,16,67,5
2022-12-23 23:26:00,17,66,4
2022-12-23 23:41:00,18,67,5
2022-12-23 23:56:00,17,68,6
2022-12-24 00:11:00,18,69,7
2022-12-24 00:26:00,19,70,8
2022-12-24 00:41:00,20,69,9
2022-12-24 00:56:00,21,70,8
2022-12-24 01:11:00,22,71,9
2022-12-24 01:26:00,23,70,8
2022-12-24 01:41:00,22,69,7
2022-12-24 01:56:00,23,68,6
2022-12-24 02:11:00,22,69,5
2022-12-24 02:26:00,23,70,6
2022-12-24 02:41:00,24,71,7
2022-12-24 02:56:00,25,70,6
2022-12-24 03:11:00,26,71,7
2022-12-24 03:26:00,25,70,8
2022-12-24 03:41:00,26,71,7
2022-12-24 03:56:00,27,72,6
2022-12-24 04:11:00,28,71,7
2022-12-24 04:26:00,29,72,8
2022-12-24 04:41:00,28,71,9
2022-12-24 04:56:00,29,72,10
2022-12-24 05:11:00,30,73,9
2022-12-24 05:26:00,29,74,8
2022-12-24 05:41:00,30,73,7
2022-12-24 05:56:00,29,72,6
2022-12-24 06:11:00,30,73,5
2022-12-24 06:26:00,29,74,4
2022-12-24 06:41:00,30,73,5
2022-12-24 06:56:00,31,74,6
2022-12-24 07:11:00,30,73,5
2022-12-24 07:26:00,31,72,6
2022-12-24 07:41:00,32,71,5
2022-12-24 07:56:00,31,72,6
2022-12-24 08:11:00,30,71,7
2022-12-24 08:26:00,29,72,6
2022-12-24 08:41:00,30,71,5
2022-12-24 08:56:00,29,72,4
2022-12-24 09:11:00,28,73,5
2022-12-24 09:26:00,29,72,6
2022-12-24 09:41:00,28,73,7
2022-12-24 09:56:00,29,72,8
2022-12-24 10:11:00,30,71,7
2022-12-24 10:26:00,29,72,8
2022-12-24 10:41:00,28,71,7
2022-12-24 10:56:00,29,72,8
2022-12-24 11:11:00,28,73,9
2022-12-24 11:26:00,29,74,10
2022-12-24 11:41:00,28,73,11
2022-12-24 11:56:00,29,72,12
2022-12-24 12:11:00,28,71,13
2022-12-24 12:26:00,29,70,14
2022-12-24 12:41:00,30,71,13
2022-12-24 12:56:00,31,72,12
2022-12-24 13:11:00,32,73,11
2022-12-24 13:26:00,33,72,10
2022-12-24 13:41:00,32,73,11
2022-12-24 13:56:00,33,74,12
2022-12-24 14:11:00,32,75,11
2022-12-24 14:26:00,33,74,10
2022-12-24 14:41:00,32,75,11
2022-12-24 14:56:00,33,74,10
2022-12-24 15:11:00,34,75,11
2022-12-24 15:26:00,33,74,10
2022-12-24 15:41:00,34,73,11
2022-12-24 15:56:00,33,72,12
2022-12-24 16:11:00,34,71,11
2022-12-24 16:26:00,33,70,12
2022-12-24 16:41:00,34,71,13
2022-12-24 16:56:00,33,72,12
2022-12-24 17:11:00,32,73,13
2022-12-24 17:26:00,31,72,14
2022-12-24 17:41:00,32,73,15
2022-12-24 17:56:00,33,72,16
2022-12-24 18:11:00,34,73,17
2022-12-24 18:26:00,33,72,18
2022-12-24 18:41:00,34,71,17
2022-12-24 18:56:00,33,70,16
2022-12-24 19:11:00,34,71,17
2022-12-24 19:26:00,35,70,16
2022-12-24 19:41:00,36,71,15
2022-12-24 19:56:00,35,72,14
2022-12-24 20:11:00,34,71,15
2022-12-24 20:26:00,33,72,16
2022-12-24 20:41:00,34,71,17
2022-12-24 20:56:00,33,72,16
2022-12-24 21:11:00,34,71,15
2022-12-24 21:26:00,33,70,16
2022-12-24 21:41:00,34,69,15
2022-12-24 21:56:00,35,70,16
2022-12-24 22:11:00,36,71,15
2022-12-24 22:26:00,37,72,16
2022-12-24 22:41:00,38,71,15
2022-12-24 22:56:00,37,70,14
2022-12-24 23:11:00,36,71,15
2022-12-24 23:26:00,35,72,16
2022-12-24 23:41:00,34,73,17
2022-12-24 23:56:00,35,72,16
2022-12-25 00:11:00,34,71,17
2022-12-25 00:26:00,35,70,18
2022-12-25 00:41:00,36,69,19
2022-12-25 00:56:00,37,70,20
2022-12-25 01:11:00,36,71,19
2022-12-25 01:26:00,35,70,18
2022-12-25 01:41:00,34,69,19
2022-12-25 01:56:00,33,68,20
2022-12-25 02:11:00,34,67,19
2022-12-25 02:26:00,35,68,20
2022-12-25 02:41:00,34,69,21
2022-12-25 02:56:00,35,70,20
2022-12-25 03:11:00,34,69,19
2022-12-25 03:26:00,33,68,18
2022-12-25 03:41:00,32,69,17
2022-12-25 03:56:00,33,68,16
2022-12-25 04:11:00,32,67,17
2022-12-25 04:26:00,33,66,16
2022-12-25 04:41:00,34,67,17
2022-12-25 04:56:00,33,66,18
2022-12-25 05:11:00,34,65,17
2022-12-25 05:26:00,33,64,16
2022-12-25 05:41:00,34,65,15
2022-12-25 05:56:00,35,66,16
2022-12-25 06:11:00,36,67,15
2022-12-25 06:26:00,37,68,14
2022-12-25 06:41:00,38,69,13
2022-12-25 06:56:00,37,68,14
2022-12-25 07:11:00,36,69,15
2022-12-25 07:26:00,35,70,16
2022-12-25 07:41:00,36,71,17
2022-12-25 07:56:00,35,70,16
2022-12-25 08:11:00,36,69,15
2022-12-25 08:26:00,37,68,16
2022-12-25 08:41:00,38,67,15
2022-12-25 08:56:00,39,66,16
2022-12-25 09:11:00,40,67,17
2022-12-25 09:26:00,41,68,18
2022-12-25 09:41:00,40,67,17
2022-12-25 09:56:00,39,66,18
2022-12-25 10:11:00,38,67,17
2022-12-25 10:26:00,37,68,18
2022-12-25 10:41:00,36,67,19
2022-12-25 10:56:00,37,68,20
2022-12-25 11:11:00,38,69,19
2022-12-25 11:26:00,39,70,20
2022-12-25 11:41:00,38,69,19
2022-12-25 11:56:00,39,70,18
2022-12-25 12:11:00,40,71,17
2022-12-25 12:26:00,41,70,18
2022-12-25 12:41:00,40,69,17
2022-12-25 12:56:00,39,70,16
2022-12-25 13:11:00,38,71,15
2022-12-25 13:26:00,39,70,16
2022-12-25 13:41:00,40,71,17
2022-12-25 13:56:00,39,70,18
2022-12-25 14:11:00,40,71,17
2022-12-25 14:26:00,39,70,16
2022-12-25 14:41:00,38,71,15
2022-12-25 14:56:00,39,72,14
2022-12-25 15:11:00,40,71,13
2022-12-25 15:26:00,39,72,12
2022-12-25 15:41:00,38,71,13
2022-12-25 15:56:00,37,70,12
2022-12-25 16:11:00,38,71,11
2022-12-25 16:26:00,37,72,12
2022-12-25 16:41:00,36,71,13
2022-12-25 16:56:00,37,70,14
2022-12-25 17:11:00,36,71,15
2022-12-25 17:26:00,35,72,14
2022-12-25 17:41:00,34,73,13
2022-12-25 17:56:00,35,74,14
2022-12-25 18:11:00,34,73,13
2022-12-25 18:26:00,33,72,12
2022-12-25 18:41:00,32,73,11
2022-12-25 18:56:00,31,72,10
2022-12-25 19:11:00,32,73,9
2022-12-25 19:26:00,33,74,8
2022-12-25 19:41:00,34,73,7
2022-12-25 19:56:00,33,72,6
2022-12-25 20:11:00,32,71,7
2022-12-25 20:26:00,33,72,8
2022-12-25 20:41:00,34,73,9
2022-12-25 20:56:00,33,74,10
2022-12-25 21:11:00,32,73,11
2022-12-25 21:26:00,31,72,12
2022-12-25 21:41:00,30,71,13
2022-12-25 21:56:00,29,70,14
2022-12-25 22:11:00,28,71,15
2022-12-25 22:26:00,27,70,14
2022-12-25 22:41:00,28,71,13
2022-12-25 22:56:00,27,72,14
2022-12-25 23:11:00,28,71,15
2022-12-25 23:26:00,27,72,16
2022-12-25 23:41:00,28,71,17
2022-12-25 23:56:00,27,72,16
2022-12-26 00:11:00,28,71,17
2022-12-26 00:26:00,29,70,16
2022-12-26 00:41:00,28,71,17
2022-12-26 00:56:00,27,72,18
2022-12-26 01:11:00,26,73,17
2022-12-26 01:26:00,25,74,18
2022-12-26 01:41:00,24,73,19
2022-12-26 01:56:00,25,74,20
2022-12-26 02:11:00,26,73,19
2022-12-26 02:26:00,27,74,20
2022-12-26 02:41:00,26,75,19
2022-12-26 02:56:00,25,76,18
2022-12-26 03:11:00,26,75,19
2022-12-26 03:26:00,27,76,18
2022-12-26 03:41:00,26,75,17
2022-12-26 03:56:00,25,74,16
2022-12-26 04:11:00,26,75,17
2022-12-26 04:26:00,25,76,18
2022-12-26 04:41:00,24,75,17
2022-12-26 04:56:00,25,74,18
2022-12-26 05:11:00,24,75,19
2022-12-26 05:26:00,23,76,18
2022-12-26 05:41:00,22,75,19
2022-12-26 05:56:00,21,76,20
2022-12-26 06:11:00,22,75,19
2022-12-26 06:26:00,23,74,20
2022-12-26 06:41:00,22,73,19
2022-12-26 06:56:00,23,72,20
2022-12-26 07:11:00,22,71,21
2022-12-26 07:26:00,21,72,20
2022-12-26 07:41:00,20,73,19
2022-12-26 07:56:00,21,74,18
2022-12-26 08:11:00,22,73,17
2022-12-26 08:26:00,21,74,18
2022-12-26 08:41:00,22,75,19
2022-12-26 08:56:00,23,74,18
2022-12-26 09:11:00,22,75,19
2022-12-26 09:26:00,21,74,18
2022-12-26 09:41:00,22,73,17
2022-12-26 09:56:00,21,72,16
2022-12-26 10:11:00,22,73,15
2022-12-26 10:26:00,23,72,14
2022-12-26 10:41:00,24,71,15
2022-12-26 10:56:00,25,70,16
2022-12-26 11:11:00,26,69,17
2022-12-26 11:26:00,27,68,18
2022-12-26 11:41:00,26,67,17
2022-12-26 11:56:00,25,66,16
2022-12-26 12:11:00,26,65,17
2022-12-26 12:26:00,27,64,18
2022-12-26 12:41:00,26,63,19
2022-12-26 12:56:00,25,62,20
2022-12-26 13:11:00,26,63,21
2022-12-26 13:26:00,25,64,20
2022-12-26 13:41:00,26,65,19
2022-12-26 13:56:00,25,66,18
2022-12-26 14:11:00,24,67,19
2022-12-26 14:26:00,23,66,18
2022-12-26 14:41:00,24,65,19
2022-12-26 14:56:00,25,66,18
2022-12-26 15:11:00,26,67,19
2022-12-26 15:26:00,25,66,18
2022-12-26 15:41:00,26,65,19
2022-12-26 15:56:00,27,64,20
2022-12-26 16:11:00,28,65,21
2022-12-26 16:26:00,29,64,22
2022-12-26 16:41:00,30,65,23
2022-12-26 16:56:00,29,66,24
2022-12-26 17:11:00,28,65,25
2022-12-26 17:26:00,27,66,26
2022-12-26 17:41:00,28,67,27
2022-12-26 17:56:00,27,68,28
2022-12-26 18:11:00,26,69,29
2022-12-26 18:26:00,25,68,28
2022-12-26 18:41:00,26,69,29
2022-12-26 18:56:00,25,70,30
2022-12-26 19:11:00,24,69,31
2022-12-26 19:26:00,23,68,32
2022-12-26 19:41:00,24,69,31
2022-12-26 19:56:00,23,70,30
2022-12-26 20:11:00,22,69,29
2022-12-26 20:26:00,21,68,30
2022-12-26 20:41:00,20,69,29
2022-12-26 20:56:00,19,70,30
2022-12-26 21:11:00,18,69,31
2022-12-26 21:26:00,19,68,30
2022-12-26 21:41:00,18,67,31
2022-12-26 21:56:00,19,68,32
2022-12-26 22:11:00,18,67,33
2022-12-26 22:26:00,17,68,34
2022-12-26 22:41:00,18,67,33
2022-12-26 22:56:00,19,68,32
2022-12-26 23:11:00,20,69,33
2022-12-26 23:26:00,19,68,34
2022-12-26 23:41:00,18,69,35
2022-12-26 23:56:00,17,68,36
2022-12-27 00:11:00,18,69,37
2022-12-27 00:26:00,17,68,38
2022-12-27 00:41:00,16,69,37
2022-12-27 00:56:00,15,70,38
2022-12-27 01:11:00,14,71,39
2022-12-27 01:26:00,15,70,40
2022-12-27 01:41:00,14,71,41
2022-12-27 01:56:00,15,72,42
2022-12-27 02:11:00,14,71,43
2022-12-27 02:26:00,15,70,42
2022-12-27 02:41:00,16,69,43
2022-12-27 02:56:00,15,68,42
2022-12-27 03:11:00,16,67,43
2022-12-27 03:26:00,17,68,44
2022-12-27 03:41:00,18,67,43
2022-12-27 03:56:00,19,68,42
2022-12-27 04:11:00,20,67,43
2022-12-27 04:26:00,21,68,44
2022-12-27 04:41:00,20,67,43
2022-12-27 04:56:00,19,66,42
2022-12-27 05:11:00,20,67,43
2022-12-27 05:26:00,19,66,42
2022-12-27 05:41:00,18,65,41
2022-12-27 05:56:00,17,66,42
2022-12-27 06:11:00,16,65,43
2022-12-27 06:26:00,15,64,44
2022-12-27 06:41:00,14,65,45
2022-12-27 06:56:00,13,64,46
2022-12-27 07:11:00,14,65,45
2022-12-27 07:26:00,15,64,44
2022-12-27 07:41:00,16,65,45
2022-12-27 07:56:00,15,66,46
2022-12-27 08:11:00,16,67,45
2022-12-27 08:26:00,17,68,44
2022-12-27 08:41:00,16,69,45
2022-12-27 08:56:00,15,70,46
2022-12-27 09:11:00,16,71,45
2022-12-27 09:26:00,17,72,46
2022-12-27 09:41:00,18,73,45
2022-12-27 09:56:00,19,74,46
2022-12-27 10:11:00,18,73,47
2022-12-27 10:26:00,17,72,46
2022-12-27 10:41:00,16,71,45
2022-12-27 10:56:00,15,72,44
2022-12-27 11:11:00,14,71,45
2022-12-27 11:26:00,15,70,44
2022-12-27 11:41:00,14,71,43
2022-12-27 11:56:00,15,70,44
2022-12-27 12:11:00,14,69,43
2022-12-27 12:26:00,15,68,42
2022-12-27 12:41:00,14,67,43
2022-12-27 12:56:00,13,68,42
2022-12-27 13:11:00,12,69,43
2022-12-27 13:26:00,13,70,42
2022-12-27 13:41:00,12,71,41
2022-12-27 13:56:00,11,72,42
2022-12-27 14:11:00,10,73,41
2022-12-27 14:26:00,11,74,40
2022-12-27 14:41:00,10,73,39
2022-12-27 14:56:00,11,74,40
2022-12-27 15:11:00,12,75,41
2022-12-27 15:26:00,13,76,42
2022-12-27 15:41:00,12,75,43
2022-12-27 15:56:00,13,74,44
2022-12-27 16:11:00,12,75,45
2022-12-27 16:26:00,11,74,46
2022-12-27 16:41:00,12,73,45
2022-12-27 16:56:00,11,72,44
2022-12-27 17:11:00,10,71,43
2022-12-27 17:26:00,9,70,44
2022-12-27 17:41:00,8,69,45
2022-12-27 17:56:00,9,68,46
2022-12-27 18:11:00,10,69,47
2022-12-27 18:26:00,9,68,48
2022-12-27 18:41:00,8,69,47
2022-12-27 18:56:00,7,70,46
2022-12-27 19:11:00,8,71,45
2022-12-27 19:26:00,7,70,44
2022-12-27 19:41:00,6,71,45
2022-12-27 19:56:00,7,70,44
2022-12-27 20:11:00,6,69,45
2022-12-27 20:26:00,5,68,46
2022-12-27 20:41:00,6,69,47
2022-12-27 20:56:00,7,68,48
2022-12-27 21:11:00,8,67,49
2022-12-27 21:26:00,7,66,48
2022-12-27 21:41:00,6,67,47
2022-12-27 21:56:00,5,66,46
2022-12-27 22:11:00,6,67,47
2022-12-27 22:26:00,5,68,46
2022-12-27 22:41:00,6,69,45
2022-12-27 22:56:00,7,70,46
2022-12-27 23:11:00,6,69,47
2022-12-27 23:26:00,7,68,46
2022-12-27 23:41:00,6,67,47
2022-12-27 23:56:00,5,68,48
2022-12-28 00:11:00,6,69,49
2022-12-28 00:26:00,7,68,50
2022-12-28 00:41:00,6,69,49
2022-12-28 00:56:00,7,68,50
2022-12-28 01:11:00,6,69,49
2022-12-28 01:26:00,7,70,48
2022-12-28 01:41:00,6,69,49
2022-12-28 01:56:00,7,68,48
2022-12-28 02:11:00,8,69,49
2022-12-28 02:26:00,7,70,50
2022-12-28 02:41:00,8,71,51
2022-12-28 02:56:00,7,72,52
2022-12-28 03:11:00,8,73,53
2022-12-28 03:26:00,9,74,52
2022-12-28 03:41:00,10,75,51
2022-12-28 03:56:00,9,76,52
2022-12-28 04:11:00,10,77,51
2022-12-28 04:26:00,9,78,50
2022-12-28 04:41:00,10,79,49
2022-12-28 04:56:00,9,80,48
2022-12-28 05:11:00,10,81,49
2022-12-28 05:26:00,9,82,48
2022-12-28 05:41:00,8,83,47
2022-12-28 05:56:00,7,84,46
2022-12-28 06:11:00,8,83,45
2022-12-28 06:26:00,9,84,46
2022-12-28 06:41:00,10,83,47
2022-12-28 06:56:00,9,84,46
2022-12-28 07:11:00,10,85,45
2022-12-28 07:26:00,9,84,44
2022-12-28 07:41:00,10,85,45
2022-12-28 07:56:00,11,86,46
2022-12-28 08:11:00,10,87,45
2022-12-28 08:26:00,11,86,44
2022-12-28 08:41:00,10,85,45
2022-12-28 08:56:00,9,86,44
2022-12-28 09:11:00,8,87,43
2022-12-28 09:26:00,9,88,42
2022-12-28 09:41:00,8,87,41
2022-12-28 09:56:00,7,86,42
2022-12-28 10:11:00,6,85,43
2022-12-28 10:26:00,5,86,44
2022-12-28 10:41:00,6,87,45
2022-12-28 10:56:00,5,86,44
2022-12-28 11:11:00,6,85,43
2022-12-28 11:26:00,7,86,42
2022-12-28 11:41:00,6,85,43
2022-12-28 11:56:00,7,84,42
2022-12-28 12:11:00,8,85,43
2022-12-28 12:26:00,9,84,44
2022-12-28 12:41:00,8,83,43
2022-12-28 12:56:00,9,82,44
2022-12-28 13:11:00,8,81,43
2022-12-28 13:26:00,7,80,42
2022-12-28 13:41:00,8,79,43
2022-12-28 13:56:00,7,78,42
2022-12-28 14:11:00,6,79,41
2022-12-28 14:26:00,5,80,42
2022-12-28 14:41:00,6,81,41
2022-12-28 14:56:00,7,80,42
2022-12-28 15:11:00,8,79,41
2022-12-28 15:26:00,7,80,42
2022-12-28 15:41:00,6,79,43
2022-12-28 15:56:00,7,78,44
2022-12-28 16:11:00,8,79,43
2022-12-28 16:26:00,7,80,44
2022-12-28 16:41:00,8,79,43
2022-12-28 16:56:00,9,78,44
2022-12-28 17:11:00,10,79,43
2022-12-28 17:26:00,9,80,44
2022-12-28 17:41:00,10,81,45
2022-12-28 17:56:00,11,80,46
2022-12-28 18:11:00,12,81,45
2022-12-28 18:26:00,13,82,46
2022-12-28 18:41:00,14,81,47
2022-12-28 18:56:00,13,82,48
2022-12-28 19:11:00,14,81,49
2022-12-28 19:26:00,13,82,48
2022-12-28 19:41:00,14,81,49
2022-12-28 19:56:00,15,80,48
2022-12-28 20:11:00,16,81,49
2022-12-28 20:26:00,17,82,50
2022-12-28 20:41:00,18,83,49
2022-12-28 20:56:00,19,84,48
2022-12-28 21:11:00,20,85,49
2022-12-28 21:26:00,19,86,48
2022-12-28 21:41:00,20,85,49
2022-12-28 21:56:00,19,84,50
