Date,sat,mat
2022-12-24 07:44:00,45,62
2022-12-24 07:59:00,46,61
2022-12-24 08:14:00,45,62
2022-12-24 08:29:00,46,61
2022-12-24 08:44:00,47,62
2022-12-24 08:59:00,46,63
2022-12-24 09:14:00,45,62
2022-12-24 09:29:00,44,61
2022-12-24 09:44:00,45,60
2022-12-24 09:59:00,46,61
2022-12-24 10:14:00,45,62
2022-12-24 10:29:00,46,63
2022-12-24 10:44:00,47,62
2022-12-24 10:59:00,46,61
2022-12-24 11:14:00,45,62
2022-12-24 11:29:00,46,61
2022-12-24 11:44:00,45,60
2022-12-24 11:59:00,44,61
2022-12-24 12:14:00,45,60
2022-12-24 12:29:00,46,61
2022-12-24 12:44:00,45,62
2022-12-24 12:59:00,44,63
2022-12-24 13:14:00,45,62
2022-12-24 13:29:00,44,63
2022-12-24 13:44:00,45,62
2022-12-24 13:59:00,44,63
2022-12-24 14:14:00,43,64
2022-12-24 14:29:00,44,63
2022-12-24 14:44:00,45,64
2022-12-24 14:59:00,44,63
2022-12-24 15:14:00,43,62
2022-12-24 15:29:00,42,61
2022-12-24 15:44:00,43,60
2022-12-24 15:59:00,42,59
2022-12-24 16:14:00,41,60
2022-12-24 16:29:00,42,61
2022-12-24 16:44:00,43,60
2022-12-24 16:59:00,42,59
2022-12-24 17:14:00,41,60
2022-12-24 17:29:00,42,59
2022-12-24 17:44:00,41,58
2022-12-24 17:59:00,42,59
2022-12-24 18:14:00,43,60
2022-12-24 18:29:00,44,61
2022-12-24 18:44:00,43,62
2022-12-24 18:59:00,42,63
2022-12-24 19:14:00,41,62
2022-12-24 19:29:00,42,63
2022-12-24 19:44:00,43,62
2022-12-24 19:59:00,42,61
2022-12-24 20:14:00,41,60
2022-12-24 20:29:00,40,61
2022-12-24 20:44:00,39,60
2022-12-24 20:59:00,40,59
2022-12-24 21:14:00,41,58
2022-12-24 21:29:00,40,59
2022-12-24 21:44:00,39,58
2022-12-24 21:59:00,40,57
2022-12-24 22:14:00,41,56
2022-12-24 22:29:00,42,57
2022-12-24 22:44:00,43,56
2022-12-24 22:59:00,44,55
2022-12-24 23:14:00,43,56
