Date,oat,rat,mat,vav_total_flow,supply_vfd_speed
1/13/2023 14:02,5,64,45,12089,0
1/13/2023 14:17,6,65,46,12090,0
1/13/2023 14:32,5,64,45,12089,0
1/13/2023 14:47,4,63,44,12090,0
1/13/2023 15:02,5,62,43,12089,0
1/13/2023 15:17,4,61,42,12088,0
1/13/2023 15:32,5,60,41,12089,0
1/13/2023 15:47,4,61,40,12090,0
1/13/2023 16:02,3,62,41,12089,0
1/13/2023 16:17,2,63,40,12088,0
1/13/2023 16:32,3,64,41,12089,0
1/13/2023 16:47,4,65,42,12090,0
1/13/2023 17:02,5,66,41,12089,0
1/13/2023 17:17,4,65,42,12088,0
1/13/2023 17:32,3,66,41,12087,0
1/13/2023 17:47,2,67,42,12086,0
1/13/2023 18:02,3,68,41,12085,0
1/13/2023 18:17,4,69,40,12084,0
1/13/2023 18:32,5,70,41,12083,0
1/13/2023 18:47,4,71,42,12084,0
1/13/2023 19:02,3,72,43,12085,0
1/13/2023 19:17,2,71,42,12084,0
1/13/2023 19:32,1,70,43,12083,0
1/13/2023 19:47,2,71,42,12082,0
1/13/2023 20:02,1,72,41,12083,0
1/13/2023 20:17,0,71,42,12082,0
1/13/2023 20:32,-1,72,43,12081,0
1/13/2023 20:47,0,73,44,12082,0
1/13/2023 21:02,1,74,43,12083,0
1/13/2023 21:17,0,75,44,12082,0
1/13/2023 21:32,1,76,43,12081,0
1/13/2023 21:47,2,75,44,12080,0
1/13/2023 22:02,3,76,45,12079,0
1/13/2023 22:17,2,75,44,12080,0
1/13/2023 22:32,3,74,43,12081,0
1/13/2023 22:47,4,73,44,12080,0
1/13/2023 23:02,5,72,45,12081,0
1/13/2023 23:17,4,71,46,12082,0
1/13/2023 23:32,5,70,45,12083,0
1/13/2023 23:47,6,69,44,12082,0
1/14/2023 0:02,7,70,43,12083,0
1/14/2023 0:17,6,69,44,12084,0
1/14/2023 0:32,7,70,45,12083,0
1/14/2023 0:47,8,71,44,12084,0
1/14/2023 1:02,7,70,45,12085,0
1/14/2023 1:17,8,69,44,12084,0
1/14/2023 1:32,7,70,43,12085,0
1/14/2023 1:47,8,71,44,12084,0
1/14/2023 2:02,9,70,45,12085,0
1/14/2023 2:17,8,69,44,12086,0
1/14/2023 2:32,9,70,43,12085,0
1/14/2023 2:47,8,71,42,12084,0
1/14/2023 3:02,7,70,43,12085,37
1/14/2023 3:17,8,71,44,12086,36
1/14/2023 3:32,7,70,43,12087,35
1/14/2023 3:47,6,69,44,12088,36
1/14/2023 4:02,7,70,45,12089,37
1/14/2023 4:17,8,71,44,12088,38
1/14/2023 4:32,7,70,43,12089,39
1/14/2023 4:47,8,69,42,12090,40
1/14/2023 5:02,7,70,43,12091,41
1/14/2023 5:17,8,69,44,12092,40
1/14/2023 5:32,7,68,43,12091,41
1/14/2023 5:47,8,69,42,12092,40
1/14/2023 6:02,9,68,41,12091,39
1/14/2023 6:17,8,67,42,12092,38
1/14/2023 6:32,9,68,43,12091,37
1/14/2023 6:47,10,67,44,12092,38
1/14/2023 7:02,9,66,43,12091,37
1/14/2023 7:17,8,67,44,12092,38
1/14/2023 7:32,9,68,45,12091,37
1/14/2023 7:47,10,69,46,12090,36
1/14/2023 8:02,11,68,47,12091,35
1/14/2023 8:17,10,67,46,12090,36
1/14/2023 8:32,11,66,47,12091,37
1/14/2023 8:47,10,67,46,12092,38
1/14/2023 9:02,9,66,45,12091,39
1/14/2023 9:17,10,65,44,12090,38
1/14/2023 9:32,11,66,45,12091,39
1/14/2023 9:47,10,65,44,12090,38
1/14/2023 10:02,9,66,45,12091,37
1/14/2023 10:17,10,67,44,12090,36
1/14/2023 10:32,11,68,45,12091,35
1/14/2023 10:47,10,67,44,12090,34
1/14/2023 11:02,11,68,43,12089,33
1/14/2023 11:17,10,69,44,12090,34
1/14/2023 11:32,11,68,45,12089,35
1/14/2023 11:47,10,69,44,12090,36
1/14/2023 12:02,9,70,45,12089,37
1/14/2023 12:17,8,69,46,12090,36
1/14/2023 12:32,7,68,47,12091,35
1/14/2023 12:47,6,67,46,12092,36
1/14/2023 13:02,5,68,47,12091,35
1/14/2023 13:17,4,69,48,12090,36
1/14/2023 13:32,5,68,49,12091,35
1/14/2023 13:47,4,67,48,12090,34
1/14/2023 14:02,3,66,47,12091,33
1/14/2023 14:17,4,65,46,12090,32
1/14/2023 14:32,5,64,47,12091,33
1/14/2023 14:47,4,65,46,12092,32
1/14/2023 15:02,5,64,45,12093,33
1/14/2023 15:17,6,65,44,12092,32
1/14/2023 15:32,7,66,45,12093,33
1/14/2023 15:47,6,67,46,12094,32
1/14/2023 16:02,7,68,47,12095,31
1/14/2023 16:17,6,69,48,12094,32
1/14/2023 16:32,5,70,47,12095,33
1/14/2023 16:47,6,71,46,12096,34
1/14/2023 17:02,7,72,47,12097,33
1/14/2023 17:17,6,71,48,12096,32
1/14/2023 17:32,7,70,47,12097,33
1/14/2023 17:47,6,71,46,12098,34
1/14/2023 18:02,5,70,45,12097,35
1/14/2023 18:17,6,71,46,12096,36
1/14/2023 18:32,7,72,47,12097,35
1/14/2023 18:47,8,73,48,12098,34
1/14/2023 19:02,9,74,49,12097,33
1/14/2023 19:17,10,75,50,12096,34
1/14/2023 19:32,9,76,49,12095,35
1/14/2023 19:47,10,77,50,12094,36
1/14/2023 20:02,11,78,51,12093,35
1/14/2023 20:17,12,79,52,12094,34
1/14/2023 20:32,13,78,51,12093,33
1/14/2023 20:47,14,79,50,12094,32
1/14/2023 21:02,13,80,51,12095,33
1/14/2023 21:17,12,79,50,12094,34
1/14/2023 21:32,13,80,51,12095,33
1/14/2023 21:47,14,80,50,12096,34
1/14/2023 22:02,15,80,51,12095,33
1/14/2023 22:17,16,80,52,12094,34
1/14/2023 22:32,15,79,53,12093,33
1/14/2023 22:47,16,78,54,12092,34
1/14/2023 23:02,15,77,55,12093,33
1/14/2023 23:17,14,78,54,12092,32
1/14/2023 23:32,13,77,55,12093,33
1/14/2023 23:47,12,76,56,12094,32
1/15/2023 0:02,13,77,55,12093,31
1/15/2023 0:17,14,76,54,12094,30
1/15/2023 0:32,13,75,53,12095,29
1/15/2023 0:47,12,74,54,12094,28
1/15/2023 1:02,11,75,55,12093,27
1/15/2023 1:17,12,74,56,12092,28
1/15/2023 1:32,13,73,57,12091,29
1/15/2023 1:47,12,72,56,12090,30
1/15/2023 2:02,11,73,57,12091,31
1/15/2023 2:17,12,72,58,12092,32
1/15/2023 2:32,11,73,59,12093,31
1/15/2023 2:47,10,74,58,12092,30
1/15/2023 3:02,9,73,57,12093,31
1/15/2023 3:17,10,74,58,12092,32
1/15/2023 3:32,11,73,59,12091,33
1/15/2023 3:47,12,74,60,12090,34
1/15/2023 4:02,11,73,61,12091,33
1/15/2023 4:17,10,74,60,12092,34
1/15/2023 4:32,9,73,61,12091,33
1/15/2023 4:47,8,74,62,12090,34
1/15/2023 5:02,7,75,63,12089,35
1/15/2023 5:17,6,74,62,12088,36
1/15/2023 5:32,5,75,63,12087,37
1/15/2023 5:47,4,76,64,12086,36
1/15/2023 6:02,3,75,65,12085,37
1/15/2023 6:17,2,76,64,12086,36
1/15/2023 6:32,1,77,65,12087,35
1/15/2023 6:47,2,78,64,12088,36
1/15/2023 7:02,3,79,65,12089,37
1/15/2023 7:17,2,80,66,12090,38
1/15/2023 7:32,1,79,65,12091,39
1/15/2023 7:47,0,80,66,12090,38
1/15/2023 8:02,-1,79,65,12091,37
1/15/2023 8:17,0,80,64,12090,36
1/15/2023 8:32,-1,80,65,12089,35
1/15/2023 8:47,0,79,64,12088,36
1/15/2023 9:02,1,78,63,12089,35
1/15/2023 9:17,0,77,62,12090,34
1/15/2023 9:32,-1,78,61,12091,35
1/15/2023 9:47,-2,77,60,12090,36
1/15/2023 10:02,-3,76,59,12089,35
1/15/2023 10:17,-4,75,60,12090,34
1/15/2023 10:32,-3,74,61,12089,35
1/15/2023 10:47,-4,73,60,12088,36
1/15/2023 11:02,-5,74,59,12087,35
1/15/2023 11:17,-4,75,58,12086,34
1/15/2023 11:32,-3,76,57,12087,35
1/15/2023 11:47,-4,75,56,12088,36
1/15/2023 12:02,-5,76,57,12089,37
1/15/2023 12:17,-6,77,56,12090,38
1/15/2023 12:32,-5,76,57,12089,37
1/15/2023 12:47,-6,75,58,12090,38
1/15/2023 13:02,-7,76,57,12091,39
1/15/2023 13:17,-8,77,58,12090,40
1/15/2023 13:32,-9,76,57,12091,39
1/15/2023 13:47,-10,75,56,12092,38
1/15/2023 14:02,-10,76,55,12091,39
1/15/2023 14:17,-9,75,54,12092,40
1/15/2023 14:32,-8,76,53,12091,39
1/15/2023 14:47,-7,77,54,12090,38
1/15/2023 15:02,-6,78,53,12089,39
1/15/2023 15:17,-5,77,54,12088,40
1/15/2023 15:32,-4,76,53,12089,39
1/15/2023 15:47,-3,75,52,12090,40
1/15/2023 16:02,-4,74,53,12091,41
1/15/2023 16:17,-3,73,52,12092,42
1/15/2023 16:32,-2,74,53,12091,41
1/15/2023 16:47,-1,75,54,12090,42
1/15/2023 17:02,-2,76,53,12091,43
1/15/2023 17:17,-1,75,54,12092,42
1/15/2023 17:32,0,74,53,12093,41
1/15/2023 17:47,-1,75,54,12094,40
1/15/2023 18:02,-2,74,53,12093,39
1/15/2023 18:17,-1,73,54,12094,38
1/15/2023 18:32,-2,72,55,12093,39
1/15/2023 18:47,-1,71,56,12092,38
1/15/2023 19:02,-2,72,55,12093,39
1/15/2023 19:17,-1,73,56,12094,38
1/15/2023 19:32,0,72,57,12095,37
1/15/2023 19:47,-1,71,58,12096,36
1/15/2023 20:02,0,70,57,12095,35
1/15/2023 20:17,1,69,58,12094,36
1/15/2023 20:32,0,68,59,12095,37
1/15/2023 20:47,1,69,60,12096,36
1/15/2023 21:02,0,68,61,12097,37
1/15/2023 21:17,-1,69,60,12098,36
1/15/2023 21:32,0,70,59,12099,35
1/15/2023 21:47,1,69,58,12098,36
1/15/2023 22:02,2,70,57,12097,37
1/15/2023 22:17,3,69,58,12098,36
1/15/2023 22:32,4,68,59,12097,37
1/15/2023 22:47,3,67,60,12098,38
1/15/2023 23:02,2,66,61,12097,39
1/15/2023 23:17,1,65,60,12098,38
1/15/2023 23:32,2,66,59,12099,39
1/15/2023 23:47,1,67,58,12100,38
1/16/2023 0:02,0,68,57,12099,39
1/16/2023 0:17,-1,67,56,12100,38
1/16/2023 0:32,-2,68,55,12099,37
1/16/2023 0:47,-1,69,56,12098,36
1/16/2023 1:02,-2,70,55,12099,37
1/16/2023 1:17,-1,69,54,12098,36
1/16/2023 1:32,0,70,53,12097,35
1/16/2023 1:47,1,69,52,12096,34
1/16/2023 2:02,2,70,53,12097,33
1/16/2023 2:17,3,71,52,12098,34
1/16/2023 2:32,2,72,53,12097,35
1/16/2023 2:47,1,71,54,12098,36
1/16/2023 3:02,0,72,53,12099,35
1/16/2023 3:17,-1,73,54,12100,36
1/16/2023 3:32,-2,74,55,12101,37
1/16/2023 3:47,-3,73,54,12102,36
1/16/2023 4:02,-4,72,53,12103,35
1/16/2023 4:17,-5,73,54,12104,34
1/16/2023 4:32,-4,74,53,12103,33
1/16/2023 4:47,-3,73,54,12104,34
1/16/2023 5:02,-4,72,53,12103,33
1/16/2023 5:17,-3,73,52,12102,32
1/16/2023 5:32,-2,74,53,12103,31
1/16/2023 5:47,-1,75,54,12104,32
1/16/2023 6:02,-2,76,53,12103,31
1/16/2023 6:17,-3,75,54,12102,30
1/16/2023 6:32,-2,74,53,12103,29
1/16/2023 6:47,-3,75,54,12102,30
1/16/2023 7:02,-4,76,55,12101,29
1/16/2023 7:17,-5,77,56,12102,30
1/16/2023 7:32,-6,78,57,12101,29
1/16/2023 7:47,-5,79,58,12102,30
1/16/2023 8:02,-4,80,59,12103,31
1/16/2023 8:17,-3,79,60,12102,32
1/16/2023 8:32,-2,78,59,12101,31
1/16/2023 8:47,-3,77,58,12100,30
1/16/2023 9:02,-4,78,57,12101,31
