Date,sat,satsp,htg,supply_vfd_speed
1/16/2023 9:54,84,70,92,0
1/16/2023 10:09,83,71,91,0
1/16/2023 10:24,84,70,92,0
1/16/2023 10:39,85,71,91,0
1/16/2023 10:54,86,70,92,0
1/16/2023 11:09,87,70,93,0
1/16/2023 11:24,88,70,94,0
1/16/2023 11:39,87,70,95,0
1/16/2023 11:54,86,70,96,0
1/16/2023 12:09,87,71,97,0
1/16/2023 12:24,88,70,98,0
1/16/2023 12:39,89,70,99,0
1/16/2023 12:54,90,70,100,0
1/16/2023 13:09,90,71,99,0
1/16/2023 13:24,90,70,98,0
1/16/2023 13:39,89,70,97,0
1/16/2023 13:54,88,70,98,0
1/16/2023 14:09,87,71,99,0
1/16/2023 14:24,86,72,98,0
1/16/2023 14:39,85,73,99,0
1/16/2023 14:54,86,74,100,0
1/16/2023 15:09,85,73,100,0
1/16/2023 15:24,84,72,100,0
1/16/2023 15:39,83,71,99,0
1/16/2023 15:54,84,72,100,0
1/16/2023 16:09,85,73,99,0
1/16/2023 16:24,84,72,98,0
1/16/2023 16:39,85,73,97,0
1/16/2023 16:54,84,72,98,0
1/16/2023 17:09,85,73,97,0
1/16/2023 17:24,84,72,96,0
1/16/2023 17:39,83,71,97,0
1/16/2023 17:54,84,72,98,0
1/16/2023 18:09,83,73,99,0
1/16/2023 18:24,84,72,98,0
1/16/2023 18:39,83,71,97,0
1/16/2023 18:54,82,72,96,0
1/16/2023 19:09,83,73,97,0
1/16/2023 19:24,84,74,96,0
1/16/2023 19:39,85,75,95,0
1/16/2023 19:54,84,76,94,0
1/16/2023 20:09,83,77,95,0
1/16/2023 20:24,82,78,96,0
1/16/2023 20:39,81,79,97,0
1/16/2023 20:54,82,78,98,0
1/16/2023 21:09,83,77,97,0
1/16/2023 21:24,82,78,96,0
1/16/2023 21:39,83,79,97,0
1/16/2023 21:54,82,78,96,0
1/16/2023 22:09,83,77,97,0
1/16/2023 22:24,84,76,98,0
1/16/2023 22:39,83,75,99,0
1/16/2023 22:54,82,74,100,37
1/16/2023 23:09,83,73,99,36
1/16/2023 23:24,84,72,100,35
1/16/2023 23:39,85,73,100,36
1/16/2023 23:54,84,74,100,37
1/17/2023 0:09,83,75,99,38
1/17/2023 0:24,84,76,100,39
