Date,sat,satsp,htg
2023-01-16 09:55:00,77,74,100
2023-01-16 10:10:00,78,73,100
2023-01-16 10:25:00,79,74,99
2023-01-16 10:40:00,78,73,100
2023-01-16 10:55:00,79,74,99
2023-01-16 11:10:00,78,73,100
2023-01-16 11:25:00,79,74,100
2023-01-16 11:40:00,80,73,100
2023-01-16 11:55:00,81,74,99
2023-01-16 12:10:00,82,75,100
2023-01-16 12:25:00,83,76,99
2023-01-16 12:40:00,84,77,100
2023-01-16 12:55:00,85,78,99
2023-01-16 13:10:00,84,79,100
2023-01-16 13:25:00,85,78,100
2023-01-16 13:40:00,86,79,100
2023-01-16 13:55:00,85,80,99
2023-01-16 14:10:00,84,79,98
2023-01-16 14:25:00,83,78,97
2023-01-16 14:40:00,82,79,96
2023-01-16 14:55:00,81,78,95
2023-01-16 15:10:00,80,77,96
2023-01-16 15:25:00,79,76,95
2023-01-16 15:40:00,80,77,94
2023-01-16 15:55:00,81,76,95
2023-01-16 16:10:00,80,75,94
2023-01-16 16:25:00,79,76,95
2023-01-16 16:40:00,80,75,94
2023-01-16 16:55:00,81,76,95
2023-01-16 17:10:00,80,77,96
2023-01-16 17:25:00,79,76,95
2023-01-16 17:40:00,80,75,96
2023-01-16 17:55:00,79,76,95
2023-01-16 18:10:00,78,77,96
2023-01-16 18:25:00,77,78,97
2023-01-16 18:40:00,78,79,96
2023-01-16 18:55:00,77,78,97
2023-01-16 19:10:00,78,77,96
2023-01-16 19:25:00,79,78,97
2023-01-16 19:40:00,78,77,98
2023-01-16 19:55:00,79,78,97
2023-01-16 20:10:00,80,79,96
2023-01-16 20:25:00,79,80,95
2023-01-16 20:40:00,80,80,96
2023-01-16 20:55:00,79,79,95
2023-01-16 21:10:00,78,80,94
2023-01-16 21:25:00,77,80,95
2023-01-16 21:40:00,76,79,94
2023-01-16 21:55:00,75,80,93
2023-01-16 22:10:00,74,80,94
2023-01-16 22:25:00,73,80,93
2023-01-16 22:40:00,72,80,94
2023-01-16 22:55:00,73,80,93
