Date,satsp,oat
1/18/2023 10:21,89,78
1/18/2023 10:36,90,79
1/18/2023 10:51,89,78
1/18/2023 11:06,90,79
1/18/2023 11:21,89,80
1/18/2023 11:36,90,79
1/18/2023 11:51,90,80
1/18/2023 12:06,89,79
1/18/2023 12:21,88,80
1/18/2023 12:36,89,79
1/18/2023 12:51,90,78
1/18/2023 13:06,89,77
1/18/2023 13:21,90,78
1/18/2023 13:36,90,77
1/18/2023 13:51,90,78
1/18/2023 14:06,90,77
1/18/2023 14:21,89,76
1/18/2023 14:36,88,77
1/18/2023 14:51,87,78
1/18/2023 15:06,88,79
1/18/2023 15:21,87,78
1/18/2023 15:36,88,79
1/18/2023 15:51,87,80
1/18/2023 16:06,86,79
1/18/2023 16:21,85,78
1/18/2023 16:36,86,79
1/18/2023 16:51,87,80
1/18/2023 17:06,86,79
1/18/2023 17:21,87,78
1/18/2023 17:36,86,77
1/18/2023 17:51,85,78
1/18/2023 18:06,84,79
1/18/2023 18:21,85,78
1/18/2023 18:36,84,77
1/18/2023 18:51,83,78
1/18/2023 19:06,84,79
1/18/2023 19:21,83,78
1/18/2023 19:36,84,77
1/18/2023 19:51,83,78
1/18/2023 20:06,84,79
1/18/2023 20:21,83,80
1/18/2023 20:36,82,79
1/18/2023 20:51,81,80
1/18/2023 21:06,82,79
1/18/2023 21:21,83,78
1/18/2023 21:36,84,79
1/18/2023 21:51,85,78
1/18/2023 22:06,86,77
1/18/2023 22:21,87,78
1/18/2023 22:36,86,79
1/18/2023 22:51,87,80
1/18/2023 23:06,88,79
1/18/2023 23:21,87,80
1/18/2023 23:36,88,79
1/18/2023 23:51,89,80
1/19/2023 0:06,90,81
1/19/2023 0:21,90,82
1/19/2023 0:36,90,83
1/19/2023 0:51,90,84
1/19/2023 1:06,90,83
1/19/2023 1:21,89,82
1/19/2023 1:36,88,81
1/19/2023 1:51,87,80
1/19/2023 2:06,88,79
1/19/2023 2:21,89,80
1/19/2023 2:36,90,79
1/19/2023 2:51,90,80
1/19/2023 3:06,90,79
1/19/2023 3:21,90,78
1/19/2023 3:36,89,77
1/19/2023 3:51,88,78
1/19/2023 4:06,89,77
1/19/2023 4:21,88,76
1/19/2023 4:36,87,77
1/19/2023 4:51,86,76
1/19/2023 5:06,85,75
1/19/2023 5:21,86,76
1/19/2023 5:36,85,75
1/19/2023 5:51,84,74
1/19/2023 6:06,83,75
1/19/2023 6:21,82,74
1/19/2023 6:36,83,75
1/19/2023 6:51,84,76
1/19/2023 7:06,85,77
1/19/2023 7:21,86,76
1/19/2023 7:36,85,75
1/19/2023 7:51,86,76
1/19/2023 8:06,85,77
1/19/2023 8:21,84,76
1/19/2023 8:36,83,75
1/19/2023 8:51,82,76
1/19/2023 9:06,83,75
1/19/2023 9:21,84,74
1/19/2023 9:36,83,73
1/19/2023 9:51,82,72
1/19/2023 10:06,81,73
1/19/2023 10:21,80,74
1/19/2023 10:36,81,73
1/19/2023 10:51,80,74
1/19/2023 11:06,79,73
1/19/2023 11:21,80,72
1/19/2023 11:36,81,73
1/19/2023 11:51,82,74
1/19/2023 12:06,83,75
1/19/2023 12:21,84,74
1/19/2023 12:36,83,73
1/19/2023 12:51,84,74
1/19/2023 13:06,83,73
1/19/2023 13:21,82,74
1/19/2023 13:36,81,73
1/19/2023 13:51,82,72
1/19/2023 14:06,83,71
1/19/2023 14:21,84,72
1/19/2023 14:36,83,73
1/19/2023 14:51,82,72
1/19/2023 15:06,81,71
1/19/2023 15:21,82,72
1/19/2023 15:36,81,71
1/19/2023 15:51,80,72
1/19/2023 16:06,81,73
1/19/2023 16:21,82,72
1/19/2023 16:36,81,73
1/19/2023 16:51,82,74
1/19/2023 17:06,83,75
1/19/2023 17:21,82,76
1/19/2023 17:36,81,75
1/19/2023 17:51,82,76
1/19/2023 18:06,81,77
1/19/2023 18:21,82,78
1/19/2023 18:36,81,77
1/19/2023 18:51,82,76
1/19/2023 19:06,81,77
1/19/2023 19:21,82,78
1/19/2023 19:36,83,79
1/19/2023 19:51,84,78
1/19/2023 20:06,83,79
1/19/2023 20:21,84,78
1/19/2023 20:36,85,79
1/19/2023 20:51,84,80
1/19/2023 21:06,83,81
1/19/2023 21:21,84,80
1/19/2023 21:36,83,81
1/19/2023 21:51,84,80
1/19/2023 22:06,83,79
1/19/2023 22:21,82,80
1/19/2023 22:36,81,79
1/19/2023 22:51,82,80
1/19/2023 23:06,81,81
1/19/2023 23:21,82,80
1/19/2023 23:36,81,79
1/19/2023 23:51,82,80
1/20/2023 0:06,81,79
1/20/2023 0:21,82,80
1/20/2023 0:36,83,81
1/20/2023 0:51,84,80
1/20/2023 1:06,85,81
1/20/2023 1:21,84,82
1/20/2023 1:36,85,81
1/20/2023 1:51,84,82
1/20/2023 2:06,83,83
1/20/2023 2:21,84,82
1/20/2023 2:36,85,81
1/20/2023 2:51,84,80
1/20/2023 3:06,85,79
1/20/2023 3:21,84,78
1/20/2023 3:36,85,79
1/20/2023 3:51,84,78
1/20/2023 4:06,83,77
1/20/2023 4:21,82,78
1/20/2023 4:36,83,79
1/20/2023 4:51,82,78
1/20/2023 5:06,81,77
1/20/2023 5:21,80,76
1/20/2023 5:36,79,75
1/20/2023 5:51,78,76
1/20/2023 6:06,79,75
1/20/2023 6:21,78,76
1/20/2023 6:36,79,77
1/20/2023 6:51,80,78
1/20/2023 7:06,79,79
1/20/2023 7:21,78,80
1/20/2023 7:36,79,79
1/20/2023 7:51,78,78
1/20/2023 8:06,79,79
1/20/2023 8:21,78,78
1/20/2023 8:36,79,77
1/20/2023 8:51,78,76
1/20/2023 9:06,77,75
1/20/2023 9:21,76,76
1/20/2023 9:36,75,75
1/20/2023 9:51,76,76
1/20/2023 10:06,77,75
1/20/2023 10:21,76,74
1/20/2023 10:36,77,73
1/20/2023 10:51,76,72
1/20/2023 11:06,77,73
1/20/2023 11:21,76,74
1/20/2023 11:36,77,73
1/20/2023 11:51,78,72
1/20/2023 12:06,77,71
1/20/2023 12:21,78,72
1/20/2023 12:36,79,71
1/20/2023 12:51,78,70
1/20/2023 13:06,77,71
1/20/2023 13:21,76,72
1/20/2023 13:36,75,73
1/20/2023 13:51,76,72
1/20/2023 14:06,75,73
1/20/2023 14:21,74,74
1/20/2023 14:36,73,73
1/20/2023 14:51,72,74
1/20/2023 15:06,71,75
1/20/2023 15:21,70,76
1/20/2023 15:36,69,77
1/20/2023 15:51,70,76
1/20/2023 16:06,71,77
1/20/2023 16:21,70,78
1/20/2023 16:36,69,77
1/20/2023 16:51,68,78
1/20/2023 17:06,67,79
1/20/2023 17:21,66,80
1/20/2023 17:36,65,81
1/20/2023 17:51,66,82
1/20/2023 18:06,65,81
1/20/2023 18:21,66,80
1/20/2023 18:36,67,81
1/20/2023 18:51,66,82
1/20/2023 19:06,67,83
1/20/2023 19:21,66,82
1/20/2023 19:36,67,81
1/20/2023 19:51,66,80
1/20/2023 20:06,67,79
1/20/2023 20:21,66,78
1/20/2023 20:36,67,79
1/20/2023 20:51,66,80
1/20/2023 21:06,65,79
1/20/2023 21:21,66,78
1/20/2023 21:36,67,79
1/20/2023 21:51,66,78
1/20/2023 22:06,65,77
1/20/2023 22:21,66,78
1/20/2023 22:36,65,77
1/20/2023 22:51,66,78
1/20/2023 23:06,65,77
1/20/2023 23:21,66,78
1/20/2023 23:36,67,77
1/20/2023 23:51,68,76
1/21/2023 0:06,69,75
1/21/2023 0:21,70,74
1/21/2023 0:36,71,75
1/21/2023 0:51,72,74
1/21/2023 1:06,73,75
1/21/2023 1:21,74,76
1/21/2023 1:36,75,75
1/21/2023 1:51,74,74
1/21/2023 2:06,73,73
1/21/2023 2:21,72,74
1/21/2023 2:36,71,73
1/21/2023 2:51,70,72
1/21/2023 3:06,71,73
1/21/2023 3:21,72,74
1/21/2023 3:36,71,75
1/21/2023 3:51,70,76
1/21/2023 4:06,71,77
1/21/2023 4:21,70,76
1/21/2023 4:36,71,77
1/21/2023 4:51,72,78
1/21/2023 5:06,73,77
1/21/2023 5:21,74,78
1/21/2023 5:36,75,77
1/21/2023 5:51,76,76
1/21/2023 6:06,77,77
1/21/2023 6:21,78,78
1/21/2023 6:36,79,79
1/21/2023 6:51,78,78
1/21/2023 7:06,77,79
1/21/2023 7:21,76,80
1/21/2023 7:36,77,79
1/21/2023 7:51,78,80
1/21/2023 8:06,79,79
1/21/2023 8:21,78,78
1/21/2023 8:36,77,77
1/21/2023 8:51,76,78
1/21/2023 9:06,75,79
1/21/2023 9:21,74,78
1/21/2023 9:36,75,79
1/21/2023 9:51,74,80
1/21/2023 10:06,73,81
1/21/2023 10:21,74,82
1/21/2023 10:36,73,81
1/21/2023 10:51,74,82
1/21/2023 11:06,73,81
1/21/2023 11:21,72,82
1/21/2023 11:36,71,81
1/21/2023 11:51,70,82
1/21/2023 12:06,71,83
1/21/2023 12:21,72,82
1/21/2023 12:36,73,81
1/21/2023 12:51,72,80
1/21/2023 13:06,73,79
1/21/2023 13:21,72,78
1/21/2023 13:36,73,79
1/21/2023 13:51,74,78
1/21/2023 14:06,75,77
1/21/2023 14:21,76,76
1/21/2023 14:36,77,77
1/21/2023 14:51,78,78
1/21/2023 15:06,79,79
1/21/2023 15:21,80,80
1/21/2023 15:36,81,79
1/21/2023 15:51,82,78
1/21/2023 16:06,81,77
1/21/2023 16:21,80,76
1/21/2023 16:36,81,77
1/21/2023 16:51,82,76
1/21/2023 17:06,81,77
