Date,AHU: Supply Air Temperature,AHU: Supply Air Temperature Set Point,AHU: Outdoor Air Temperature,AHU: Mixed Air Temperature,AHU: Return Air Temperature,AHU: Supply Air Fan Status,AHU: Return Air Fan Status,AHU: Supply Air Fan Speed Control Signal,AHU: Return Air Fan Speed Control Signal,AHU: Exhaust Air Damper Control Signal,AHU: Outdoor Air Damper Control Signal,AHU: Return Air Damper Control Signal,AHU: Cooling Coil Valve Control Signal,AHU: Heating Coil Valve Control Signal,AHU: Supply Air Duct Static Pressure Set Point,AHU: Supply Air Duct Static Pressure,Occupancy Mode Indicator,Fault Detection Ground Truth
8/28/2007 0:00,77.13,55,80.61,75.86,75.19,1,0,1,0,0,0,1,0,0,1.4,0.06,0,1
8/28/2007 0:01,77.63,55,80.68,75.38,75.18,1,0,1,0,0,0,1,0,0,1.4,0.17,0,1
8/28/2007 0:02,77.87,55,80.66,75.28,75.18,1,0,1,0,0,0,1,0,0,1.4,0.34,0,1
8/28/2007 0:03,77.95,55,80.69,75.27,75.2,1,0,1,0,0,0,1,0,0,1.4,0.57,0,1
8/28/2007 0:04,78.59,55,80.6,75.29,75.24,1,0,1,0,0,0,1,0,0,1.4,1,0,1
8/28/2007 0:05,79.03,55,80.58,75.34,75.28,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:06,79.06,55,80.59,75.38,75.33,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:07,79.08,55,80.52,75.43,75.38,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:08,79.12,55,80.55,75.48,75.43,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:09,79.16,55,80.4,75.52,75.47,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:10,79.19,55,80.41,75.56,75.52,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:11,79.23,55,80.41,75.61,75.56,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:12,79.28,55,80.32,75.65,75.6,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:13,79.32,55,80.29,75.69,75.65,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:14,79.36,55,80.29,75.74,75.69,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:15,79.4,55,80.28,75.78,75.73,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:16,79.44,55,80.23,75.82,75.77,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:17,79.48,55,80.16,75.86,75.82,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:18,79.51,55,80.16,75.9,75.86,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:19,79.55,55,80.25,75.94,75.9,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:20,79.59,55,80.23,75.98,75.94,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:21,79.63,55,80.18,76.02,75.98,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:22,79.66,55,80.06,76.05,76.01,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:23,79.7,55,79.93,76.09,76.05,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:24,79.73,55,79.93,76.13,76.09,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:25,79.77,55,80,76.16,76.13,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:26,79.8,55,80.09,76.2,76.16,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:27,79.84,55,80.12,76.24,76.2,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:28,79.87,55,79.98,76.27,76.24,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:29,79.9,55,79.84,76.31,76.27,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:30,79.94,55,79.81,76.34,76.31,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:31,79.97,55,79.85,76.37,76.34,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:32,80,55,79.93,76.41,76.37,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:33,80.03,55,79.87,76.44,76.41,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:34,80.07,55,79.83,76.47,76.44,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:35,80.1,55,79.76,76.51,76.47,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:36,80.13,55,79.7,76.54,76.51,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:37,80.16,55,79.75,76.57,76.54,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:38,80.19,55,79.74,76.6,76.57,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:39,80.21,55,79.8,76.63,76.6,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
8/28/2007 0:40,80.24,55,79.86,76.67,76.63,1,0,1,0,0,0,1,0,0,1.4,1.08,0,1
