Date,oat,mat,clg,economizer_sig,supply_vfd_speed
1/18/2023 10:53,96,63,92,20,0
1/18/2023 11:08,97,62,91,20,0
1/18/2023 11:23,96,61,92,20,0
1/18/2023 11:38,97,62,91,20,0
1/18/2023 11:53,96,61,92,100,0
1/18/2023 12:08,97,62,93,100,0
1/18/2023 12:23,96,63,94,20,0
1/18/2023 12:38,95,62,95,20,0
1/18/2023 12:53,96,63,96,20,0
1/18/2023 13:08,95,64,97,20,0
1/18/2023 13:23,94,65,98,20,0
1/18/2023 13:38,95,64,99,20,0
1/18/2023 13:53,96,65,100,20,0
1/18/2023 14:08,97,64,99,100,0
1/18/2023 14:23,96,65,98,100,0
1/18/2023 14:38,97,66,97,20,0
1/18/2023 14:53,96,67,98,20,0
1/18/2023 15:08,97,68,99,20,0
1/18/2023 15:23,96,67,98,20,0
1/18/2023 15:38,97,68,99,20,0
1/18/2023 15:53,98,69,100,20,0
1/18/2023 16:08,99,70,100,20,0
1/18/2023 16:23,98,71,100,100,0
1/18/2023 16:38,99,72,99,100,0
1/18/2023 16:53,98,71,100,20,0
1/18/2023 17:08,97,72,99,20,0
1/18/2023 17:23,98,73,98,20,0
1/18/2023 17:38,97,72,97,20,0
1/18/2023 17:53,96,73,98,20,0
1/18/2023 18:08,95,72,97,20,0
1/18/2023 18:23,96,71,96,20,0
1/18/2023 18:38,97,72,97,100,0
1/18/2023 18:53,96,73,98,100,0
1/18/2023 19:08,97,72,99,20,0
1/18/2023 19:23,96,71,98,20,0
1/18/2023 19:38,97,72,97,20,0
1/18/2023 19:53,98,73,96,20,0
1/18/2023 20:08,97,74,97,20,0
1/18/2023 20:23,98,75,96,20,0
1/18/2023 20:38,99,76,95,20,0
1/18/2023 20:53,100,75,94,100,0
1/18/2023 21:08,100,74,95,100,0
1/18/2023 21:23,100,75,96,20,0
1/18/2023 21:38,99,74,97,20,0
1/18/2023 21:53,98,73,98,20,0
1/18/2023 22:08,99,74,97,20,0
1/18/2023 22:23,100,75,96,20,0
1/18/2023 22:38,100,76,97,20,0
1/18/2023 22:53,99,77,96,20,0
1/18/2023 23:08,100,78,97,100,0
1/18/2023 23:23,99,77,98,100,0
1/18/2023 23:38,100,76,99,20,0
1/18/2023 23:53,99,75,100,20,37
1/19/2023 0:08,98,74,99,20,36
1/19/2023 0:23,99,75,100,20,35
1/19/2023 0:38,98,74,100,55,36
1/19/2023 0:53,97,75,100,20,37
1/19/2023 1:08,98,74,99,20,38
1/19/2023 1:23,97,75,100,55,39
1/19/2023 1:38,96,74,100,20,40
1/19/2023 1:53,95,73,99,55,41
1/19/2023 2:08,94,72,100,20,40
1/19/2023 2:23,93,71,100,55,41
1/19/2023 2:38,92,70,100,20,40
1/19/2023 2:53,93,71,99,20,39
1/19/2023 3:08,94,70,98,20,38
1/19/2023 3:23,95,69,97,55,37
1/19/2023 3:38,96,68,98,20,38
1/19/2023 3:53,97,69,99,20,37
1/19/2023 4:08,98,68,98,20,38
1/19/2023 4:23,99,67,97,20,37
1/19/2023 4:38,100,68,96,55,36
1/19/2023 4:53,99,69,97,20,35
1/19/2023 5:08,98,68,96,20,36
1/19/2023 5:23,99,69,95,20,37
1/19/2023 5:38,98,68,96,20,38
1/19/2023 5:53,99,67,95,20,39
1/19/2023 6:08,98,66,94,85,38
1/19/2023 6:23,99,67,93,85,39
1/19/2023 6:38,98,66,92,20,38
1/19/2023 6:53,97,65,91,20,37
1/19/2023 7:08,96,64,92,20,36
1/19/2023 7:23,97,63,91,20,35
1/19/2023 7:38,96,64,92,20,34
1/19/2023 7:53,95,65,93,20,33
1/19/2023 8:08,94,64,92,20,34
1/19/2023 8:23,93,63,91,20,35
1/19/2023 8:38,92,64,92,20,36
1/19/2023 8:53,91,65,93,20,37
1/19/2023 9:08,92,66,92,85,36
1/19/2023 9:23,93,67,93,20,35
1/19/2023 9:38,94,68,94,20,36
1/19/2023 9:53,93,69,93,20,35
1/19/2023 10:08,94,70,94,20,36
1/19/2023 10:23,95,71,93,85,35
1/19/2023 10:38,94,70,94,20,34
1/19/2023 10:53,93,71,95,20,33
1/19/2023 11:08,92,70,96,20,32
1/19/2023 11:23,91,69,97,88,33
1/19/2023 11:38,90,70,96,20,32
1/19/2023 11:53,91,71,97,20,33
1/19/2023 12:08,90,70,98,20,32
1/19/2023 12:23,89,71,99,20,33
1/19/2023 12:38,90,72,98,82,32
1/19/2023 12:53,91,71,99,44,31
1/19/2023 13:08,90,70,100,20,32
1/19/2023 13:23,91,69,99,88,33
1/19/2023 13:38,90,68,100,20,34
1/19/2023 13:53,89,69,100,20,33
1/19/2023 14:08,90,68,100,45,32
1/19/2023 14:23,89,67,100,20,33
1/19/2023 14:38,90,66,99,20,34
1/19/2023 14:53,89,67,98,20,35
1/19/2023 15:08,88,68,97,20,36
1/19/2023 15:23,87,67,98,20,35
1/19/2023 15:38,86,68,97,20,34
1/19/2023 15:53,85,67,96,20,33
1/19/2023 16:08,86,68,95,20,34
1/19/2023 16:23,87,69,94,20,35
1/19/2023 16:38,86,70,95,20,36
1/19/2023 16:53,85,71,96,20,35
1/19/2023 17:08,84,70,97,20,34
1/19/2023 17:23,83,69,96,20,33
1/19/2023 17:38,84,68,95,20,32
1/19/2023 17:53,83,67,94,20,33
1/19/2023 18:08,84,66,95,20,34
1/19/2023 18:23,85,67,94,20,33
1/19/2023 18:38,84,68,95,20,34
1/19/2023 18:53,83,69,94,20,33
1/19/2023 19:08,84,70,93,20,34
1/19/2023 19:23,83,71,92,20,33
1/19/2023 19:38,82,72,93,20,34
1/19/2023 19:53,83,73,92,20,33
1/19/2023 20:08,84,74,91,20,32
1/19/2023 20:23,83,73,92,20,33
1/19/2023 20:38,84,74,91,20,32
1/19/2023 20:53,85,73,92,20,31
1/19/2023 21:08,86,72,91,20,30
