Date,sat,mat,clg,economizer_sig,supply_vfd_speed
1/16/2023 12:24,78,72,92,20,0
1/16/2023 12:39,79,73,91,20,0
1/16/2023 12:54,78,72,92,20,0
1/16/2023 13:09,77,73,91,20,0
1/16/2023 13:24,78,72,92,100,0
1/16/2023 13:39,79,71,93,100,0
1/16/2023 13:54,80,70,94,20,0
1/16/2023 14:09,81,70,95,20,0
1/16/2023 14:24,82,70,96,20,0
1/16/2023 14:39,81,71,97,20,0
1/16/2023 14:54,82,70,98,20,0
1/16/2023 15:09,81,70,99,20,0
1/16/2023 15:24,82,70,100,20,0
1/16/2023 15:39,83,71,99,100,0
1/16/2023 15:54,84,72,98,100,0
1/16/2023 16:09,85,73,97,20,0
1/16/2023 16:24,84,72,98,20,0
1/16/2023 16:39,83,73,99,20,0
1/16/2023 16:54,82,72,98,20,0
1/16/2023 17:09,81,71,99,20,0
1/16/2023 17:24,80,72,100,20,0
1/16/2023 17:39,81,71,100,20,0
1/16/2023 17:54,80,72,100,100,0
1/16/2023 18:09,79,71,99,100,0
1/16/2023 18:24,80,72,100,20,0
1/16/2023 18:39,81,73,99,20,0
1/16/2023 18:54,82,74,98,20,0
1/16/2023 19:09,83,73,97,20,0
1/16/2023 19:24,84,74,98,20,0
1/16/2023 19:39,85,73,97,20,0
1/16/2023 19:54,86,74,96,20,0
1/16/2023 20:09,85,73,97,100,0
1/16/2023 20:24,86,74,98,100,0
1/16/2023 20:39,87,73,99,20,0
1/16/2023 20:54,86,72,98,20,0
1/16/2023 21:09,85,73,97,20,0
1/16/2023 21:24,86,72,96,20,0
1/16/2023 21:39,87,73,97,20,0
1/16/2023 21:54,86,74,96,20,0
1/16/2023 22:09,85,75,95,20,0
1/16/2023 22:24,86,76,94,100,0
1/16/2023 22:39,87,77,95,100,0
1/16/2023 22:54,86,78,96,20,0
1/16/2023 23:09,87,79,97,20,0
1/16/2023 23:24,88,80,98,20,0
1/16/2023 23:39,87,79,97,20,0
1/16/2023 23:54,86,78,96,20,0
1/17/2023 0:09,85,79,97,20,0
1/17/2023 0:24,86,80,96,20,0
1/17/2023 0:39,87,80,97,100,0
1/17/2023 0:54,88,79,98,100,0
1/17/2023 1:09,87,80,99,20,0
1/17/2023 1:24,88,79,100,20,37
1/17/2023 1:39,89,80,99,20,36
1/17/2023 1:54,88,80,100,20,35
1/17/2023 2:09,87,79,100,55,36
1/17/2023 2:24,88,80,100,20,37
1/17/2023 2:39,89,79,99,20,38
1/17/2023 2:54,88,80,100,55,39
1/17/2023 3:09,89,80,100,20,40
1/17/2023 3:24,90,79,99,55,41
1/17/2023 3:39,89,78,100,20,40
1/17/2023 3:54,90,79,100,55,41
1/17/2023 4:09,89,78,100,20,40
1/17/2023 4:24,90,77,99,20,39
1/17/2023 4:39,90,76,98,20,38
1/17/2023 4:54,89,75,97,55,37
1/17/2023 5:09,90,74,98,20,38
1/17/2023 5:24,89,75,99,20,37
1/17/2023 5:39,90,76,98,20,38
1/17/2023 5:54,90,75,97,20,37
1/17/2023 6:09,89,74,96,55,36
1/17/2023 6:24,88,75,97,20,35
1/17/2023 6:39,89,74,96,20,36
1/17/2023 6:54,88,73,95,20,37
1/17/2023 7:09,87,74,96,20,38
1/17/2023 7:24,86,75,95,20,39
1/17/2023 7:39,87,74,94,85,38
1/17/2023 7:54,88,75,93,85,39
