Date,sat,mat,htg_vlv,supply_vfd_speed
12/24/2022 7:44,45,62,0,0
12/24/2022 7:59,46,61,0,0
12/24/2022 8:14,45,62,0,0
12/24/2022 8:29,46,61,0,0
12/24/2022 8:44,47,62,0,0
12/24/2022 8:59,46,63,0,0
12/24/2022 9:14,45,62,0,0
12/24/2022 9:29,44,61,0,0
12/24/2022 9:44,45,60,0,0
12/24/2022 9:59,46,61,0,0
12/24/2022 10:14,45,62,0,0
12/24/2022 10:29,46,63,0,0
12/24/2022 10:44,47,62,0,0
12/24/2022 10:59,46,61,0,0
12/24/2022 11:14,45,62,0,0
12/24/2022 11:29,46,61,0,0
12/24/2022 11:44,45,60,0,0
12/24/2022 11:59,44,61,0,0
12/24/2022 12:14,45,60,0,0
12/24/2022 12:29,46,61,0,0
12/24/2022 12:44,45,62,0,0
12/24/2022 12:59,44,63,0,0
12/24/2022 13:14,45,62,0,0
12/24/2022 13:29,44,63,0,0
12/24/2022 13:44,45,62,0,0
12/24/2022 13:59,44,63,0,0
12/24/2022 14:14,43,64,0,0
12/24/2022 14:29,44,63,0,0
12/24/2022 14:44,45,64,0,0
12/24/2022 14:59,44,63,0,0
12/24/2022 15:14,43,62,0,0
12/24/2022 15:29,42,61,0,0
12/24/2022 15:44,43,60,0,0
12/24/2022 15:59,42,59,0,0
12/24/2022 16:14,41,60,0,0
12/24/2022 16:29,42,61,0,0
12/24/2022 16:44,43,60,0,0
12/24/2022 16:59,42,59,0,0
12/24/2022 17:14,41,60,0,0
12/24/2022 17:29,42,59,0,0
12/24/2022 17:44,41,58,0,0
12/24/2022 17:59,42,59,0,0
12/24/2022 18:14,43,60,0,0
12/24/2022 18:29,44,61,0,0
12/24/2022 18:44,43,62,0,0
12/24/2022 18:59,42,63,0,0
12/24/2022 19:14,41,62,0,0
12/24/2022 19:29,42,63,0,0
12/24/2022 19:44,43,62,0,0
12/24/2022 19:59,42,61,0,0
12/24/2022 20:14,41,60,0,0
12/24/2022 20:29,40,61,0,0
12/24/2022 20:44,39,60,50,37
12/24/2022 20:59,40,59,50,36
12/24/2022 21:14,41,58,50,35
12/24/2022 21:29,40,59,50,36
12/24/2022 21:44,39,58,50,37
12/24/2022 21:59,40,57,50,38
12/24/2022 22:14,41,56,50,39
12/24/2022 22:29,42,57,50,40
12/24/2022 22:44,43,56,50,41
12/24/2022 22:59,44,55,50,40
12/24/2022 23:14,43,56,50,41
12/24/2022 23:29,44,55,50,40
12/24/2022 23:44,43,54,50,39
12/24/2022 23:59,42,55,50,38
12/25/2022 0:14,41,54,50,37
12/25/2022 0:29,40,53,50,38
12/25/2022 0:44,39,54,50,37
12/25/2022 0:59,38,55,50,38
12/25/2022 1:14,37,56,50,37
12/25/2022 1:29,38,57,50,36
12/25/2022 1:44,39,56,50,35
12/25/2022 1:59,38,55,50,36
12/25/2022 2:14,39,54,50,37
12/25/2022 2:29,38,55,50,38
12/25/2022 2:44,37,56,50,39
12/25/2022 2:59,38,55,50,38
12/25/2022 3:14,37,56,50,39
12/25/2022 3:29,38,55,50,38
12/25/2022 3:44,39,56,50,37
12/25/2022 3:59,40,55,50,36
12/25/2022 4:14,41,54,50,35
12/25/2022 4:29,40,53,50,34
12/25/2022 4:44,39,52,50,33
12/25/2022 4:59,40,53,50,34
12/25/2022 5:14,39,54,50,35
12/25/2022 5:29,38,53,50,36
12/25/2022 5:44,37,52,50,37
12/25/2022 5:59,36,51,50,36
