Date,sat,mat,supply_vfd_speed,economizer_sig,cooling_sig
1/16/2023 12:24,78,72,0,20,34
1/16/2023 12:39,79,73,0,20,33
1/16/2023 12:54,78,72,0,20,32
1/16/2023 13:09,77,73,0,20,33
1/16/2023 13:24,78,72,0,100,32
1/16/2023 13:39,79,71,0,100,31
1/16/2023 13:54,80,70,0,20,30
1/16/2023 14:09,81,70,0,20,31
1/16/2023 14:24,82,70,0,20,32
1/16/2023 14:39,81,71,0,20,31
1/16/2023 14:54,82,70,0,20,32
1/16/2023 15:09,81,70,0,20,31
1/16/2023 15:24,82,70,0,20,32
1/16/2023 15:39,83,71,0,100,31
1/16/2023 15:54,84,72,0,100,32
1/16/2023 16:09,85,73,0,20,33
1/16/2023 16:24,84,72,0,20,32
1/16/2023 16:39,83,73,0,20,31
1/16/2023 16:54,82,72,0,20,32
1/16/2023 17:09,81,71,0,20,31
1/16/2023 17:24,80,72,0,20,32
1/16/2023 17:39,81,71,0,20,33
1/16/2023 17:54,80,72,0,100,34
1/16/2023 18:09,79,71,0,100,33
1/16/2023 18:24,80,72,0,20,32
1/16/2023 18:39,81,73,0,20,31
1/16/2023 18:54,82,74,0,20,30
1/16/2023 19:09,83,73,0,20,31
1/16/2023 19:24,84,74,0,20,30
1/16/2023 19:39,85,73,0,20,29
1/16/2023 19:54,86,74,0,20,28
1/16/2023 20:09,85,73,0,100,29
1/16/2023 20:24,86,74,0,100,28
1/16/2023 20:39,87,73,0,20,29
1/16/2023 20:54,86,72,0,20,30
1/16/2023 21:09,85,73,0,20,29
1/16/2023 21:24,86,72,0,20,28
1/16/2023 21:39,87,73,0,20,27
1/16/2023 21:54,86,74,0,20,26
1/16/2023 22:09,85,75,0,20,27
1/16/2023 22:24,86,76,0,100,28
1/16/2023 22:39,87,77,0,100,27
1/16/2023 22:54,86,78,0,20,26
1/16/2023 23:09,87,79,0,20,25
1/16/2023 23:24,88,80,0,20,26
1/16/2023 23:39,87,79,0,20,27
1/16/2023 23:54,86,78,0,20,28
1/17/2023 0:09,85,79,0,20,29
1/17/2023 0:24,86,80,0,20,30
1/17/2023 0:39,87,80,0,100,29
1/17/2023 0:54,88,79,0,100,30
1/17/2023 1:09,87,80,0,20,31
1/17/2023 1:24,88,79,37,20,32
1/17/2023 1:39,89,80,36,20,31
1/17/2023 1:54,88,80,35,20,0
1/17/2023 2:09,87,79,36,55,0
1/17/2023 2:24,88,80,37,20,31
1/17/2023 2:39,89,79,38,20,0
1/17/2023 2:54,88,80,39,55,0
1/17/2023 3:09,89,80,40,20,31
1/17/2023 3:24,90,79,41,55,30
1/17/2023 3:39,89,78,40,20,0
1/17/2023 3:54,90,79,41,55,0
1/17/2023 4:09,89,78,40,20,31
1/17/2023 4:24,90,77,39,20,26
1/17/2023 4:39,90,76,38,20,0
1/17/2023 4:54,89,75,37,55,0
1/17/2023 5:09,90,74,38,20,31
1/17/2023 5:24,89,75,37,20,28
1/17/2023 5:39,90,76,38,20,29
1/17/2023 5:54,90,75,37,20,0
1/17/2023 6:09,89,74,36,55,0
1/17/2023 6:24,88,75,35,20,31
1/17/2023 6:39,89,74,36,20,27
1/17/2023 6:54,88,73,37,20,26
1/17/2023 7:09,87,74,38,20,0
1/17/2023 7:24,86,75,39,20,0
1/17/2023 7:39,87,74,38,85,25
1/17/2023 7:54,88,75,39,85,24
1/17/2023 8:09,87,76,38,20,23
1/17/2023 8:24,86,75,37,20,0
1/17/2023 8:39,85,74,36,20,0
1/17/2023 8:54,86,75,35,20,26
1/17/2023 9:09,85,76,34,20,25
1/17/2023 9:24,86,75,33,20,24
1/17/2023 9:39,85,76,34,20,25
1/17/2023 9:54,86,77,35,20,0
1/17/2023 10:09,87,78,36,20,0
1/17/2023 10:24,88,79,37,20,26
1/17/2023 10:39,89,78,36,85,27
1/17/2023 10:54,90,77,35,20,26
1/17/2023 11:09,90,76,36,20,0
1/17/2023 11:24,90,77,35,20,0
1/17/2023 11:39,89,78,36,20,26
1/17/2023 11:54,90,79,35,85,26
1/17/2023 12:09,89,80,34,20,27
1/17/2023 12:24,90,80,33,20,0
1/17/2023 12:39,90,80,32,20,0
1/17/2023 12:54,89,80,33,88,26
1/17/2023 13:09,90,80,32,20,27
1/17/2023 13:24,90,80,33,20,28
1/17/2023 13:39,89,80,32,20,29
1/17/2023 13:54,90,79,33,20,28
1/17/2023 14:09,89,78,32,82,29
1/17/2023 14:24,90,79,31,44,28
1/17/2023 14:39,90,80,32,20,29
1/17/2023 14:54,90,80,33,88,28
1/17/2023 15:09,89,79,34,20,27
1/17/2023 15:24,90,80,33,20,28
1/17/2023 15:39,90,79,32,45,27
1/17/2023 15:54,90,80,33,20,26
1/17/2023 16:09,90,80,34,20,27
1/17/2023 16:24,90,80,35,20,26
1/17/2023 16:39,90,80,36,20,27
1/17/2023 16:54,89,79,35,20,28
1/17/2023 17:09,88,78,34,20,29
1/17/2023 17:24,89,79,33,20,30
1/17/2023 17:39,90,78,34,20,29
1/17/2023 17:54,89,79,35,20,28
1/17/2023 18:09,88,80,36,20,27
1/17/2023 18:24,89,80,35,20,28
1/17/2023 18:39,90,79,34,20,27
1/17/2023 18:54,89,78,33,20,26
1/17/2023 19:09,88,77,32,20,25
1/17/2023 19:24,89,78,33,20,24
1/17/2023 19:39,88,77,34,20,25
1/17/2023 19:54,87,78,33,20,24
1/17/2023 20:09,88,79,34,20,23
1/17/2023 20:24,89,80,33,20,22
1/17/2023 20:39,88,80,34,20,21
1/17/2023 20:54,89,79,33,20,22
1/17/2023 21:09,88,78,34,20,23
1/17/2023 21:24,87,79,33,20,24
1/17/2023 21:39,88,80,32,20,23
1/17/2023 21:54,89,80,33,20,22
1/17/2023 22:09,90,79,32,20,23
1/17/2023 22:24,90,80,31,20,24
1/17/2023 22:39,90,79,30,20,23
1/17/2023 22:54,89,80,29,20,22
1/17/2023 23:09,88,79,28,20,21
1/17/2023 23:24,87,78,27,20,20
1/17/2023 23:39,88,77,28,20,19
1/17/2023 23:54,87,76,29,20,18
1/18/2023 0:09,86,75,30,20,17
1/18/2023 0:24,85,74,31,20,18
1/18/2023 0:39,84,75,32,20,17
1/18/2023 0:54,83,74,31,20,16
1/18/2023 1:09,82,75,30,20,15
1/18/2023 1:24,81,76,31,20,14
1/18/2023 1:39,82,77,32,20,13
1/18/2023 1:54,81,76,33,20,14
1/18/2023 2:09,80,75,34,20,13
1/18/2023 2:24,81,74,33,20,14
1/18/2023 2:39,80,75,34,20,13
1/18/2023 2:54,81,74,33,20,14
1/18/2023 3:09,80,73,34,20,13
1/18/2023 3:24,81,74,35,20,12
1/18/2023 3:39,82,75,36,20,11
1/18/2023 3:54,81,76,37,20,10
1/18/2023 4:09,82,77,36,20,11
1/18/2023 4:24,81,78,37,20,12
1/18/2023 4:39,82,79,36,20,13
1/18/2023 4:54,81,78,35,20,12
1/18/2023 5:09,80,77,36,20,11
1/18/2023 5:24,79,78,37,20,10
1/18/2023 5:39,80,77,38,20,9
1/18/2023 5:54,79,78,39,20,10
1/18/2023 6:09,80,79,38,20,11
1/18/2023 6:24,79,78,37,20,10
1/18/2023 6:39,78,79,36,20,9
1/18/2023 6:54,79,80,35,20,10
1/18/2023 7:09,78,80,36,20,11
1/18/2023 7:24,79,79,35,20,12
1/18/2023 7:39,80,80,34,20,11
1/18/2023 7:54,81,80,35,20,12
1/18/2023 8:09,82,79,36,20,13
1/18/2023 8:24,81,80,35,20,12
1/18/2023 8:39,80,80,34,20,11
1/18/2023 8:54,81,80,35,20,10
1/18/2023 9:09,82,79,36,20,9
1/18/2023 9:24,83,78,35,20,8
1/18/2023 9:39,84,79,34,20,9
1/18/2023 9:54,83,80,35,20,10
1/18/2023 10:09,84,80,36,20,9
1/18/2023 10:24,83,80,37,20,10
1/18/2023 10:39,84,80,38,20,9
1/18/2023 10:54,85,80,37,20,10
1/18/2023 11:09,84,79,38,20,11
1/18/2023 11:24,85,80,39,20,12
1/18/2023 11:39,86,79,40,20,13
1/18/2023 11:54,87,78,39,20,12
1/18/2023 12:09,88,79,38,20,13
1/18/2023 12:24,87,80,39,20,12
1/18/2023 12:39,88,79,40,20,13
1/18/2023 12:54,87,80,39,20,12
1/18/2023 13:09,88,79,38,20,13
1/18/2023 13:24,87,80,39,20,14
1/18/2023 13:39,86,79,40,20,15
1/18/2023 13:54,87,78,39,20,16
1/18/2023 14:09,88,79,40,20,17
1/18/2023 14:24,89,78,41,20,18
1/18/2023 14:39,90,77,42,20,19
1/18/2023 14:54,90,76,41,20,18
1/18/2023 15:09,90,75,42,20,17
1/18/2023 15:24,89,74,43,20,18
1/18/2023 15:39,88,73,42,20,19
1/18/2023 15:54,87,72,41,20,18
