Date,satsp,oat,supply_vfd_speed,economizer_sig,cooling_sig
1/18/2023 10:21,89,78,0,20,34
1/18/2023 10:36,90,79,0,20,33
1/18/2023 10:51,89,78,0,20,32
1/18/2023 11:06,90,79,0,20,33
1/18/2023 11:21,89,80,0,100,32
1/18/2023 11:36,90,79,0,100,31
1/18/2023 11:51,90,80,0,20,30
1/18/2023 12:06,89,79,0,20,31
1/18/2023 12:21,88,80,0,20,32
1/18/2023 12:36,89,79,0,20,31
1/18/2023 12:51,90,78,0,20,32
1/18/2023 13:06,89,77,0,20,31
1/18/2023 13:21,90,78,0,20,32
1/18/2023 13:36,90,77,0,100,31
1/18/2023 13:51,90,78,0,100,32
1/18/2023 14:06,90,77,0,20,33
1/18/2023 14:21,89,76,0,20,32
1/18/2023 14:36,88,77,0,20,31
1/18/2023 14:51,87,78,0,20,32
1/18/2023 15:06,88,79,0,20,31
1/18/2023 15:21,87,78,0,20,32
1/18/2023 15:36,88,79,0,20,33
1/18/2023 15:51,87,80,0,100,34
1/18/2023 16:06,86,79,0,100,33
1/18/2023 16:21,85,78,0,20,32
1/18/2023 16:36,86,79,0,20,31
1/18/2023 16:51,87,80,0,20,30
1/18/2023 17:06,86,79,0,20,31
1/18/2023 17:21,87,78,0,20,30
1/18/2023 17:36,86,77,0,20,29
1/18/2023 17:51,85,78,0,20,28
1/18/2023 18:06,84,79,0,100,29
1/18/2023 18:21,85,78,0,100,28
1/18/2023 18:36,84,77,0,20,29
1/18/2023 18:51,83,78,0,20,30
1/18/2023 19:06,84,79,0,20,29
1/18/2023 19:21,83,78,0,20,28
1/18/2023 19:36,84,77,0,20,27
1/18/2023 19:51,83,78,0,20,26
1/18/2023 20:06,84,79,0,20,27
1/18/2023 20:21,83,80,0,100,28
1/18/2023 20:36,82,79,0,100,27
1/18/2023 20:51,81,80,0,20,26
1/18/2023 21:06,82,79,0,20,25
1/18/2023 21:21,83,78,0,20,26
1/18/2023 21:36,84,79,0,20,27
1/18/2023 21:51,85,78,0,20,28
1/18/2023 22:06,86,77,0,20,29
1/18/2023 22:21,87,78,0,20,30
1/18/2023 22:36,86,79,0,100,29
1/18/2023 22:51,87,80,0,100,30
1/18/2023 23:06,88,79,0,20,31
1/18/2023 23:21,87,80,37,20,32
1/18/2023 23:36,88,79,36,20,31
1/18/2023 23:51,89,80,35,20,0
1/19/2023 0:06,90,81,36,55,0
1/19/2023 0:21,90,82,37,20,31
1/19/2023 0:36,90,83,38,20,0
1/19/2023 0:51,90,84,39,55,0
1/19/2023 1:06,90,83,40,20,31
1/19/2023 1:21,89,82,41,55,30
1/19/2023 1:36,88,81,40,20,0
1/19/2023 1:51,87,80,41,55,0
1/19/2023 2:06,88,79,40,20,31
1/19/2023 2:21,89,80,39,20,26
1/19/2023 2:36,90,79,38,20,0
1/19/2023 2:51,90,80,37,55,0
1/19/2023 3:06,90,79,38,20,31
1/19/2023 3:21,90,78,37,20,28
1/19/2023 3:36,89,77,38,20,29
1/19/2023 3:51,88,78,37,20,0
1/19/2023 4:06,89,77,36,55,0
1/19/2023 4:21,88,76,35,20,31
1/19/2023 4:36,87,77,36,20,27
1/19/2023 4:51,86,76,37,20,26
1/19/2023 5:06,85,75,38,20,0
