Date,Boiler2_FireRate_value,Boiler1_FireRate_value,Boiler_OAT_value_f,Boiler_RtnTemp_value_f,Boiler_BypassValve_value_f,Boiler_DP_value_psi,Boiler_SysHWS_value_f,Boiler2_HWS_value_f,Boiler_Flow_value_gpm,Boiler_P1A_Status_value,Boiler1_HWS_value_f,Boiler_HWR_value_f,Boiler_P1B_Status_value,Boiler_SpeedAO_value
01-Jan-23 12:00:00 AM CST,34,35,nan,nan,0,0,139.3,141,60,OFF,138.3,121.7,OFF,100
01-Jan-23 12:15:00 AM CST,41,42,nan,nan,0,0,139.4,141.1,66,OFF,138.7,118.4,OFF,100
01-Jan-23 12:30:00 AM CST,39,40,nan,nan,0,0,140.9,141.8,64,OFF,140.6,119.5,OFF,100
01-Jan-23 12:45:00 AM CST,35,37,nan,nan,0,0,140.7,141.6,61,OFF,140.1,121.2,OFF,100
01-Jan-23 1:00:00 AM CST,39,38,nan,nan,0,0,139.3,140.8,63,OFF,138.1,119.5,OFF,100
01-Jan-23 1:15:00 AM CST,40,39,nan,nan,0,0,141.1,142,62,OFF,140.7,120,OFF,100
01-Jan-23 1:30:00 AM CST,39,38,nan,nan,0,0,140.9,141.9,64,OFF,140.2,120.3,OFF,100
01-Jan-23 1:45:00 AM CST,35,38,nan,nan,0,0,139.6,139.8,66,OFF,139.4,120.2,OFF,100
01-Jan-23 2:00:00 AM CST,39,38,nan,nan,0,0,140.6,141.6,64,OFF,140,120.2,OFF,100
01-Jan-23 2:15:00 AM CST,38,37,nan,nan,0,0,140.9,142.2,66,OFF,140,122.5,OFF,100
01-Jan-23 2:30:00 AM CST,35,37,nan,nan,0,0,139.8,140.9,66,OFF,138.9,121.5,OFF,100
01-Jan-23 2:45:00 AM CST,38,38,nan,nan,0,0,139.6,139.8,63,OFF,139.7,119.8,OFF,100
01-Jan-23 3:00:00 AM CST,38,38,nan,nan,0,0,140,140.2,65,OFF,140.1,120.5,OFF,100
01-Jan-23 3:15:00 AM CST,39,38,nan,nan,0,0,140.8,141.6,63,OFF,140.4,120.2,OFF,100
01-Jan-23 3:30:00 AM CST,35,38,nan,nan,0,0,141.1,141.4,61,OFF,141.5,121,OFF,100
01-Jan-23 3:45:00 AM CST,35,37,nan,nan,0,0,139.7,140.4,63,OFF,138.8,120.3,OFF,100
01-Jan-23 4:00:00 AM CST,38,37,nan,nan,0,0,140.1,140.9,60,OFF,139.6,120.4,OFF,100
01-Jan-23 4:15:00 AM CST,35,38,nan,nan,0,0,140.4,141.5,60,OFF,139.1,120.2,OFF,100
01-Jan-23 4:30:00 AM CST,35,37,nan,nan,0,0,142,143.3,58,OFF,141.3,122.1,OFF,100
01-Jan-23 4:45:00 AM CST,34,33,nan,nan,0,0,139.7,139.9,62,OFF,138.4,122.5,OFF,100
