timestamp_utc,occ_mode
2026-01-05T12:00:00Z,unoccupied
2026-01-05T12:05:00Z,unoccupied
2026-01-05T12:10:00Z,unoccupied
2026-01-05T12:15:00Z,unoccupied
2026-01-05T12:20:00Z,unoccupied
2026-01-05T12:25:00Z,unoccupied
2026-01-05T12:30:00Z,unoccupied
2026-01-05T12:35:00Z,unoccupied
2026-01-05T12:40:00Z,unoccupied
2026-01-05T12:45:00Z,unoccupied
2026-01-05T12:50:00Z,unoccupied
2026-01-05T12:55:00Z,unoccupied
2026-01-05T13:00:00Z,unoccupied
2026-01-05T13:05:00Z,unoccupied
2026-01-05T13:10:00Z,unoccupied
2026-01-05T13:15:00Z,unoccupied
2026-01-05T13:20:00Z,unoccupied
2026-01-05T13:25:00Z,unoccupied
2026-01-05T13:30:00Z,unoccupied
2026-01-05T13:35:00Z,unoccupied
2026-01-05T13:40:00Z,unoccupied
2026-01-05T13:45:00Z,unoccupied
2026-01-05T13:50:00Z,unoccupied
2026-01-05T13:55:00Z,unoccupied
