open_fdd_col_names,Brick tags,Brick links,Haystack protos,Haystack links,,
"""duct_static_setpoint""  ",,,,,,
"""duct_static""   ",,,,,,
"""vfd_speed"" ","brick:Fan_VFD, brick:Motor_Speed_Sensor","https://brickschema.org/ontology/1.3/classes/Fan_VFD/, https://brickschema.org/ontology/1.3/classes/Motor_Speed_Sensor/",discharge_fan_vfd_speed_sensor_point,https://project-haystack.org/doc/proto/discharge-fan-vfd-speed-sensor-point,,
"""cooling_valve"" ",brick:chilled_water_valve,https://brickschema.org/ontology/1.3/classes/Chilled_Water_Valve/,,,,
"""heating_valve"" ",brick:heating_valve,https://brickschema.org/ontology/1.3/classes/Heating_Valve/,steam_heat_valve_cmd_point,https://project-haystack.org/doc/proto/steam-heat-valve-cmd-point,,
"""mixing_dampers""    ",brick:mixed_damper,https://brickschema.org/ontology/1.3/classes/Mixed_Damper/,mixed_damper_sensor_point,https://project-haystack.org/doc/proto/mixed-damper-sensor-point,,
"""supply_air_volume"" ",,,,,,
"""supply_air_pressure""   ",brick:supply_air_static_pressure_sensor,https://brickschema.org/ontology/1.3/classes/Supply_Air_Static_Pressure_Sensor,discharge_air_pressure_sensor_point,https://project-haystack.org/doc/proto/discharge-air-pressure-sensor-point,,
"""supply_air_pressure_setpoint""  ",brick:supply_air_static_pressure_setpoint,https://brickschema.org/ontology/1.3/classes/Supply_Air_Static_Pressure_Setpoint,discharge_air_pressure_sp_point,https://project-haystack.org/doc/proto/discharge-air-pressure-sp-point,,
"""supply_air_temp""   ",brick:supply_air_temperature_sensor,https://brickschema.org/ontology/1.3/classes/Supply_Air_Temperature_Sensor/,discharge_air_temp_sensor_point,https://project-haystack.org/doc/proto/discharge-air-temp-sensor-point,,
"""supply_air_temp_setpoint""  ",brick:supply_air_temperature_setpoint,https://brickschema.org/ontology/1.3/classes/Supply_Air_Temperature_Setpoint/,discharge_air_temp_sp_point,https://project-haystack.org/doc/proto/discharge-air-temp-sp-point,,
"""mixing_air_temp""   ",Brick:mixed_air_temperature_sensor,https://brickschema.org/ontology/1.3/classes/Mixed_Air_Temperature_Sensor/,mixed_air_temp_sensor_point,https://project-haystack.org/doc/proto/mixed-air-temp-sensor-point,,
"""outdoor_air_temp""  ",Brick:outside_air_temperature_sensor,https://brickschema.org/ontology/1.3/classes/Outside_Air_Temperature_Sensor/,outside_air_temp_sensor_point,https://project-haystack.org/doc/proto/outside-air-temp-sensor-point,,
"""return_air_temp""  ",Brick:return_air_temperature_sensor,https://brickschema.org/ontology/1.3/classes/Return_Air_Temperature_Sensor/,return_air_temp_sensor_point,https://project-haystack.org/doc/proto/return-air-temp-sensor-point,,
