Date,kW
1/1/2018 0:00,29.475
1/1/2018 0:15,29.138
1/1/2018 0:30,30.15
1/1/2018 0:45,30.038
1/1/2018 1:00,29.925
1/1/2018 1:15,29.25
1/1/2018 1:30,29.587
1/1/2018 1:45,29.925
1/1/2018 2:00,29.7
1/1/2018 2:15,29.475
1/1/2018 2:30,29.7
1/1/2018 2:45,30.15
1/1/2018 3:00,29.925
1/1/2018 3:15,28.913
1/1/2018 3:30,29.812
1/1/2018 3:45,29.475
1/1/2018 4:00,29.925
1/1/2018 4:15,35.325
1/1/2018 4:30,35.55
1/1/2018 4:45,35.888
1/1/2018 5:00,39.15
1/1/2018 5:15,44.55
1/1/2018 5:30,47.025
1/1/2018 5:45,49.838
1/1/2018 6:00,54.9
1/1/2018 6:15,54.225
1/1/2018 6:30,54.225
1/1/2018 6:45,54.338
1/1/2018 7:00,54
1/1/2018 7:15,53.325
1/1/2018 7:30,54.45
1/1/2018 7:45,52.65
1/1/2018 8:00,52.537
1/1/2018 8:15,51.3
1/1/2018 8:30,52.312
1/1/2018 8:45,52.65
1/1/2018 9:00,53.438
1/1/2018 9:15,52.2
1/1/2018 9:30,52.537
1/1/2018 9:45,51.975
1/1/2018 10:00,52.537
1/1/2018 10:15,52.425
1/1/2018 10:30,52.425
1/1/2018 10:45,52.312
1/1/2018 11:00,52.088
1/1/2018 11:15,53.888
1/1/2018 11:30,52.425
1/1/2018 11:45,52.763
1/1/2018 12:00,52.088
1/1/2018 12:15,52.763
1/1/2018 12:30,52.763
1/1/2018 12:45,52.875
1/1/2018 13:00,52.312
1/1/2018 13:15,52.875
1/1/2018 13:30,52.65
1/1/2018 13:45,53.325
1/1/2018 14:00,52.2
1/1/2018 14:15,52.2
1/1/2018 14:30,52.875
1/1/2018 14:45,52.987
1/1/2018 15:00,53.888
1/1/2018 15:15,53.775
1/1/2018 15:30,53.775
1/1/2018 15:45,53.775
1/1/2018 16:00,54.112
1/1/2018 16:15,55.237
1/1/2018 16:30,54.9
1/1/2018 16:45,55.125
1/1/2018 17:00,47.7
1/1/2018 17:15,36.9
1/1/2018 17:30,36
1/1/2018 17:45,35.438
1/1/2018 18:00,32.287
1/1/2018 18:15,30.825
1/1/2018 18:30,31.5
1/1/2018 18:45,31.163
1/1/2018 19:00,29.812
1/1/2018 19:15,29.475
1/1/2018 19:30,30.038
1/1/2018 19:45,29.362
1/1/2018 20:00,29.925
1/1/2018 20:15,28.913
1/1/2018 20:30,30.15
1/1/2018 20:45,29.7
1/1/2018 21:00,29.7
1/1/2018 21:15,29.025
1/1/2018 21:30,30.038
1/1/2018 21:45,29.362
1/1/2018 22:00,29.587
1/1/2018 22:15,28.913
1/1/2018 22:30,29.7
1/1/2018 22:45,30.038
1/1/2018 23:00,29.925
1/1/2018 23:15,29.025
1/1/2018 23:30,29.587
