Date,kW
6/19/2015 0:15,22
6/19/2015 0:30,20.6
6/19/2015 0:45,21.8
6/19/2015 1:00,21.8
6/19/2015 1:15,22.2
6/19/2015 1:30,20.6
6/19/2015 1:45,21.4
6/19/2015 2:00,22.2
6/19/2015 2:15,20
6/19/2015 2:30,21.8
6/19/2015 2:45,20.6
6/19/2015 3:00,20.4
6/19/2015 3:15,22.6
6/19/2015 3:30,21
6/19/2015 3:45,20.4
6/19/2015 4:00,21.2
6/19/2015 4:15,20.8
6/19/2015 4:30,21.2
6/19/2015 4:45,21
6/19/2015 5:00,20.4
6/19/2015 5:15,25
6/19/2015 5:30,28.2
6/19/2015 5:45,22.4
6/19/2015 6:00,24.4
6/19/2015 6:15,70.2
6/19/2015 6:30,80
6/19/2015 6:45,80.4
6/19/2015 7:00,92.8
6/19/2015 7:15,89.4
6/19/2015 7:30,92.4
6/19/2015 7:45,92
6/19/2015 8:00,103.2
6/19/2015 8:15,90.2
6/19/2015 8:30,88.6
6/19/2015 8:45,104
6/19/2015 9:00,96.2
6/19/2015 9:15,99.2
6/19/2015 9:30,105.6
6/19/2015 9:45,100.4
6/19/2015 10:00,107.4
6/19/2015 10:15,111.4
6/19/2015 10:30,97.4
6/19/2015 10:45,96.6
6/19/2015 11:00,88.6
6/19/2015 11:15,83
6/19/2015 11:30,97.2
6/19/2015 11:45,85.2
6/19/2015 12:00,85.6
6/19/2015 12:15,102.2
6/19/2015 12:30,90.2
6/19/2015 12:45,95.2
6/19/2015 13:00,108
6/19/2015 13:15,98.4
6/19/2015 13:30,73.8
6/19/2015 13:45,95.4
6/19/2015 14:00,94
6/19/2015 14:15,97.4
6/19/2015 14:30,107
6/19/2015 14:45,93.6
6/19/2015 15:00,101
6/19/2015 15:15,105.4
6/19/2015 15:30,93.6
6/19/2015 15:45,97.6
6/19/2015 16:00,85.6
6/19/2015 16:15,63.6
6/19/2015 16:30,62.4
6/19/2015 16:45,67.6
6/19/2015 17:00,65
6/19/2015 17:15,21
6/19/2015 17:30,20.6
6/19/2015 17:45,19.8
6/19/2015 18:00,19.2
6/19/2015 18:15,21
6/19/2015 18:30,20.8
6/19/2015 18:45,20.8
6/19/2015 19:00,19.4
6/19/2015 19:15,20.6
6/19/2015 19:30,20.6
6/19/2015 19:45,19
6/19/2015 20:00,21.4
6/19/2015 20:15,19.2
6/19/2015 20:30,22
6/19/2015 20:45,23.4
6/19/2015 21:00,22.2
6/19/2015 21:15,23.6
6/19/2015 21:30,22.2
6/19/2015 21:45,22.4
6/19/2015 22:00,24
6/19/2015 22:15,22.6
6/19/2015 22:30,22.8
6/19/2015 22:45,23
6/19/2015 23:00,25
6/19/2015 23:15,22.2
6/19/2015 23:30,24.4
6/19/2015 23:45,25.6
6/20/2015 0:00,23.6
6/20/2015 0:15,22
6/20/2015 0:30,21.4
6/20/2015 0:45,21.4
6/20/2015 1:00,21.4
6/20/2015 1:15,20.6
6/20/2015 1:30,21.2
6/20/2015 1:45,21.2
6/20/2015 2:00,20.8
6/20/2015 2:15,21.4
6/20/2015 2:30,22.4
6/20/2015 2:45,19.8
6/20/2015 3:00,20.8
6/20/2015 3:15,21.4
6/20/2015 3:30,20.6
6/20/2015 3:45,20.2
6/20/2015 4:00,23
6/20/2015 4:15,20
6/20/2015 4:30,21.6
6/20/2015 4:45,21
6/20/2015 5:00,20.4
6/20/2015 5:15,21.8
6/20/2015 5:30,23.2
6/20/2015 5:45,19.4
6/20/2015 6:00,19.6
6/20/2015 6:15,21.6
6/20/2015 6:30,20.2
6/20/2015 6:45,20
6/20/2015 7:00,33.2
6/20/2015 7:15,30
6/20/2015 7:30,30.2
6/20/2015 7:45,29
6/20/2015 8:00,29.6
6/20/2015 8:15,31.2
6/20/2015 8:30,32.2
6/20/2015 8:45,31.4
6/20/2015 9:00,30.2
6/20/2015 9:15,33.2
6/20/2015 9:30,30.8
6/20/2015 9:45,31.6
6/20/2015 10:00,31.4
6/20/2015 10:15,31.2
6/20/2015 10:30,30.2
6/20/2015 10:45,27.8
6/20/2015 11:00,28.2
6/20/2015 11:15,28.4
6/20/2015 11:30,27.6
6/20/2015 11:45,29
6/20/2015 12:00,29.4
6/20/2015 12:15,29.6
6/20/2015 12:30,21.6
6/20/2015 12:45,18
6/20/2015 13:00,19
6/20/2015 13:15,19.8
6/20/2015 13:30,19.2
6/20/2015 13:45,20.4
6/20/2015 14:00,18.8
6/20/2015 14:15,18.4
6/20/2015 14:30,19
6/20/2015 14:45,20.2
6/20/2015 15:00,20.4
6/20/2015 15:15,20
6/20/2015 15:30,20.4
6/20/2015 15:45,20.8
6/20/2015 16:00,19.8
6/20/2015 16:15,18.8
6/20/2015 16:30,19.8
6/20/2015 16:45,22.6
6/20/2015 17:00,22
6/20/2015 17:15,23.6
6/20/2015 17:30,22
6/20/2015 17:45,22.2
6/20/2015 18:00,24.6
6/20/2015 18:15,23
6/20/2015 18:30,21.6
6/20/2015 18:45,22.6
6/20/2015 19:00,22.2
6/20/2015 19:15,22.2
6/20/2015 19:30,22
6/20/2015 19:45,22.2
6/20/2015 20:00,23.2
6/20/2015 20:15,23.2
6/20/2015 20:30,22.2
6/20/2015 20:45,23.6
6/20/2015 21:00,22.8
6/20/2015 21:15,21.6
6/20/2015 21:30,22.4
6/20/2015 21:45,22
6/20/2015 22:00,23
6/20/2015 22:15,22
6/20/2015 22:30,23.2
6/20/2015 22:45,23.8
6/20/2015 23:00,23
6/20/2015 23:15,24.2
6/20/2015 23:30,22.4
6/20/2015 23:45,23.4
6/21/2015 0:00,24.2
6/21/2015 0:15,20.8
6/21/2015 0:30,22.2
6/21/2015 0:45,22
6/21/2015 1:00,20.6
6/21/2015 1:15,22
6/21/2015 1:30,20.4
6/21/2015 1:45,21.2
6/21/2015 2:00,21.2
6/21/2015 2:15,20.4
6/21/2015 2:30,22.2
6/21/2015 2:45,20
6/21/2015 3:00,21.8
6/21/2015 3:15,21.6
6/21/2015 3:30,20.8
6/21/2015 3:45,21.2
6/21/2015 4:00,19.2
6/21/2015 4:15,21.8
6/21/2015 4:30,20.4
6/21/2015 4:45,21.6
6/21/2015 5:00,20.4
6/21/2015 5:15,22.6
6/21/2015 5:30,23.8
6/21/2015 5:45,20.8
6/21/2015 6:00,21
6/21/2015 6:15,20.6
6/21/2015 6:30,19.8
6/21/2015 6:45,22
6/21/2015 7:00,21.2
6/21/2015 7:15,20.4
6/21/2015 7:30,19.6
6/21/2015 7:45,21
6/21/2015 8:00,19.8
6/21/2015 8:15,20.8
6/21/2015 8:30,22.6
6/21/2015 8:45,21.6
6/21/2015 9:00,24.2
6/21/2015 9:15,20.2
6/21/2015 9:30,19.8
6/21/2015 9:45,20.6
6/21/2015 10:00,20.2
6/21/2015 10:15,19.4
6/21/2015 10:30,18.4
6/21/2015 10:45,19.8
6/21/2015 11:00,19.4
6/21/2015 11:15,19.8
6/21/2015 11:30,23.4
6/21/2015 11:45,21.4
6/21/2015 12:00,21.4
6/21/2015 12:15,22.8
6/21/2015 12:30,19.2
6/21/2015 12:45,19
6/21/2015 13:00,19
6/21/2015 13:15,19.8
6/21/2015 13:30,20.2
6/21/2015 13:45,19.4
6/21/2015 14:00,19.8
6/21/2015 14:15,18.8
6/21/2015 14:30,19.2
6/21/2015 14:45,20.2
6/21/2015 15:00,20.2
6/21/2015 15:15,19.6
6/21/2015 15:30,17.8
6/21/2015 15:45,19.2
6/21/2015 16:00,18.6
6/21/2015 16:15,18
6/21/2015 16:30,17.8
6/21/2015 16:45,18.8
6/21/2015 17:00,19.4
6/21/2015 17:15,19.4
6/21/2015 17:30,21.6
6/21/2015 17:45,19.2
6/21/2015 18:00,19.4
6/21/2015 18:15,19.8
6/21/2015 18:30,18.8
6/21/2015 18:45,20.4
6/21/2015 19:00,19.6
6/21/2015 19:15,19.6
6/21/2015 19:30,19.4
6/21/2015 19:45,19
6/21/2015 20:00,20.8
6/21/2015 20:15,20.6
6/21/2015 20:30,23.2
6/21/2015 20:45,22.8
6/21/2015 21:00,22.6
6/21/2015 21:15,22.6
6/21/2015 21:30,21.6
6/21/2015 21:45,23.2
6/21/2015 22:00,22.6
6/21/2015 22:15,22.2
6/21/2015 22:30,23.4
6/21/2015 22:45,25
6/21/2015 23:00,23.4
6/21/2015 23:15,21.8
6/21/2015 23:30,22.4
6/21/2015 23:45,22.6
6/22/2015 0:00,22.2
6/22/2015 0:15,21.6
6/22/2015 0:30,21.4
6/22/2015 0:45,21.8
6/22/2015 1:00,21.4
6/22/2015 1:15,22
6/22/2015 1:30,20.8
6/22/2015 1:45,20.2
6/22/2015 2:00,21.6
6/22/2015 2:15,20.8
6/22/2015 2:30,20.6
6/22/2015 2:45,21.8
6/22/2015 3:00,21.6
6/22/2015 3:15,21.2
6/22/2015 3:30,20
6/22/2015 3:45,21
6/22/2015 4:00,19.2
6/22/2015 4:15,20.6
6/22/2015 4:30,22
6/22/2015 4:45,20.2
6/22/2015 5:00,21.6
6/22/2015 5:15,34.2
6/22/2015 5:30,35.6
6/22/2015 5:45,101.6
6/22/2015 6:00,159.8
6/22/2015 6:15,123.6
6/22/2015 6:30,116.4
6/22/2015 6:45,126.6
6/22/2015 7:00,120.6
6/22/2015 7:15,126.6
6/22/2015 7:30,128
6/22/2015 7:45,130.6
6/22/2015 8:00,130.2
6/22/2015 8:15,134.2
6/22/2015 8:30,135.6
6/22/2015 8:45,144.8
6/22/2015 9:00,142
6/22/2015 9:15,143.4
6/22/2015 9:30,133.2
6/22/2015 9:45,143.8
6/22/2015 10:00,148.2
6/22/2015 10:15,146.4
6/22/2015 10:30,142.4
6/22/2015 10:45,145.6
6/22/2015 11:00,145.6
6/22/2015 11:15,135.8
6/22/2015 11:30,128.8
6/22/2015 11:45,128.8
6/22/2015 12:00,124.2
6/22/2015 12:15,123.4
6/22/2015 12:30,118
6/22/2015 12:45,107.8
6/22/2015 13:00,113.2
6/22/2015 13:15,123.2
6/22/2015 13:30,125.2
6/22/2015 13:45,128.8
6/22/2015 14:00,126.4
6/22/2015 14:15,127.2
6/22/2015 14:30,115
6/22/2015 14:45,115.8
6/22/2015 15:00,119.2
6/22/2015 15:15,114.2
6/22/2015 15:30,109.4
6/22/2015 15:45,115.6
6/22/2015 16:00,108.4
6/22/2015 16:15,73.2
6/22/2015 16:30,72.8
6/22/2015 16:45,69.2
6/22/2015 17:00,69.6
6/22/2015 17:15,22.4
6/22/2015 17:30,19.8
6/22/2015 17:45,19.6
6/22/2015 18:00,17.8
6/22/2015 18:15,19.4
6/22/2015 18:30,20.4
6/22/2015 18:45,20.4
6/22/2015 19:00,19
6/22/2015 19:15,18.6
6/22/2015 19:30,18.6
6/22/2015 19:45,22.6
6/22/2015 20:00,21.8
6/22/2015 20:15,22.8
6/22/2015 20:30,23.2
6/22/2015 20:45,22
6/22/2015 21:00,23
6/22/2015 21:15,21.8
6/22/2015 21:30,22.2
6/22/2015 21:45,23
6/22/2015 22:00,22.4
6/22/2015 22:15,22.2
6/22/2015 22:30,22.4
6/22/2015 22:45,24.6
6/22/2015 23:00,23.8
6/22/2015 23:15,22.8
6/22/2015 23:30,24
6/22/2015 23:45,23.8
6/23/2015 0:00,23.2
6/23/2015 0:15,20.6
6/23/2015 0:30,21.8
6/23/2015 0:45,20.8
6/23/2015 1:00,21.4
6/23/2015 1:15,21.6
6/23/2015 1:30,21
6/23/2015 1:45,21.2
6/23/2015 2:00,21.8
6/23/2015 2:15,22.8
6/23/2015 2:30,20.6
6/23/2015 2:45,20.4
6/23/2015 3:00,22.8
