Date,kW
6/19/2016 0:15,28.8
6/19/2016 0:30,28.2
6/19/2016 0:45,28.6
6/19/2016 1:00,29
6/19/2016 1:15,29.4
6/19/2016 1:30,29.4
6/19/2016 1:45,28.8
6/19/2016 2:00,28.4
6/19/2016 2:15,28.6
6/19/2016 2:30,29.4
6/19/2016 2:45,27.4
6/19/2016 3:00,28.8
6/19/2016 3:15,29.2
6/19/2016 3:30,29.2
6/19/2016 3:45,29
6/19/2016 4:00,28.2
6/19/2016 4:15,28.4
6/19/2016 4:30,28.6
6/19/2016 4:45,28
6/19/2016 5:00,27.8
6/19/2016 5:15,30.6
6/19/2016 5:30,31.4
6/19/2016 5:45,30
6/19/2016 6:00,28.4
6/19/2016 6:15,26.8
6/19/2016 6:30,27.2
6/19/2016 6:45,26.6
6/19/2016 7:00,26.8
6/19/2016 7:15,47.4
6/19/2016 7:30,81
6/19/2016 7:45,75
6/19/2016 8:00,74.2
6/19/2016 8:15,75
6/19/2016 8:30,76.2
6/19/2016 8:45,75.4
6/19/2016 9:00,75.8
6/19/2016 9:15,77.4
6/19/2016 9:30,76.6
6/19/2016 9:45,76.8
6/19/2016 10:00,77.4
6/19/2016 10:15,84.2
6/19/2016 10:30,94
6/19/2016 10:45,78.8
6/19/2016 11:00,69.2
6/19/2016 11:15,87.6
6/19/2016 11:30,94.6
6/19/2016 11:45,77
6/19/2016 12:00,80.6
6/19/2016 12:15,89.4
6/19/2016 12:30,83.6
6/19/2016 12:45,77
6/19/2016 13:00,92.6
6/19/2016 13:15,96.2
6/19/2016 13:30,84.6
6/19/2016 13:45,77.8
6/19/2016 14:00,81.6
6/19/2016 14:15,96.2
6/19/2016 14:30,93.6
6/19/2016 14:45,89
6/19/2016 15:00,90.6
6/19/2016 15:15,87.4
6/19/2016 15:30,77.4
6/19/2016 15:45,75
6/19/2016 16:00,80.4
6/19/2016 16:15,85.4
6/19/2016 16:30,80
6/19/2016 16:45,76.8
6/19/2016 17:00,79
6/19/2016 17:15,95
6/19/2016 17:30,93.4
6/19/2016 17:45,77.4
6/19/2016 18:00,95
6/19/2016 18:15,59
6/19/2016 18:30,31.8
6/19/2016 18:45,27.6
