Bill Month,kWh Total,Billed Demand (kW),Metered Demand (kW),Power Factor (%),Total Current Charges ($),$/kWh
2015-01,281890,594,539,95.8,26351.19,0.0935
2015-02,278250,594,532,95.7,26176.1,0.0941
2015-03,263200,598,598,96.2,25529.19,0.097
2015-04,288610,820,820,95.5,30134.68,0.1044
2015-05,314720,803,803,90.2,31140.61,0.0989
2015-06,364070,810,810,89.1,33609.53,0.0923
2015-07,339640,713,713,88.7,30862.54,0.0909
2015-08,337680,838,838,89.5,32789.94,0.0971
2015-09,349860,828,828,85.8,29952.92,0.0856
2015-10,307440,759,759,86.2,29987.22,0.0975
2015-11,232400,752,752,90.9,26583.56,0.1144
2015-12,233170,545,542,94.2,22939.97,0.0984
2016-01,234640,545,506,95.1,21759.85,0.0927
2016-02,281960,573,573,95.1,23978.66,0.085
2016-03,260260,631,631,95.2,24087.75,0.0926
2016-04,260330,753,753,94.6,26374.46,0.1013
2016-05,250040,783,783,91.3,26477.88,0.1059
2016-06,286790,733,733,89.2,27148.85,0.0947
2016-07,341740,839,839,87.2,30506.74,0.0893
2016-08,348320,855,855,87.3,31808.16,0.0913
2016-09,316890,858,858,85.7,31150.63,0.0983
2016-10,294350,819,819,87.6,30409.22,0.1033
2016-11,251370,780,780,91.7,27859.7,0.1108
2016-12,230650,793,793,93.8,27094.73,0.1175
2017-01,271740,558,552,95.1,25200.81,0.0927
2017-02,243460,573,573,95.2,24310.31,0.0999
2017-03,259630,636,636,95.7,26338.95,0.1014
2017-04,280420,816,816,94.5,30187.93,0.1077
2017-05,253330,795,795,92.2,28820.99,0.1138
2017-06,316050,740,740,87.5,29616.33,0.0937
2017-07,355950,694,694,84.8,30529.35,0.0858
2017-08,347410,798,798,85.7,31760.57,0.0914
2017-09,336910,748,748,86.1,29533.69,0.0877
2017-10,291900,708,708,87.0,26545.45,0.0909
2017-11,239680,748,748,93.1,26044.3,0.1087
2017-12,230650,577,577,94.4,23001.97,0.0997
2018-01,292530,600,816,95.0,26926.17,0.092
2018-02,238000,609,816,94.0,24883.63,0.1046
2018-03,248220,641,816,95.0,25882.21,0.1043
2018-04,273770,627,798,95.0,26513.39,0.0968
2018-05,285530,801,801,90.0,29565.86,0.1035
2018-06,353220,799,801,86.0,32228.47,0.0912
2018-07,337750,758,801,86.0,30908.5,0.0915
2018-08,345800,944,944,87.0,34739.0,0.1005
2018-09,342510,812,944,87.0,31773.42,0.0928
2018-10,288680,796,944,89.0,30013.27,0.104
2018-11,245210,750,944,94.0,27450.94,0.1119
