Bill Month,Usage (Mcf),Avg Daily Mcf,Total Energy Charges ($),$/Mcf
2015-12,440.7,12.591,2537.45,5.7578
2016-01,1167.3,34.332,6673.46,5.717
2016-02,1124.7,38.783,6620.13,5.8861
2016-03,1189.4,38.368,7088.52,5.9597
2016-04,695.5,23.183,3637.01,5.2293
2016-05,515.9,17.79,2815.11,5.4567
2016-06,138.3,4.322,786.65,5.688
2016-07,0.1,0.003,23.51,235.1
2016-09,0.0,,24.14,
2016-10,43.9,1.372,272.84,6.215
2016-11,308.3,10.277,1804.36,5.8526
2016-12,713.1,20.974,4020.66,5.6383
2017-01,1580.8,47.903,9161.76,5.7956
2017-02,717.3,23.91,4152.38,5.7889
2017-03,831.4,29.693,4840.5,5.8221
2017-04,810.6,28.95,4888.29,6.0305
2017-05,445.3,14.365,2817.29,6.3267
2017-06,397.0,12.406,2458.11,6.1917
2017-07,6.5,0.224,61.77,9.5031
2017-08,0.0,,21.65,
2017-09,16.6,0.519,144.85,8.7259
2017-10,138.6,4.779,850.43,6.1359
2017-11,330.2,11.386,1938.92,5.872
2017-12,711.7,23.723,4117.73,5.7858
2018-01,1697.4,51.436,9652.02,5.6864
2018-02,875.8,27.369,5102.9,5.8266
2018-03,1081.5,36.05,6608.08,6.1101
2018-04,937.4,32.324,5280.03,5.6326
2018-05,409.1,14.107,2342.54,5.7261
2018-06,10.5,0.328,119.92,11.421
2018-07,16.1,0.519,149.59,9.2913
2018-08,0.0,,57.16,
2018-09,0.0,,60.81,
2018-10,116.0,3.867,733.33,6.3218
2018-11,582.7,20.811,3383.84,5.8072
2018-12,1121.4,33.982,6533.6,5.8263
2019-01,1192.4,35.071,7215.1,6.0509
2019-02,1153.7,38.457,6632.13,5.7486
2019-03,1093.0,37.69,6287.9,5.7529
2019-04,893.6,30.814,5173.32,5.7893
2019-04,370.2,19.484,2162.83,5.8423
2019-05,458.8,15.821,2634.38,5.7419
2019-06,111.2,3.475,699.99,6.2949
2019-07,9.5,0.317,147.1,15.4842
2019-08,4.3,0.148,171.25,39.8256
2019-09,28.1,0.878,243.5,8.6655
2019-10,247.5,8.839,1516.97,6.1292
2019-11,734.5,25.328,4385.02,5.9701
2019-12,822.5,28.362,4965.16,6.0367
2020-01,941.6,31.387,5477.39,5.8171
2020-02,1062.3,33.197,5992.51,5.6411
2020-03,770.5,26.569,4381.7,5.6868
2020-04,770.9,23.361,4187.1,5.4314
2020-05,378.4,15.136,2107.04,5.5683
2020-06,36.3,1.134,290.32,7.9978
2020-07,0.8,0.026,91.09,113.8625
2020-08,0.0,,81.86,
2020-09,24.7,0.748,224.73,9.0984
2020-10,216.9,7.479,1372.73,6.3289
2020-11,446.5,15.397,2690.24,6.0252
2020-12,760.5,24.532,4522.94,5.9473
2021-01,866.2,27.069,4996.86,5.7687
2021-02,896.9,32.032,5139.8,5.7306
2021-03,643.2,21.44,3639.58,5.6586
2021-04,307.8,9.619,2060.94,6.6957
2021-05,263.3,9.404,1726.97,6.5589
2021-06,45.3,1.51,388.74,8.5815
2021-07,0.0,,92.18,
2021-08,0.0,,91.63,
2021-09,0.0,,91.63,
2021-10,68.1,2.064,601.94,8.8391
2021-11,381.8,12.727,3110.98,8.1482
2021-12,645.9,22.272,5138.24,7.9552
2022-01,791.7,28.275,5864.29,7.4072
2022-02,1058.1,32.064,7813.76,7.3847
2022-03,742.4,24.747,5875.5,7.9142
2022-04,595.8,18.619,5036.46,8.4533
2022-05,189.5,6.768,1859.26,9.8114
2022-06,0.0,,91.63,
2022-07,0.0,,91.63,
2022-08,0.0,,91.63,
2022-09,0.0,,91.63,
2022-10,135.1,4.503,1665.97,12.3314
2022-11,316.3,9.884,3627.99,11.4701
2022-12,748.5,24.145,8148.43,10.8863
2023-01,867.9,27.122,9240.78,10.6473
2023-02,737.5,26.339,7399.11,10.0327
2023-03,771.6,25.72,7636.82,9.8974
2023-04,591.3,17.918,4955.81,8.3812
2023-05,325.7,11.231,2598.9,7.9794
2023-06,90.4,2.739,791.58,8.7564
2023-07,2.8,0.097,134.69,48.1036
2023-08,4.5,0.155,139.7,31.0444
2023-09,48.4,1.613,421.72,8.7132
2023-10,180.8,5.832,1494.17,8.2642
2023-11,423.6,14.12,3376.43,7.9708
2023-12,659.0,22.724,5160.74,7.8312
2024-01,827.1,25.064,6059.88,7.3267
2024-02,784.3,26.143,5675.9,7.2369
2024-03,567.7,21.026,4110.25,7.2402
2024-04,552.1,16.73,4098.76,7.4239
2024-05,78.7,2.714,689.76,8.7644
2024-06,0.4,0.013,142.85,357.125
2024-07,0.0,,132.13,
2024-08,0.5,0.017,143.51,287.02
2024-09,3.6,0.12,164.51,45.6972
2024-10,13.2,0.471,231.29,17.522
2024-11,248.4,7.097,1926.19,7.7544
2024-12,467.8,16.707,3420.2,7.3112
2025-01,836.8,24.612,6063.08,7.2456
2025-02,1028.0,34.267,7400.78,7.1992
2025-03,685.8,24.493,4889.23,7.1292
2025-04,438.1,14.132,4029.07,9.1967
2025-05,176.8,5.703,1639.13,9.2711
2025-06,88.1,3.038,905.01,10.2725
2025-07,3.8,0.115,175.92,46.2947
2025-08,7.5,0.25,207.5,27.6667
2025-09,22.4,0.723,318.94,14.2384
2025-10,57.4,1.913,607.62,10.5857
2025-11,394.4,13.147,3389.74,8.5947
2026-01,838.1,26.191,7832.22,9.3452
2026-02,915.9,30.53,7841.98,8.562
2026-03,557.7,17.99,4733.4,8.4874
2026-04,541.1,16.909,4631.32,8.5591
