Date,kW1diff,kW1Hrs,kW2diff,kW2Hrs,kW3diff,kW3Hrs,kW4diff,kW4Hrs,kW5diff,kW5Hrs,kW6diff,kW6Hrs,kW7diff,kW7Hrs,kW8diff,kW8Hrs,kW9diff,kW9Hrs,kW10diff,kW10Hrs,kW11diff,kW11Hrs,kW12diff,kW12Hrs,kW13diff,kW13Hrs,kW14diff,kW14Hrs,kW15diff,kW15Hrs,kW16diff,kW16Hrs
2013-06-19,2.6000000000000014,4.5,26.999999999999993,0.5,-4.599999999999994,0.75,6.0,1.25,4.0,0.5,11.0,1.25,7.200000000000003,0.75,6.599999999999994,0.75,1.6000000000000085,1.0,8.0,1.0,-3.8000000000000114,0.75,14.600000000000009,0.75,-12.799999999999997,1.25,-71.80000000000001,1.0,-5.600000000000001,7.25,-0.6000000000000014,0.25
2013-06-20,58.599999999999994,5.25,-14.799999999999997,0.5,-8.200000000000003,0.5,5.0,1.0,16.200000000000003,1.25,12.400000000000006,1.25,21.599999999999994,1.0,-5.200000000000003,1.0,12.200000000000003,1.5,5.0,1.25,-11.400000000000006,0.75,-88.39999999999999,1.0,6.799999999999997,2.25,3.6000000000000014,1.0,-6.0,3.75,-1.0,0.5
2013-06-21,91.4,5.0,-17.000000000000014,1.25,-4.799999999999997,1.5,12.799999999999997,0.75,-30.200000000000003,1.0,-3.5999999999999943,1.75,-6.0,0.75,9.799999999999997,2.5,-16.0,0.5,-13.599999999999994,1.25,-15.400000000000006,3.5,19.200000000000003,0.5,-15.200000000000003,0.5,10.0,0.75,-28.4,0.75,-4.0,1.5
2013-06-22,25.799999999999997,5.25,-4.799999999999997,0.75,2.6000000000000014,1.0,-26.400000000000002,1.25,6.400000000000002,1.5,-5.800000000000001,1.75,6.400000000000002,0.75,-8.200000000000003,0.75,5.600000000000001,2.0,1.7999999999999972,4.75,5.399999999999999,0.75,-0.7999999999999972,0.75,-4.799999999999997,0.5,2.799999999999997,0.75,-2.799999999999997,0.5,-3.8000000000000043,0.75
2013-06-23,44.8,5.75,-8.599999999999994,0.75,-19.60000000000001,0.5,20.200000000000003,0.5,-27.799999999999997,0.75,8.0,0.75,0.7999999999999972,0.75,7.0,1.75,7.399999999999999,3.25,-8.600000000000001,0.5,-7.199999999999996,0.75,-18.0,0.75,-5.0,1.5,5.199999999999999,1.25,3.1999999999999993,1.0,-1.3999999999999986,3.25
2013-06-24,85.2,5.0,7.199999999999989,1.0,-8.199999999999989,0.75,-17.400000000000006,1.25,23.799999999999997,0.5,12.799999999999997,1.0,-18.0,0.5,17.599999999999994,2.5,-22.19999999999999,0.75,8.400000000000006,0.5,-76.80000000000001,2.5,-15.600000000000001,0.5,13.799999999999997,1.75,-7.199999999999996,2.0,-2.200000000000003,2.75,-1.7999999999999972,0.5
2013-06-25,53.2,5.0,9.599999999999994,1.0,-9.200000000000003,0.75,23.400000000000006,1.5,10.200000000000003,1.25,-14.799999999999997,0.75,16.799999999999997,2.0,-11.400000000000006,0.5,21.799999999999997,0.5,7.800000000000011,1.0,-11.200000000000003,0.75,-8.400000000000006,0.5,-52.0,0.75,0.20000000000000284,2.5,-28.6,1.25,-4.599999999999998,3.75
2013-06-26,-2.599999999999998,2.0,122.39999999999999,3.25,-48.999999999999986,0.75,-20.0,1.5,27.0,0.5,-14.200000000000003,0.75,12.0,0.5,-13.200000000000003,2.5,3.799999999999997,0.75,13.200000000000003,1.0,23.60000000000001,0.5,6.400000000000006,0.5,-13.600000000000009,0.75,-74.80000000000001,1.0,-6.399999999999999,3.0,-4.399999999999999,4.5
2013-06-27,66.6,5.0,6.800000000000011,0.75,0.19999999999998863,1.0,9.400000000000006,1.5,18.0,1.5,-17.200000000000003,1.0,24.200000000000003,0.75,15.599999999999994,1.5,14.599999999999994,1.0,-22.599999999999994,0.5,-105.0,1.75,7.799999999999997,2.0,-7.399999999999999,1.75,-15.799999999999997,0.5,2.0,2.75,-2.200000000000003,0.5
2013-06-28,98.4,5.0,16.19999999999999,0.75,-32.19999999999999,0.5,-7.200000000000003,1.25,13.399999999999991,1.0,-11.599999999999994,0.5,20.19999999999999,0.75,17.200000000000017,0.75,-35.2,0.75,13.599999999999994,1.5,-9.200000000000003,1.75,-43.19999999999999,1.75,-1.4000000000000057,3.5,-10.799999999999997,1.75,-32.2,0.75,-2.1999999999999993,1.5
2013-06-29,35.4,5.25,-6.399999999999999,1.0,-5.800000000000004,0.75,-7.599999999999994,0.75,-17.6,0.5,4.799999999999997,1.5,-8.599999999999998,1.75,0.1999999999999993,1.75,-1.8000000000000007,0.5,3.0,1.0,2.0,1.75,-1.8000000000000007,0.75,1.0,2.25,5.200000000000003,1.25,-3.0,2.5,-1.0,0.5
2013-06-30,-0.8000000000000007,5.0,14.799999999999997,0.75,6.800000000000004,1.5,-17.4,1.0,0.3999999999999986,2.5,3.0,0.75,8.600000000000001,1.5,-4.600000000000001,0.5,8.600000000000001,1.0,-22.6,1.75,3.799999999999997,2.25,-5.799999999999997,0.5,2.0,0.5,4.799999999999997,1.0,-3.599999999999998,3.0,0.3999999999999986,0.25
2013-07-01,3.0,4.75,52.39999999999999,0.5,-19.799999999999997,0.75,6.6000000000000085,0.5,-1.0,1.25,9.199999999999989,1.0,5.0,2.0,9.600000000000009,0.75,9.0,1.0,16.799999999999997,2.25,-79.0,1.5,2.799999999999997,2.0,-5.199999999999996,2.0,-5.0,1.25,-2.6000000000000014,1.75,0.3999999999999986,0.5
2013-07-02,22.599999999999998,5.0,16.0,1.0,8.400000000000006,2.5,9.399999999999991,2.0,-4.3999999999999915,1.0,4.799999999999997,0.75,11.200000000000003,1.0,-7.200000000000003,0.5,15.799999999999997,0.5,-6.0,0.5,-14.399999999999991,1.0,-22.60000000000001,0.5,-5.799999999999997,0.5,-12.399999999999999,2.75,-15.200000000000003,0.5,-1.0,3.75
2013-07-03,52.4,5.25,2.0,3.25,12.400000000000006,0.5,-9.0,0.5,10.0,0.5,-17.200000000000003,0.5,29.200000000000003,0.5,-9.600000000000009,0.5,-6.0,1.0,-8.0,1.25,6.400000000000006,0.75,-27.799999999999997,1.75,-3.6000000000000014,0.5,0.0,2.25,-23.6,4.25,0.20000000000000284,0.5
