Date,kW_Q0.025,kW_Q0.25,kW_Q0.75,kW_Q0.975,kW,hour_max_demand,kWH,month,day_of_week
2014-01-01,50.2,58.8,95.9,118.55,129.4,11,1858.7,1,2
2014-01-02,48.9,63.45,99.79999999999998,138.625,178.8,10,2041.0000000000005,1,3
2014-01-03,53.475,75.0,103.30000000000001,130.625,136.4,10,2128.5999999999995,1,4
2014-01-04,48.075,57.5,72.75,108.85,110.0,9,1669.9500000000003,1,5
2014-01-05,55.7,63.95,77.89999999999999,87.9,90.6,7,1701.6499999999999,1,6
2014-01-06,58.475,63.2,91.69999999999999,104.975,112.2,12,1846.15,1,0
2014-01-07,58.275,62.95,92.05,110.4,113.6,12,1866.6,1,1
2014-01-08,57.9,72.95,162.35,202.0,214.6,11,2846.1000000000004,1,2
2014-01-09,54.775,70.6,182.35,209.625,217.6,12,2962.5499999999997,1,3
2014-01-10,52.275,71.0,187.64999999999998,206.45,233.0,13,2917.7999999999997,1,4
2014-01-11,51.225,67.55,83.64999999999999,101.975,118.2,6,1794.9499999999996,1,5
2014-01-12,58.475,62.8,79.25,86.25,88.2,7,1706.65,1,6
2014-01-13,53.35,78.95,180.24999999999997,205.05,211.6,10,2947.650000000001,1,0
2014-01-14,50.55,84.55,183.35,202.575,222.8,12,2979.9999999999995,1,1
2014-01-15,52.2,74.39999999999999,177.04999999999998,204.85,213.0,12,2902.6,1,2
2014-01-16,53.35,67.8,177.8,207.375,231.2,12,2841.4999999999995,1,3
2014-01-17,52.65,68.95,179.65,204.725,222.2,11,2966.35,1,4
2014-01-18,53.15,59.9,75.45,88.225,96.0,9,1654.8,1,5
2014-01-19,54.575,59.0,71.45,82.025,96.2,9,1572.25,1,6
2014-01-20,53.95,79.7,174.1,195.175,208.0,11,2878.95,1,0
2014-01-21,55.825,74.0,182.35000000000002,211.85,228.8,9,2951.6500000000005,1,1
2014-01-22,63.849999999999994,77.39999999999999,180.95000000000002,201.025,211.2,10,3004.4500000000003,1,2
2014-01-23,64.975,82.30000000000001,162.7,185.1,190.0,9,2888.2999999999997,1,3
