Date,kW1diff,kW1Hrs,kW2diff,kW2Hrs,kW3diff,kW3Hrs,kW4diff,kW4Hrs,kW5diff,kW5Hrs,kW6diff,kW6Hrs,kW7diff,kW7Hrs,kW8diff,kW8Hrs,kW9diff,kW9Hrs,kW10diff,kW10Hrs,kW11diff,kW11Hrs,kW12diff,kW12Hrs,kW13diff,kW13Hrs,kW14diff,kW14Hrs,kW15diff,kW15Hrs,kW16diff,kW16Hrs
2014-01-01,4.0,1.25,-11.599999999999994,0.75,5.799999999999997,0.75,35.8,1.0,-0.20000000000000284,1.75,8.400000000000006,0.5,8.599999999999994,3.25,9.200000000000003,0.75,-2.5999999999999943,1.75,-39.2,0.75,3.200000000000003,4.75,-19.400000000000006,0.5,-5.399999999999999,4.0,8.200000000000003,1.0,-9.399999999999999,0.75,3.1999999999999957,0.25
2014-01-02,6.399999999999999,0.75,38.6,3.0,7.200000000000003,2.0,10.799999999999997,1.0,12.799999999999997,1.5,54.80000000000001,2.25,-60.000000000000014,1.0,15.200000000000003,0.5,-45.599999999999994,0.5,-8.800000000000011,3.5,5.200000000000003,1.25,-17.200000000000003,0.5,8.400000000000006,2.75,-11.400000000000006,0.75,-14.599999999999994,2.0,2.6000000000000014,0.5
2014-01-03,-5.599999999999994,0.5,2.1999999999999957,2.75,39.4,0.5,2.200000000000003,2.25,9.799999999999997,1.0,8.600000000000009,2.5,14.400000000000006,1.75,-12.000000000000014,0.5,-36.599999999999994,0.75,18.599999999999994,4.75,-6.200000000000003,1.5,-6.3999999999999915,1.5,-7.200000000000003,0.5,-22.4,1.0,-12.0,1.75,4.399999999999999,0.25
2014-01-04,-0.3999999999999986,1.75,9.200000000000003,1.25,9.599999999999994,0.75,6.0,0.5,10.799999999999997,0.75,4.200000000000003,1.0,8.200000000000003,1.5,7.599999999999994,0.75,-31.599999999999994,1.5,-11.200000000000003,2.75,-3.5999999999999943,1.25,-11.800000000000004,0.75,15.600000000000001,2.25,-9.600000000000001,3.75,-1.1999999999999957,2.25,-3.200000000000003,1.0
2014-01-05,5.399999999999999,1.25,20.200000000000003,2.5,6.599999999999994,2.25,-3.1999999999999886,2.25,7.199999999999989,1.25,-19.799999999999997,0.5,-1.7999999999999972,1.75,-5.200000000000003,3.25,-6.0,0.5,7.200000000000003,0.75,11.400000000000006,0.5,2.799999999999997,0.5,-5.400000000000006,1.25,-13.799999999999997,3.5,0.6000000000000014,1.25,-1.6000000000000014,0.5
2014-01-06,2.0,0.75,33.4,3.0,-3.799999999999997,2.0,9.400000000000006,1.5,-3.6000000000000085,1.25,-7.799999999999997,1.75,18.400000000000006,1.0,-16.0,0.5,-14.600000000000009,0.75,-5.200000000000003,1.25,3.200000000000003,1.0,3.799999999999997,0.5,2.6000000000000085,2.0,-16.0,0.5,-6.400000000000006,5.75,2.0,0.25
2014-01-07,37.2,3.75,0.19999999999998863,2.5,2.200000000000003,0.75,-7.3999999999999915,1.0,9.199999999999989,0.5,9.800000000000011,1.0,1.5999999999999943,0.75,-36.599999999999994,2.25,-2.200000000000003,0.75,3.3999999999999915,1.25,-5.799999999999997,1.0,6.200000000000003,0.75,3.200000000000003,1.0,-14.799999999999997,0.5,-6.800000000000004,5.75,1.7999999999999972,0.25
2014-01-08,37.4,3.75,55.39999999999999,2.5,23.0,1.25,7.600000000000023,0.75,21.19999999999999,0.75,-18.19999999999999,1.75,12.199999999999989,0.5,-16.80000000000001,0.5,-28.19999999999999,0.75,-9.400000000000006,0.75,11.800000000000011,0.75,-10.599999999999994,2.5,-33.20000000000002,1.0,-30.0,2.0,-17.199999999999996,2.25,-3.0,2.0
2014-01-09,44.00000000000001,3.75,-0.6000000000000085,2.25,12.0,0.75,30.799999999999997,0.5,39.20000000000002,0.5,16.599999999999994,1.0,16.19999999999999,3.75,-28.400000000000006,0.5,18.80000000000001,1.75,-28.19999999999999,0.5,-23.600000000000023,1.0,-42.19999999999999,1.25,-34.0,1.75,-22.0,2.5,-5.0,1.5,1.3999999999999986,0.5
2014-01-10,42.599999999999994,3.75,3.200000000000003,2.25,45.0,0.75,16.599999999999994,0.5,17.599999999999994,0.5,11.600000000000023,1.0,14.399999999999977,1.75,-16.399999999999977,0.5,24.0,1.75,-18.600000000000023,0.5,-32.19999999999999,2.0,-17.19999999999999,1.0,-41.80000000000001,1.25,-23.0,1.5,-22.6,2.75,-7.199999999999996,2.0
2014-01-11,17.0,3.75,24.599999999999994,2.5,-7.3999999999999915,0.5,-5.200000000000003,2.0,18.400000000000006,0.5,-21.60000000000001,0.5,6.6000000000000085,2.25,-12.800000000000011,2.5,-0.7999999999999972,2.25,-8.0,1.5,8.200000000000003,0.5,-9.200000000000003,2.0,-2.3999999999999915,0.75,4.799999999999997,1.25,-9.200000000000003,0.5,8.0,0.5
