Date,kW
2013-06-19 00:15:00,39.0
2013-06-19 00:30:00,38.0
2013-06-19 00:45:00,39.2
2013-06-19 01:00:00,36.6
2013-06-19 01:15:00,38.4
2013-06-19 01:30:00,38.8
2013-06-19 01:45:00,37.6
2013-06-19 02:00:00,39.4
2013-06-19 02:15:00,37.8
2013-06-19 02:30:00,37.6
2013-06-19 02:45:00,39.8
2013-06-19 03:00:00,38.0
2013-06-19 03:15:00,38.6
2013-06-19 03:30:00,39.0
2013-06-19 03:45:00,38.6
2013-06-19 04:00:00,37.6
2013-06-19 04:15:00,39.4
2013-06-19 04:30:00,36.6
2013-06-19 04:45:00,41.6
2013-06-19 05:00:00,54.4
2013-06-19 05:15:00,68.6
2013-06-19 05:30:00,68.2
2013-06-19 05:45:00,65.8
2013-06-19 06:00:00,64.0
2013-06-19 06:15:00,63.6
2013-06-19 06:30:00,62.6
2013-06-19 06:45:00,61.8
2013-06-19 07:00:00,61.2
2013-06-19 07:15:00,70.0
2013-06-19 07:30:00,70.2
2013-06-19 07:45:00,74.0
2013-06-19 08:00:00,73.2
2013-06-19 08:15:00,76.2
2013-06-19 08:30:00,73.2
2013-06-19 08:45:00,75.0
2013-06-19 09:00:00,85.0
2013-06-19 09:15:00,84.8
2013-06-19 09:30:00,87.6
2013-06-19 09:45:00,92.2
2013-06-19 10:00:00,93.4
2013-06-19 10:15:00,89.6
2013-06-19 10:30:00,98.8
2013-06-19 10:45:00,105.2
2013-06-19 11:00:00,106.2
2013-06-19 11:15:00,104.4
2013-06-19 11:30:00,100.4
2013-06-19 11:45:00,104.4
2013-06-19 12:00:00,96.6
2013-06-19 12:15:00,101.8
2013-06-19 12:30:00,108.4
2013-06-19 12:45:00,110.4
2013-06-19 13:00:00,110.4
2013-06-19 13:15:00,104.6
2013-06-19 13:30:00,100.4
2013-06-19 13:45:00,107.8
2013-06-19 14:00:00,119.2
2013-06-19 14:15:00,115.6
2013-06-19 14:30:00,103.8
2013-06-19 14:45:00,113.0
2013-06-19 15:00:00,123.0
2013-06-19 15:15:00,106.4
2013-06-19 15:30:00,101.4
2013-06-19 15:45:00,101.2
2013-06-19 16:00:00,99.6
2013-06-19 16:15:00,34.6
2013-06-19 16:30:00,33.4
2013-06-19 16:45:00,33.2
2013-06-19 17:00:00,33.0
2013-06-19 17:15:00,34.0
2013-06-19 17:30:00,33.4
2013-06-19 17:45:00,32.6
2013-06-19 18:00:00,32.8
2013-06-19 18:15:00,31.6
2013-06-19 18:30:00,30.4
2013-06-19 18:45:00,35.6
2013-06-19 19:00:00,34.4
2013-06-19 19:15:00,28.4
2013-06-19 19:30:00,32.2
2013-06-19 19:45:00,32.8
2013-06-19 20:00:00,29.6
2013-06-19 20:15:00,31.0
2013-06-19 20:30:00,32.4
2013-06-19 20:45:00,36.6
2013-06-19 21:00:00,34.0
2013-06-19 21:15:00,32.6
2013-06-19 21:30:00,32.6
2013-06-19 21:45:00,33.0
2013-06-19 22:00:00,32.4
2013-06-19 22:15:00,30.2
2013-06-19 22:30:00,33.8
2013-06-19 22:45:00,33.4
2013-06-19 23:00:00,35.4
2013-06-19 23:15:00,31.0
2013-06-19 23:30:00,29.0
2013-06-19 23:45:00,28.4
2013-06-20 00:00:00,29.2
2013-06-20 00:15:00,29.2
2013-06-20 00:30:00,30.6
2013-06-20 00:45:00,33.0
2013-06-20 01:00:00,32.2
2013-06-20 01:15:00,32.0
2013-06-20 01:30:00,31.2
2013-06-20 01:45:00,32.4
2013-06-20 02:00:00,31.2
2013-06-20 02:15:00,31.0
2013-06-20 02:30:00,32.4
2013-06-20 02:45:00,31.2
2013-06-20 03:00:00,31.4
2013-06-20 03:15:00,33.2
2013-06-20 03:30:00,31.6
2013-06-20 03:45:00,31.4
2013-06-20 04:00:00,32.2
2013-06-20 04:15:00,32.4
2013-06-20 04:30:00,30.0
2013-06-20 04:45:00,34.6
2013-06-20 05:00:00,52.8
2013-06-20 05:15:00,87.8
2013-06-20 05:30:00,81.6
2013-06-20 05:45:00,73.0
2013-06-20 06:00:00,72.4
2013-06-20 06:15:00,64.8
2013-06-20 06:30:00,64.4
2013-06-20 06:45:00,65.0
2013-06-20 07:00:00,64.6
2013-06-20 07:15:00,69.8
2013-06-20 07:30:00,68.0
2013-06-20 07:45:00,67.0
2013-06-20 08:00:00,71.0
2013-06-20 08:15:00,70.0
2013-06-20 08:30:00,86.0
2013-06-20 08:45:00,90.6
2013-06-20 09:00:00,78.4
2013-06-20 09:15:00,73.6
2013-06-20 09:30:00,88.4
2013-06-20 09:45:00,98.4
2013-06-20 10:00:00,109.4
2013-06-20 10:15:00,85.2
2013-06-20 10:30:00,97.4
2013-06-20 10:45:00,120.0
2013-06-20 11:00:00,105.8
2013-06-20 11:15:00,105.2
2013-06-20 11:30:00,101.0
2013-06-20 11:45:00,114.8
2013-06-20 12:00:00,117.8
2013-06-20 12:15:00,120.4
2013-06-20 12:30:00,110.2
2013-06-20 12:45:00,111.6
2013-06-20 13:00:00,117.8
2013-06-20 13:15:00,127.0
2013-06-20 13:30:00,138.2
2013-06-20 13:45:00,125.4
2013-06-20 14:00:00,124.0
2013-06-20 14:15:00,127.0
2013-06-20 14:30:00,132.0
2013-06-20 14:45:00,133.0
2013-06-20 15:00:00,132.0
2013-06-20 15:15:00,120.6
2013-06-20 15:30:00,132.4
2013-06-20 15:45:00,123.0
2013-06-20 16:00:00,121.6
2013-06-20 16:15:00,32.2
2013-06-20 16:30:00,34.0
2013-06-20 16:45:00,30.8
2013-06-20 17:00:00,31.4
2013-06-20 17:15:00,33.4
2013-06-20 17:30:00,31.4
2013-06-20 17:45:00,30.0
2013-06-20 18:00:00,30.4
2013-06-20 18:15:00,32.6
2013-06-20 18:30:00,39.0
2013-06-20 18:45:00,37.4
2013-06-20 19:00:00,41.6
2013-06-20 19:15:00,40.0
2013-06-20 19:30:00,42.6
2013-06-20 19:45:00,43.2
2013-06-20 20:00:00,43.4
2013-06-20 20:15:00,38.6
2013-06-20 20:30:00,41.2
2013-06-20 20:45:00,44.6
2013-06-20 21:00:00,45.4
2013-06-20 21:15:00,43.2
2013-06-20 21:30:00,45.2
2013-06-20 21:45:00,44.8
2013-06-20 22:00:00,43.6
2013-06-20 22:15:00,44.6
2013-06-20 22:30:00,40.6
2013-06-20 22:45:00,42.4
2013-06-20 23:00:00,42.2
2013-06-20 23:15:00,36.6
2013-06-20 23:30:00,37.8
2013-06-20 23:45:00,35.6
2013-06-21 00:00:00,39.4
2013-06-21 00:15:00,36.6
2013-06-21 00:30:00,37.2
2013-06-21 00:45:00,36.6
2013-06-21 01:00:00,37.0
2013-06-21 01:15:00,38.4
2013-06-21 01:30:00,36.8
2013-06-21 01:45:00,35.6
2013-06-21 02:00:00,34.6
2013-06-21 02:15:00,37.6
2013-06-21 02:30:00,36.2
2013-06-21 02:45:00,35.8
2013-06-21 03:00:00,38.0
2013-06-21 03:15:00,36.8
2013-06-21 03:30:00,37.0
2013-06-21 03:45:00,35.8
2013-06-21 04:00:00,35.8
2013-06-21 04:15:00,35.0
2013-06-21 04:30:00,36.8
2013-06-21 04:45:00,47.6
2013-06-21 05:00:00,130.8
2013-06-21 05:15:00,181.8
2013-06-21 05:30:00,150.2
2013-06-21 05:45:00,155.4
2013-06-21 06:00:00,152.2
2013-06-21 06:15:00,113.8
2013-06-21 06:30:00,124.8
2013-06-21 06:45:00,135.4
2013-06-21 07:00:00,139.8
2013-06-21 07:15:00,117.8
2013-06-21 07:30:00,126.4
2013-06-21 07:45:00,109.0
2013-06-21 08:00:00,106.4
2013-06-21 08:15:00,104.4
