Times,Value (%)
5/7/2022 13:15,43.4
5/7/2022 13:20,43.4
5/7/2022 13:25,43.4
5/7/2022 13:30,43.4
5/7/2022 13:35,43.4
5/7/2022 13:40,43.4
5/7/2022 13:45,43.4
5/7/2022 13:50,43.4
5/7/2022 13:55,43.4
5/7/2022 14:00,43.4
5/7/2022 14:05,43.4
5/7/2022 14:10,43.4
5/7/2022 14:15,43.4
5/7/2022 14:20,43.4
5/7/2022 14:25,43.4
5/7/2022 14:30,43.4
5/7/2022 14:35,43.4
5/7/2022 14:40,43.4
5/7/2022 14:45,43.4
5/7/2022 14:50,43.4
5/7/2022 14:55,43.4
5/7/2022 15:00,43.4
5/7/2022 15:05,43.4
5/7/2022 15:10,43.4
5/7/2022 15:15,43.4
5/7/2022 15:20,43.4
5/7/2022 15:25,43.4
5/7/2022 15:30,43.4
5/7/2022 15:35,43.4
5/7/2022 15:40,43.4
5/7/2022 15:45,43.4
5/7/2022 15:50,43.4
5/7/2022 15:55,43.4
5/7/2022 16:00,43.4
5/7/2022 16:05,46.8
5/7/2022 16:10,46.8
5/7/2022 16:15,46.8
5/7/2022 16:20,54.1
5/7/2022 16:25,55.3
5/7/2022 16:30,55.3
5/7/2022 16:35,55.3
5/7/2022 16:40,55.3
5/7/2022 16:45,55.3
5/7/2022 16:50,55.3
5/7/2022 16:55,58
5/7/2022 17:00,58
5/7/2022 17:05,58
5/7/2022 17:10,58
5/7/2022 17:15,58
5/7/2022 17:20,58
5/7/2022 17:25,58
5/7/2022 17:30,58
5/7/2022 17:35,58
5/7/2022 17:40,57.8
5/7/2022 17:45,57.8
5/7/2022 17:50,57.8
5/7/2022 17:55,57.8
5/7/2022 18:00,57.8
5/7/2022 18:05,57.8
5/7/2022 18:10,57.8
5/7/2022 18:15,57.8
5/7/2022 18:20,57.8
5/7/2022 18:25,57.8
5/7/2022 18:30,57.8
5/7/2022 18:35,57.7
5/7/2022 18:40,57.6
5/7/2022 18:45,57.6
5/7/2022 18:50,57.6
5/7/2022 18:55,57.6
5/7/2022 19:00,57.6
5/7/2022 19:05,57.6
5/7/2022 19:10,57.5
5/7/2022 19:15,57.5
5/7/2022 19:20,57.3
5/7/2022 19:25,57.3
5/7/2022 19:30,57.1
5/7/2022 19:35,57.1
5/7/2022 19:40,57.1
5/7/2022 19:45,57.1
5/7/2022 19:50,57.1
5/7/2022 19:55,57.1
5/7/2022 20:00,57.1
5/7/2022 20:05,57.1
5/7/2022 20:10,57.1
5/7/2022 20:15,57.1
5/7/2022 20:20,57.1
5/7/2022 20:25,57.1
5/7/2022 20:30,57.1
5/7/2022 20:35,57.1
5/7/2022 20:40,57.1
5/7/2022 20:45,57.1
5/7/2022 20:50,57.1
5/7/2022 20:55,57.1
5/7/2022 21:00,57.1
5/7/2022 21:05,57.1
5/7/2022 21:10,57.1
5/7/2022 21:15,57.1
5/7/2022 21:20,57.1
5/7/2022 21:25,57.1
5/7/2022 21:30,57.1
5/7/2022 21:35,57.1
5/7/2022 21:40,57.1
5/7/2022 21:45,57.1
5/7/2022 21:50,57.1
5/7/2022 21:55,57.1
5/7/2022 22:00,57.1
5/7/2022 22:05,56.8
5/7/2022 22:10,56.8
5/7/2022 22:15,56.8
5/7/2022 22:20,56.8
5/7/2022 22:25,56.7
5/7/2022 22:30,56.6
5/7/2022 22:35,56.1
5/7/2022 22:40,55.9
5/7/2022 22:45,55.9
5/7/2022 22:50,55.9
5/7/2022 22:55,55.9
5/7/2022 23:00,55.9
5/7/2022 23:05,55.3
5/7/2022 23:10,55.3
5/7/2022 23:15,55.2
5/7/2022 23:20,54.9
5/7/2022 23:25,54.9
5/7/2022 23:30,54.8
5/7/2022 23:35,54.8
5/7/2022 23:40,54.3
5/7/2022 23:45,54.3
5/7/2022 23:50,54.3
5/7/2022 23:55,54.3
5/8/2022 0:00,54.3
5/8/2022 0:05,54.3
5/8/2022 0:10,54.2
5/8/2022 0:15,54.2
5/8/2022 0:20,54.2
5/8/2022 0:25,54.2
5/8/2022 0:30,54.2
5/8/2022 0:35,54.2
5/8/2022 0:40,54.2
5/8/2022 0:45,54.2
5/8/2022 0:50,54.2
5/8/2022 0:55,54.2
5/8/2022 1:00,54.2
5/8/2022 1:05,54.2
5/8/2022 1:10,54.2
5/8/2022 1:15,54.2
