Times,Value (°F)
6/4/2022 14:41,71.8
6/4/2022 14:45,71.8
6/4/2022 14:49,71.8
6/4/2022 14:54,71.8
6/4/2022 14:59,71.8
6/4/2022 15:07,71.8
6/4/2022 15:10,71.8
6/4/2022 15:13,71.8
6/4/2022 15:26,71.8
6/4/2022 15:30,71.8
6/4/2022 15:33,71.8
6/4/2022 15:40,71.8
6/4/2022 15:52,71.8
6/4/2022 15:57,71.8
6/4/2022 16:01,74.8
6/4/2022 16:04,74.8
6/4/2022 16:07,74.8
6/4/2022 16:10,74.8
6/4/2022 16:12,74.8
6/4/2022 16:15,74.8
6/4/2022 16:28,74.8
6/4/2022 16:32,74.8
6/4/2022 16:38,74.8
6/4/2022 16:40,74.8
6/4/2022 16:45,74.8
6/4/2022 16:47,74.8
6/4/2022 16:51,74.8
6/4/2022 17:06,74.8
6/4/2022 17:11,74.8
6/4/2022 17:16,74.8
6/4/2022 17:20,74.8
6/4/2022 17:32,74.8
6/4/2022 17:34,74.8
6/4/2022 17:37,74.8
6/4/2022 17:40,74.8
6/4/2022 17:46,74.8
6/4/2022 17:52,74.8
6/4/2022 18:01,74.8
6/4/2022 18:11,74.8
6/4/2022 18:14,74.8
6/4/2022 18:20,74.8
6/4/2022 18:25,74.8
6/4/2022 18:28,74.8
6/4/2022 18:36,74.8
6/4/2022 18:41,74.8
6/4/2022 18:44,74.8
6/4/2022 19:00,74.8
6/4/2022 19:10,74.8
6/4/2022 19:22,74.8
6/4/2022 19:26,74.8
6/4/2022 19:31,74.8
6/4/2022 19:33,74.8
6/4/2022 19:37,74.8
6/4/2022 19:46,74.8
6/4/2022 19:49,74.8
6/4/2022 19:55,74.8
6/4/2022 20:02,74.8
6/4/2022 20:06,74.8
6/4/2022 20:11,74.8
6/4/2022 20:13,74.8
6/4/2022 20:18,74.8
6/4/2022 20:23,74.8
6/4/2022 20:24,74.8
6/4/2022 20:28,74.8
6/4/2022 20:31,74.8
6/4/2022 20:34,74.8
6/4/2022 20:37,74.8
6/4/2022 20:50,74.8
6/4/2022 20:54,74.8
6/4/2022 21:02,74.8
6/4/2022 21:04,74.8
6/4/2022 21:10,74.8
6/4/2022 21:14,74.8
6/4/2022 21:25,74.8
6/4/2022 21:29,74.8
6/4/2022 21:39,74.8
6/4/2022 21:42,74.8
6/4/2022 21:45,74.8
6/4/2022 21:50,74.8
6/4/2022 21:52,74.8
6/4/2022 21:55,74.8
6/4/2022 22:02,74.8
6/4/2022 22:05,74.8
6/4/2022 22:10,74.8
6/4/2022 22:13,74.8
6/4/2022 22:16,74.8
6/4/2022 22:30,74.8
6/4/2022 22:33,74.8
6/4/2022 22:40,74.8
6/4/2022 22:42,74.8
6/4/2022 22:45,74.8
6/4/2022 22:52,74.8
6/4/2022 23:03,74.8
6/4/2022 23:05,74.8
6/4/2022 23:08,74.8
6/4/2022 23:15,74.8
6/4/2022 23:19,74.8
6/4/2022 23:23,74.8
6/4/2022 23:26,74.8
6/4/2022 23:30,74.8
6/4/2022 23:33,74.8
6/4/2022 23:39,74.8
6/4/2022 23:42,74.8
6/4/2022 23:47,74.8
6/4/2022 23:53,74.8
6/5/2022 0:00,74.8
6/5/2022 0:02,74.8
6/5/2022 0:06,74.8
6/5/2022 0:10,74.8
6/5/2022 0:17,74.8
6/5/2022 0:27,74.8
6/5/2022 0:30,74.8
6/5/2022 0:39,74.8
6/5/2022 0:42,74.8
