Times,Value (°F)
6/4/2022 15:30,67.8
6/4/2022 15:33,67.8
6/4/2022 15:40,67.8
6/4/2022 15:52,67.8
6/4/2022 15:54,67.8
6/4/2022 15:57,67.8
6/4/2022 16:01,64.8
6/4/2022 16:04,64.8
6/4/2022 16:07,64.8
6/4/2022 16:10,64.8
6/4/2022 16:12,64.8
6/4/2022 16:15,64.8
6/4/2022 16:28,64.8
6/4/2022 16:32,64.8
6/4/2022 16:40,64.8
6/4/2022 16:45,64.8
6/4/2022 16:47,64.8
6/4/2022 16:51,64.8
6/4/2022 17:06,64.8
6/4/2022 17:11,64.8
6/4/2022 17:16,64.8
6/4/2022 17:20,64.8
6/4/2022 17:32,64.8
6/4/2022 17:34,64.8
6/4/2022 17:37,64.8
6/4/2022 17:40,64.8
6/4/2022 17:46,64.8
6/4/2022 17:52,64.8
6/4/2022 18:01,64.8
6/4/2022 18:11,64.8
6/4/2022 18:14,64.8
6/4/2022 18:20,64.8
6/4/2022 18:25,64.8
6/4/2022 18:28,64.8
6/4/2022 18:36,64.8
6/4/2022 18:41,64.8
6/4/2022 18:49,64.8
6/4/2022 19:00,64.8
6/4/2022 19:10,64.8
6/4/2022 19:22,64.8
6/4/2022 19:26,64.8
6/4/2022 19:31,64.8
6/4/2022 19:33,64.8
6/4/2022 19:37,64.8
6/4/2022 19:46,64.8
6/4/2022 19:49,64.8
6/4/2022 19:55,64.8
6/4/2022 20:02,64.8
6/4/2022 20:06,64.8
6/4/2022 20:11,64.8
6/4/2022 20:13,64.8
6/4/2022 20:18,64.8
6/4/2022 20:23,64.8
6/4/2022 20:24,64.8
6/4/2022 20:28,64.8
6/4/2022 20:31,64.8
6/4/2022 20:34,64.8
6/4/2022 20:37,64.8
6/4/2022 20:50,64.8
6/4/2022 20:54,64.8
6/4/2022 21:02,64.8
6/4/2022 21:04,64.8
6/4/2022 21:10,64.8
6/4/2022 21:14,64.8
6/4/2022 21:25,64.8
6/4/2022 21:29,64.8
6/4/2022 21:39,64.8
6/4/2022 21:42,64.8
6/4/2022 21:45,64.8
6/4/2022 21:50,64.8
6/4/2022 21:52,64.8
6/4/2022 21:55,64.8
6/4/2022 22:02,64.8
6/4/2022 22:05,64.8
6/4/2022 22:10,64.8
6/4/2022 22:13,64.8
6/4/2022 22:16,64.8
6/4/2022 22:30,64.8
6/4/2022 22:33,64.8
6/4/2022 22:40,64.8
6/4/2022 22:42,64.8
6/4/2022 22:45,64.8
6/4/2022 22:52,64.8
6/4/2022 23:05,64.8
6/4/2022 23:08,64.8
6/4/2022 23:15,64.8
6/4/2022 23:19,64.8
6/4/2022 23:23,64.8
6/4/2022 23:26,64.8
6/4/2022 23:30,64.8
6/4/2022 23:33,64.8
6/4/2022 23:39,64.8
6/4/2022 23:42,64.8
6/4/2022 23:47,64.8
6/4/2022 23:53,64.8
6/5/2022 0:00,64.8
6/5/2022 0:02,64.8
6/5/2022 0:06,64.8
6/5/2022 0:10,64.8
6/5/2022 0:17,64.8
6/5/2022 0:27,64.8
6/5/2022 0:30,64.8
6/5/2022 0:39,64.8
6/5/2022 0:42,64.8
6/5/2022 0:47,64.8
