Timestamp,Value
02-Mar-22 11:48:40 AM CST,Occ
02-Mar-22 5:00:21 PM CST,Unocc
03-Mar-22 7:00:15 AM CST,Occ
03-Mar-22 5:01:15 PM CST,Unocc
04-Mar-22 7:00:39 AM CST,Occ
04-Mar-22 5:01:35 PM CST,Unocc
05-Mar-22 9:00:04 AM CST,Occ
05-Mar-22 4:00:44 PM CST,Unocc
06-Mar-22 9:00:17 AM CST,Occ
06-Mar-22 4:00:10 PM CST,Unocc
07-Mar-22 7:00:30 AM CST,Occ
07-Mar-22 5:01:15 PM CST,Unocc
08-Mar-22 7:00:52 AM CST,Occ
08-Mar-22 5:01:23 PM CST,Unocc
09-Mar-22 7:00:19 AM CST,Occ
09-Mar-22 5:01:07 PM CST,Unocc
10-Mar-22 7:00:35 AM CST,Occ
10-Mar-22 5:02:39 PM CST,Unocc
11-Mar-22 7:00:38 AM CST,Occ
11-Mar-22 5:00:59 PM CST,Unocc
12-Mar-22 9:00:04 AM CST,Occ
12-Mar-22 4:00:03 PM CST,Unocc
13-Mar-22 9:00:36 AM CDT,Occ
13-Mar-22 4:00:37 PM CDT,Unocc
14-Mar-22 7:00:56 AM CDT,Occ
14-Mar-22 5:00:59 PM CDT,Unocc
15-Mar-22 7:00:53 AM CDT,Occ
15-Mar-22 5:00:54 PM CDT,Unocc
16-Mar-22 7:00:23 AM CDT,Occ
16-Mar-22 5:00:37 PM CDT,Unocc
17-Mar-22 7:01:01 AM CDT,Occ
17-Mar-22 5:01:05 PM CDT,Unocc
18-Mar-22 7:00:59 AM CDT,Occ
18-Mar-22 5:01:56 PM CDT,Unocc
19-Mar-22 9:01:00 AM CDT,Occ
19-Mar-22 4:00:22 PM CDT,Unocc
20-Mar-22 9:00:09 AM CDT,Occ
20-Mar-22 4:00:03 PM CDT,Unocc
21-Mar-22 7:00:06 AM CDT,Occ
21-Mar-22 5:01:31 PM CDT,Unocc
22-Mar-22 7:00:24 AM CDT,Occ
22-Mar-22 5:02:08 PM CDT,Unocc
23-Mar-22 7:00:10 AM CDT,Occ
23-Mar-22 5:00:16 PM CDT,Unocc
24-Mar-22 7:00:44 AM CDT,Occ
24-Mar-22 5:00:51 PM CDT,Unocc
25-Mar-22 7:00:12 AM CDT,Occ
25-Mar-22 5:01:53 PM CDT,Unocc
26-Mar-22 9:00:54 AM CDT,Occ
26-Mar-22 4:00:04 PM CDT,Unocc
27-Mar-22 9:00:40 AM CDT,Occ
27-Mar-22 4:00:27 PM CDT,Unocc
28-Mar-22 7:00:27 AM CDT,Occ
28-Mar-22 5:01:06 PM CDT,Unocc
29-Mar-22 7:00:59 AM CDT,Occ
29-Mar-22 5:01:40 PM CDT,Unocc
30-Mar-22 7:00:30 AM CDT,Occ
30-Mar-22 5:00:08 PM CDT,Unocc
31-Mar-22 7:00:48 AM CDT,Occ
31-Mar-22 5:01:06 PM CDT,Unocc
01-Apr-22 7:00:16 AM CDT,Occ
01-Apr-22 5:01:33 PM CDT,Unocc
02-Apr-22 9:00:26 AM CDT,Occ
02-Apr-22 4:00:38 PM CDT,Unocc
03-Apr-22 9:00:40 AM CDT,Occ
03-Apr-22 4:00:45 PM CDT,Unocc
04-Apr-22 7:00:49 AM CDT,Occ
04-Apr-22 5:01:30 PM CDT,Unocc
05-Apr-22 7:00:35 AM CDT,Occ
05-Apr-22 5:00:39 PM CDT,Unocc
06-Apr-22 7:00:18 AM CDT,Occ
06-Apr-22 5:00:58 PM CDT,Unocc
07-Apr-22 7:00:08 AM CDT,Occ
07-Apr-22 5:01:28 PM CDT,Unocc
08-Apr-22 7:00:12 AM CDT,Occ
08-Apr-22 5:00:42 PM CDT,Unocc
09-Apr-22 9:00:29 AM CDT,Occ
09-Apr-22 4:00:06 PM CDT,Unocc
10-Apr-22 9:00:29 AM CDT,Occ
10-Apr-22 4:01:07 PM CDT,Unocc
11-Apr-22 7:00:05 AM CDT,Occ
11-Apr-22 5:01:02 PM CDT,Unocc
12-Apr-22 7:00:59 AM CDT,Occ
12-Apr-22 5:00:59 PM CDT,Unocc
13-Apr-22 7:00:33 AM CDT,Occ
13-Apr-22 5:00:34 PM CDT,Unocc
14-Apr-22 7:00:28 AM CDT,Occ
14-Apr-22 5:01:39 PM CDT,Unocc
15-Apr-22 7:00:47 AM CDT,Occ
15-Apr-22 5:01:22 PM CDT,Unocc
16-Apr-22 9:00:16 AM CDT,Occ
16-Apr-22 4:00:31 PM CDT,Unocc
17-Apr-22 9:00:40 AM CDT,Occ
17-Apr-22 4:00:05 PM CDT,Unocc
18-Apr-22 7:00:40 AM CDT,Occ
