Times,Value (°F)
5/7/2022 12:55,73
5/7/2022 13:00,73.1
5/7/2022 13:05,73.1
5/7/2022 13:10,73.2
5/7/2022 13:15,73.2
5/7/2022 13:20,73.2
5/7/2022 13:25,73.2
5/7/2022 13:30,73.2
5/7/2022 13:35,73.2
5/7/2022 13:40,73.3
5/7/2022 13:45,73.3
5/7/2022 13:50,73.3
5/7/2022 13:55,73.4
5/7/2022 14:00,73.4
5/7/2022 14:05,73.4
5/7/2022 14:10,73.5
5/7/2022 14:15,73.5
5/7/2022 14:20,73.6
5/7/2022 14:25,73.6
5/7/2022 14:30,73.6
5/7/2022 14:35,73.6
5/7/2022 14:40,73.7
5/7/2022 14:45,73.7
5/7/2022 14:50,73.7
5/7/2022 14:55,73.8
5/7/2022 15:00,73.8
5/7/2022 15:05,73.8
5/7/2022 15:10,73.8
5/7/2022 15:15,73.9
5/7/2022 15:20,73.9
5/7/2022 15:25,73.9
5/7/2022 15:30,73.9
5/7/2022 15:35,74
5/7/2022 15:40,74
5/7/2022 15:45,74
5/7/2022 15:50,74
5/7/2022 15:55,74.1
5/7/2022 16:00,74.1
5/7/2022 16:05,74
5/7/2022 16:10,73.9
5/7/2022 16:15,73.7
5/7/2022 16:20,73.6
5/7/2022 16:25,73.5
5/7/2022 16:30,73.5
5/7/2022 16:35,73.5
5/7/2022 16:40,73.4
5/7/2022 16:45,73.4
5/7/2022 16:50,73.3
5/7/2022 16:55,73.3
5/7/2022 17:00,73.3
5/7/2022 17:05,73.3
5/7/2022 17:10,73.3
5/7/2022 17:15,73.2
5/7/2022 17:20,73.2
5/7/2022 17:25,73.2
5/7/2022 17:30,73.2
5/7/2022 17:35,73.1
5/7/2022 17:40,73.1
5/7/2022 17:45,73.1
5/7/2022 17:50,73.1
5/7/2022 17:55,73.1
5/7/2022 18:00,73.1
5/7/2022 18:05,73
5/7/2022 18:10,73
5/7/2022 18:15,73
5/7/2022 18:20,73
5/7/2022 18:25,73
5/7/2022 18:30,73
5/7/2022 18:35,73
5/7/2022 18:40,72.9
5/7/2022 18:45,72.9
5/7/2022 18:50,72.9
5/7/2022 18:55,72.9
5/7/2022 19:00,72.9
5/7/2022 19:05,73
5/7/2022 19:10,72.9
5/7/2022 19:15,72.9
5/7/2022 19:20,72.9
5/7/2022 19:25,72.9
5/7/2022 19:30,72.9
5/7/2022 19:35,72.9
5/7/2022 19:40,72.9
5/7/2022 19:45,72.8
5/7/2022 19:50,72.8
5/7/2022 19:55,72.8
5/7/2022 20:00,72.8
5/7/2022 20:05,72.8
5/7/2022 20:10,72.8
